Symbol,Date,Open,High,Low,Close,Volume,SESN SMA,SESN spanTwelveEMA,SESN spanTwntySixEMA,SESN_x,SESN_y
SESN,2021-06-22,4.11,4.14,4.08,4.12,93705,4.12,4.126836674443662,3.735372524165229,0.3914641502784328,0.4008437556868313
SESN,2021-06-21,4.3144,4.39,4.3144,4.36,141355,4.36,4.128079706160691,3.7046023260984473,0.423477380062244,0.40318865703893086
SESN,2021-06-18,4.64,4.65,4.58,4.58,167396,4.58,4.085912380008089,3.652170512186323,0.4337418678217664,0.39811647628310254
SESN,2021-06-17,4.26,4.27,4.2295,4.2611,67151,4.2611,3.996078267282288,3.577944153161229,0.4181341141210586,0.38921012839843655
SESN,2021-06-16,4.16,4.168,4.15,4.16,64915,4.16,3.9478924976972487,3.523291685414127,0.4246008122831215,0.3819791319677809
SESN,2021-06-15,4.29,4.29,4.2615,4.2695,28855,4.2695,3.909327497278567,3.472355020247257,0.436972477031309,0.3713237118889457
SESN,2021-06-14,4.35,4.37,4.3,4.33,176703,4.33,3.843841587692852,3.4085834218670383,0.4352581658258132,0.3549115206033546
SESN,2021-06-11,4.279,4.279,4.22,4.22,42041,4.22,3.755449149091552,3.334870095616401,0.4205790534751505,0.33482485929773986
SESN,2021-06-10,4.19,4.22,4.17,4.17,43520,4.17,3.6709853580172886,3.2640597032657137,0.4069256547515749,0.3133863107533871
SESN,2021-06-09,4.17,4.18,4.14,4.14,107186,4.14,3.580255423111341,3.1915844795269708,0.38867094358437,0.2900014747538401
SESN,2021-06-08,3.9971,4.04,3.9971,4.02,47357,4.02,3.4784836818588576,3.1157112378891285,0.3627724439697291,0.2653341075462076
SESN,2021-06-07,3.81,3.85,3.81,3.85,85575,3.85,3.3800261694695592,3.0433681369202588,0.3366580325493005,0.24097452344032722
SESN,2021-06-04,3.74,3.75,3.73,3.75,30396,3.75,3.294576382100388,2.9788375878738798,0.3157387942265086,0.21705364616308387
SESN,2021-06-03,3.61,3.61,3.585,3.6074,71202,3.6074,3.211772087936822,2.9171445949037897,0.2946274930330324,0.1923823591472278
SESN,2021-06-02,3.9,3.93,3.88,3.88,83529,3.88,3.139839740288972,2.861924162496093,0.2779155777928785,0.16682107567577661
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,3.005265147614239,2.7804780954957806,0.2247870521184585,0.139047450146501
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,2.923495174453192,2.726516343135443,0.1969788313177489,0.1176125496535116
SESN,2021-05-28,3.2,3.2,3.14,3.14,64387,3.14,2.826857933444681,2.668237650586278,0.1586202828584033,0.09777097923745226
SESN,2021-05-27,2.9812,3.01,2.9812,3.0001,29101,3.0001,2.7699230122528053,2.6304966626331803,0.139426349619625,0.0825586533322146
SESN,2021-05-26,2.95,2.9639,2.95,2.955,40736,2.955,2.728072650844225,2.6009283956438347,0.12714425520039,0.06834172926036199
SESN,2021-05-25,2.92,2.929,2.91,2.9217,19087,2.9217,2.686813132815902,2.572602667295341,0.1142104655205606,0.05364109777535496
SESN,2021-05-24,2.97,2.98,2.97,2.98,14106,2.98,2.6441064296915204,2.544674880678969,0.0994315490125514,0.03849875583905342
SESN,2021-05-21,2.95,2.95,2.91,2.91,55816,2.91,2.583034871453615,2.5098488711332863,0.0731860003203288,0.023265557545678908
SESN,2021-05-20,2.83,2.84,2.83,2.8385,17058,2.8385,2.5235866662633635,2.477836780823949,0.0457498854394144,0.010785446852016422
SESN,2021-05-19,2.6,2.6,2.54,2.57,63538,2.57,2.466329696493066,2.448983723289865,0.0173459732032008,0.0020443372051669037
SESN,2021-05-18,2.69,2.69,2.65,2.673,34154,2.673,2.447480550400896,2.439302421153054,0.0081781292478422,-0.001781071794341585
SESN,2021-05-17,2.34,2.35,2.34,2.35,14061,2.35,2.40647701411015,2.420606614845298,-0.0141296007351479,-0.004270872054887537
SESN,2021-05-14,2.3,2.32,2.3,2.31,30949,2.31,2.4167455621301777,2.426255144032922,-0.0095095819027442,-0.0018061898848224446
SESN,2021-05-13,2.4,2.47,2.4,2.4425,11713,2.4425,2.436153846153846,2.435555555555556,0.0005982905982904,0.0001196581196579949
SESN,2021-05-12,2.4,2.4557,2.4,2.435,29242,2.435,2.435,2.435,0.0,0.0
