Symbol,Date,Open,High,Low,Close,Volume,GALT SMA,GALT spanTwelveEMA,GALT spanTwntySixEMA,GALT_x,GALT_y
GALT,2021-06-22,3.13,3.145,3.13,3.145,3657,3.145,3.538135519484231,3.748614351913792,-0.210478832429561,-0.12009859815344576
GALT,2021-06-21,3.14,3.14,3.0616,3.102,12803,3.102,3.6096147048450007,3.796903500066896,-0.1872887952218951,-0.09750353958441693
GALT,2021-06-18,3.3,3.3,3.3,3.3,39000,3.3,3.701908287544092,3.852495780072248,-0.1505874925281558,-0.07505722567504738
GALT,2021-06-17,3.47,3.47,3.47,3.47,2390,3.47,3.774982521643017,3.8966954424780273,-0.12171292083501,-0.05617465896177026
GALT,2021-06-16,3.46,3.48,3.45,3.45,9411,3.45,3.830433889214475,3.93083107787627,-0.1003971886617947,-0.0397900934934602
GALT,2021-06-15,3.63,3.67,3.63,3.67,10470,3.67,3.899603687253471,3.969297564106372,-0.0696938768529005,-0.024638319701376577
GALT,2021-06-14,3.7,3.745,3.7,3.745,4276,3.745,3.941349812208647,3.993241369234881,-0.0518915570262339,-0.01337443041349548
GALT,2021-06-11,3.79,3.82,3.79,3.8,2738,3.8,3.9770497780647647,4.013100678773672,-0.0360509007089069,-0.0037451487603108657
GALT,2021-06-10,3.88,3.88,3.88,3.88,1730,3.88,4.009240646803812,4.030148733075565,-0.0209080862717527,0.00433128922683815
GALT,2021-06-09,4.05,4.05,4.0058,4.0388,6608,4.0388,4.032738946222688,4.04216063172161,-0.0094216854989221,0.010641133101485881
GALT,2021-06-08,3.97,3.98,3.9597,3.98,4526,3.98,4.031636936444994,4.0424294822593385,-0.0107925458143443,0.0156568377515879
GALT,2021-06-07,3.88,3.89,3.88,3.89,1266,3.89,4.041025470344084,4.047423840840086,-0.0063983704960017,0.02226918364307095
GALT,2021-06-04,4.02,4.02,4.02,4.02,2275,4.02,4.068484646770281,4.060017748107293,0.0084668986629878,0.02943607217783913
GALT,2021-06-03,4.0,4.045,4.0,4.045,4146,4.045,4.07730003709215,4.063219167955876,0.0140808691362739,0.03467836555655194
GALT,2021-06-02,4.02,4.02,4.02,4.02,3209,4.02,4.083172771108904,4.064676701392346,0.0184960697165577,0.03982773966162144
GALT,2021-06-01,3.99,4.08,3.99,4.08,5647,4.08,4.094658729492341,4.068250837503734,0.0264078919886072,0.045160657147887376
GALT,2021-06-01,3.99,4.08,3.99,4.08,5647,4.08,4.097323953036403,4.0673109045040325,0.0300130485323704,0.0498488484377074
GALT,2021-05-28,4.07,4.0931,4.07,4.0931,2308,4.0931,4.1004737626793855,4.066295776864355,0.0341779858150301,0.054807798414041646
GALT,2021-05-27,4.1,4.1,4.075,4.075,4334,4.075,4.101814446802909,4.064151439013504,0.0376630077894057,0.05996525156379451
GALT,2021-05-26,3.82,3.82,3.78,3.78,11266,3.78,4.106689800767074,4.063283554134584,0.0434062466324904,0.06554081250739169
GALT,2021-05-25,4.03,4.07,4.03,4.07,6381,4.07,4.166087946361087,4.08594623846535,0.0801417078957369,0.07107445397611699
GALT,2021-05-24,4.26,4.26,4.25,4.25,7877,4.25,4.183558482063103,4.087221937542578,0.0963365445205246,0.06880764049621199
GALT,2021-05-21,4.35,4.42,4.2789,4.32,13799,4.32,4.1714782060745765,4.074199692545984,0.0972785135285922,0.06192541449013383
GALT,2021-05-20,4.18,4.18,4.18,4.18,3644,4.18,4.144474243542681,4.054535667949663,0.0899385755930177,0.053087139730519206
GALT,2021-05-19,4.45,4.45,4.36,4.36,11750,4.36,4.138015015095895,4.044498521385636,0.0935164937102595,0.043874280764894566
GALT,2021-05-18,4.42,4.46,4.42,4.43,11279,4.43,4.097654108749694,4.019258403096487,0.0783957056532074,0.03146372752855334
GALT,2021-05-17,4.2,4.2125,4.171,4.171,16615,4.171,4.03722758306782,3.9863990753442056,0.0508285077236148,0.019730732997389817
GALT,2021-05-14,4.2051,4.28,4.2051,4.2235,4542,4.2235,4.012905325443787,3.971631001371742,0.0412743240720452,0.011956289315833573
GALT,2021-05-13,4.15,4.22,4.15,4.22,11607,4.22,3.974615384615385,3.9514814814814816,0.0231339031339032,0.004626780626780658
GALT,2021-05-12,3.84,3.93,3.84,3.93,9109,3.93,3.93,3.93,0.0,0.0
