Symbol,Date,Open,High,Low,Close,Volume,AGEN SMA,AGEN spanTwelveEMA,AGEN spanTwntySixEMA,AGEN_x,AGEN_y
AGEN,2021-06-22,5.3,5.35,5.3,5.34,38048,5.34,4.995449280709089,4.570177488213759,0.4252717924953302,0.39717462515421087
AGEN,2021-06-21,5.28,5.3119,5.2784,5.29,45311,5.29,4.932803695383468,4.50859168727086,0.4242120081126082,0.39015033331893123
AGEN,2021-06-18,5.22,5.27,5.2,5.21,285294,5.21,4.867858912725917,4.446079022252528,0.4217798904733891,0.3816349146205119
AGEN,2021-06-17,5.21,5.22,5.14,5.16,129379,5.16,4.805651442312447,4.3849653440327305,0.4206860982797167,0.3715986706572926
AGEN,2021-06-16,5.04,5.08,5.0,5.08,22217,5.08,4.7412244318238015,4.322962571555348,0.4182618602684531,0.3593268137516865
AGEN,2021-06-15,5.11,5.12,5.1,5.1115,20309,5.1115,4.679628873973583,4.262399577279776,0.4172292966938071,0.3445930521224948
AGEN,2021-06-14,5.16,5.21,5.16,5.2,64856,5.2,4.601106851059689,4.194471543462158,0.4066353075975311,0.32643399097966674
AGEN,2021-06-11,5.07,5.1245,5.0405,5.09,147978,5.09,4.492217187615996,4.114029266939131,0.378187920676865,0.30638366182520066
AGEN,2021-06-10,5.09,5.0948,5.06,5.0718,33056,5.0718,4.383529403546177,4.035951608294261,0.3475777952519161,0.28843259711228453
AGEN,2021-06-09,4.865,4.96,4.842,4.96,109930,4.96,4.258389295100027,3.953083736957802,0.3053055581422255,0.2736462975773766
AGEN,2021-06-08,4.36,4.47,4.36,4.47,144611,4.47,4.130823712390941,3.8725304359144257,0.2582932764765155,0.2657314824361643
AGEN,2021-06-07,4.03,4.1,4.03,4.07,31353,4.07,4.0691552964620215,3.82473287078758,0.2444224256744416,0.2675910339260764
AGEN,2021-06-04,4.07,4.07,4.0325,4.0461,34749,4.0461,4.069001714000571,3.8051115004505855,0.2638902135499843,0.2733831859889851
AGEN,2021-06-03,4.03,4.08,4.0201,4.06,56046,4.06,4.073165662000675,3.785832420486633,0.2873332415140419,0.27575642909873505
AGEN,2021-06-02,4.23,4.2863,4.23,4.235,36341,4.235,4.075559418728071,3.763899014125564,0.3116604046025069,0.2728622259949083
AGEN,2021-06-01,4.39,4.4,4.35,4.36,115306,4.36,4.046570222133175,3.7262109352556094,0.3203592868775655,0.2631626813430086
AGEN,2021-06-01,4.39,4.4,4.35,4.36,115306,4.36,3.989582989793752,3.675507810076058,0.3140751797176944,0.24886352995936928
AGEN,2021-05-28,4.18,4.24,4.18,4.24,34139,4.24,3.922234442483525,3.620748434882142,0.3014860076013832,0.2325606175197881
AGEN,2021-05-27,4.15,4.19,4.15,4.1682,38113,4.1682,3.864458886571439,3.5712083096727136,0.2932505768987252,0.2153292699993894
AGEN,2021-05-26,4.05,4.0528,4.015,4.05,40048,4.05,3.809233229584428,3.5234489744465307,0.285784255137897,0.19584894327455543
AGEN,2021-05-25,4.06,4.08,4.0301,4.039,28537,4.039,3.765457453145233,3.4813248924022533,0.2841325607429796,0.17336511530872
AGEN,2021-05-24,4.2256,4.25,4.22,4.22,53607,4.22,3.715722444626184,3.436710883794434,0.2790115608317505,0.14567325395015507
AGEN,2021-05-21,4.24,4.25,4.23,4.241,90732,4.241,3.6240356163764,3.374047754497989,0.2499878618784108,0.11233867722975631
AGEN,2021-05-20,4.16,4.28,4.1338,4.2629,172004,4.2629,3.5118602738993814,3.304691574857828,0.2071686990415533,0.07792638106759267
AGEN,2021-05-19,4.0,4.08,3.9876,4.0,668005,4.0,3.3753075964265418,3.2280349008464544,0.1472726955800873,0.04561580157410251
AGEN,2021-05-18,4.22,4.23,4.1573,4.1699,762213,4.1699,3.261727159413186,3.166277692914171,0.0954494664990148,0.020201578072606297
AGEN,2021-05-17,3.26,3.27,3.22,3.25,90496,3.25,3.096604824761038,3.0859879083473047,0.010616916413733,0.0013896059660041544
AGEN,2021-05-14,3.05,3.05,3.03,3.03,13973,3.03,3.0687147928994083,3.072866941015089,-0.0041521481156805,-0.0009172216459280769
AGEN,2021-05-13,3.07,3.07,3.0521,3.07,13479,3.07,3.0757538461538463,3.076296296296296,-0.0005424501424498,-0.00010849002848996038
AGEN,2021-05-12,3.05,3.0768,3.05,3.0768,11371,3.0768,3.0768,3.0768,0.0,0.0
