Symbol,Date,Open,High,Low,Close,Volume,PTPI SMA,PTPI spanTwelveEMA,PTPI spanTwntySixEMA,PTPI_x,PTPI_y
PTPI,2020-12-28,4.44,4.49,4.41,4.4101,11086,4.4101,3.6888748386424033,3.190574079706852,0.4983007589355513,0.4487209688966885
PTPI,2020-12-24,4.32,4.32,4.1,4.1,131722,4.1,3.55774299112284,3.0930120060834003,0.4647309850394397,0.4363260213869728
PTPI,2020-12-23,3.67,3.94,3.6229,3.82,11214,3.82,3.4591508076906288,3.0124529665700717,0.4466978411205571,0.4292247804738561
PTPI,2020-12-22,3.65,3.8,3.65,3.65,9264,3.650000000000001,3.39354186363438,2.9478492038956787,0.4456926597387021,0.4248565153121808
PTPI,2020-12-21,3.35,3.655,3.3,3.495,57019,3.495000000000001,3.3469131115679036,2.8916771402073316,0.455235971360572,0.4196474792055507
PTPI,2020-12-18,3.87,3.87,3.75,3.78,2789,3.780000000000001,3.3199882227620687,2.8434113114239183,0.4765769113381504,0.41075035616679534
PTPI,2020-12-17,3.5815,3.71,3.5815,3.69,1300,3.690000000000001,3.2363497178097176,2.768484216337832,0.4678655014718856,0.3942937173739565
PTPI,2020-12-16,3.35,3.495,3.35,3.49,1022,3.490000000000001,3.1538678483205755,2.6947629536448585,0.4591048946757166,0.37590077134947425
PTPI,2020-12-15,3.53,3.53,3.38,3.3895,3462,3.3895000000000017,3.092752911651589,2.6311439899364477,0.4616089217151416,0.35509974051791354
PTPI,2020-12-14,3.68,3.7214,3.68,3.7214,3300,3.721400000000002,3.0387988955882417,2.5704755091313634,0.4683233864568788,0.32847244521860663
PTPI,2020-12-11,3.52,3.59,3.44,3.4401,3925,3.440100000000002,2.9146896038770134,2.4784015498618723,0.4362880540151415,0.2935097099090387
PTPI,2020-12-10,3.35,3.41,3.35,3.37,2167,3.370000000000002,2.819160440945561,2.4014656738508218,0.4176947670947393,0.2578151238825131
PTPI,2020-12-09,3.26,3.51,3.26,3.31,2534,3.3100000000000014,2.719007793844753,2.3239829277588884,0.3950248660858655,0.21784521307945656
PTPI,2020-12-08,3.31,3.424,3.25,3.3312,2486,3.3312000000000013,2.6115546654528905,2.245101561979599,0.3664531034732916,0.17355029982785455
PTPI,2020-12-07,3.3,3.39,3.3,3.39,3822,3.390000000000001,2.480710059171598,2.158213686937967,0.32249637223363115,0.12532459891649528
PTPI,2020-12-04,3.4,3.545,3.24,3.5,4634,3.5000000000000013,2.315384615384616,2.059670781893004,0.25571383349161136,0.0760316555872113
PTPI,2020-12-03,3.55,3.8849,3.55,3.75,13104,3.7500000000000018,2.1,1.9444444444444449,0.15555555555555545,0.031111111111111048
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000016,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
PTPI,2020-12-02,1.8,1.8,1.8,1.8,538,1.8000000000000014,1.8,1.8,0.0,0.0
