Symbol,Date,Open,High,Low,Close,Volume,GAB SMA,GAB spanTwelveEMA,GAB spanTwntySixEMA,GAB_x,GAB_y
GAB,2021-02-05,6.43,6.43,6.39,6.403,120534,6.403,6.297681667935581,6.2793120777377975,0.01836959019778384,0.0011645727576455422
GAB,2021-02-04,6.4,6.41,6.38,6.405,80425,6.405,6.278532880287505,6.269417043956821,0.009115836330684246,-0.0031366816023890316
GAB,2021-02-03,6.38,6.395,6.35,6.365,139109,6.3649999999999975,6.255538858521597,6.258570407473366,-0.0030315489517684924,-0.0061998110856573505
GAB,2021-02-02,6.29,6.31,6.28,6.2899,89002,6.289899999999999,6.235636832798253,6.250056040071236,-0.014419207272982959,-0.006991876619129565
GAB,2021-02-01,6.21,6.22,6.18,6.2002,110808,6.200199999999998,6.225770802397933,6.246868523276934,-0.02109772087900019,-0.005135043955666216
GAB,2021-01-29,6.18,6.18,6.125,6.15,64623,6.149999999999998,6.230420039197559,6.250602005139089,-0.02018196594153121,-0.0011443747248324997
GAB,2021-01-28,6.15,6.175,6.1301,6.17,67007,6.169999999999996,6.245041864506204,6.258650165550216,-0.01360830104401156,0.0036150230793419555
GAB,2021-01-27,6.18,6.18,6.05,6.1,186660,6.099999999999996,6.258685839870968,6.265742178794232,-0.007056338923264959,0.007920854110180335
GAB,2021-01-26,6.23,6.26,6.23,6.235,87314,6.234999999999998,6.287537810756597,6.279001553097773,0.008536257658826152,0.011665152368541437
GAB,2021-01-25,6.32,6.325,6.3,6.3081,69579,6.308099999999998,6.297090139985071,6.282521677345594,0.014568462639476644,0.0124473760459707
GAB,2021-01-22,6.32,6.35,6.315,6.33,98507,6.329999999999997,6.295088347255082,6.280475411533241,0.01461293572184186,0.011917104397593994
GAB,2021-01-21,6.33,6.34,6.27,6.28,68297,6.279999999999999,6.288740774028735,6.276513444455901,0.012227329572834122,0.01124314656653225
GAB,2021-01-20,6.29,6.3,6.28,6.28,69874,6.2799999999999985,6.290330005670325,6.2762345200123715,0.01409548565795138,0.010997100814956782
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.292208188519473,6.275933281613362,0.01627490690611122,0.01022250460420769
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.289591495523014,6.273479944142432,0.0161115513805834,0.008709404028731807
GAB,2021-01-15,6.33,6.33,6.31,6.325,74970,6.3249999999999975,6.286499040163562,6.270830339673827,0.01566870048973623,0.006858867190769131
GAB,2021-01-14,6.34,6.34,6.29,6.29,109001,6.289999999999997,6.279498865647846,6.266496766847732,0.013002098800114048,0.004656408866027577
GAB,2021-01-13,6.3,6.32,6.29,6.315,91777,6.314999999999999,6.2775895684929095,6.264616508195551,0.012973060297358785,0.002569986382505958
GAB,2021-01-12,6.37,6.37,6.33,6.35,82207,6.349999999999999,6.270787671855258,6.2605858288511955,0.010201843004062459,-3.0782096207248796e-05
GAB,2021-01-11,6.33,6.34,6.28,6.3123,172841,6.312299999999999,6.256385430374395,6.2534326951592885,0.0029527352151053066,-0.0025889383712746758
GAB,2021-01-08,6.35,6.36,6.27,6.29,143763,6.29,6.246219144987919,6.248723310772033,-0.002504165784112722,-0.003974356767869893
GAB,2021-01-07,6.25,6.27,6.23,6.25,175891,6.249999999999999,6.238258989531179,6.245421175633797,-0.007162186102616984,-0.004341904513808963
GAB,2021-01-06,6.19,6.27,6.19,6.255,87676,6.254999999999999,6.2361242603550275,6.245054869684499,-0.008930609329469874,-0.0036368341166067354
GAB,2021-01-05,6.05,6.12,6.05,6.11,120016,6.1099999999999985,6.232692307692307,6.24425925925926,-0.011566951566951644,-0.0023133903133905065
GAB,2021-01-04,6.305,6.32,6.25,6.255,71679,6.254999999999997,6.255,6.255,0.0,0.0
