Symbol,Date,Open,High,Low,Close,Volume,SNCA SMA,SNCA spanTwelveEMA,SNCA spanTwntySixEMA,SNCA_x,SNCA_y
SNCA,2021-02-05,1.46,1.47,1.43,1.4403,76423,1.4403,1.427011170319564,1.3258115852773962,0.10119958504216786,0.1158569874282207
SNCA,2021-02-04,1.5,1.5081,1.4,1.45,198426,1.45,1.424595019468576,1.316652512099588,0.10794250736898793,0.11952133802473391
SNCA,2021-02-03,1.53,1.56,1.48,1.5115,222545,1.5115,1.4199759320992258,1.305984713067555,0.11399121903167098,0.12241604568867041
SNCA,2021-02-02,1.41,1.43,1.38,1.4,121569,1.4,1.4033351924809034,1.2895434901129594,0.11379170236794399,0.12452225235292033
SNCA,2021-02-01,1.47,1.48,1.38,1.41,309941,1.41,1.4039415911137951,1.2807069693219963,0.12323462179179855,0.1272048898491644
SNCA,2021-01-29,1.53,1.5479,1.47,1.5,324986,1.5000000000000002,1.402840062225394,1.2703635268677562,0.1324765353576378,0.1281974568635058
SNCA,2021-01-28,1.46,1.48,1.45,1.4539,453580,1.4539,1.3851746189936474,1.251992609017177,0.13318200997647067,0.1271276872399728
SNCA,2021-01-27,1.35,1.41,1.3,1.37,421254,1.37,1.3726790951743104,1.235840017738551,0.13683907743575974,0.12561410655584837
SNCA,2021-01-26,1.65,1.65,1.52,1.61,526437,1.6100000000000003,1.3731662033878214,1.2251072191576349,0.1480589842301867,0.12280786383587058
SNCA,2021-01-25,1.47,1.49,1.42,1.4679,154051,1.4679000000000004,1.3301055130946982,1.1943157966902456,0.1357897164044526,0.11649508373729162
SNCA,2021-01-22,1.36,1.52,1.31,1.473,1889233,1.4730000000000003,1.3050519700210068,1.1724290604254652,0.13262290959554154,0.11167142557050136
SNCA,2021-01-21,1.45,1.45,1.35,1.37,178421,1.3700000000000008,1.2745159645702808,1.1483833852595025,0.12613257931077834,0.10643355456424129
SNCA,2021-01-20,1.33,1.34,1.28,1.29,419365,1.2900000000000011,1.2571552308557865,1.1306540560802627,0.12650117477552358,0.10150879837760703
SNCA,2021-01-19,1.38,1.4,1.35,1.379,220038,1.379000000000001,1.2511834546477474,1.1179063805666836,0.13327707408106382,0.09526070427812783
SNCA,2021-01-19,1.38,1.4,1.35,1.379,220038,1.379000000000001,1.2279440827655197,1.0970188910120182,0.13092519175350148,0.08575661182739382
SNCA,2021-01-15,1.34,1.42,1.29,1.3801,771563,1.380100000000001,1.2004793705410688,1.0744604022929796,0.12601896824808922,0.0744644668458669
SNCA,2021-01-14,1.44,1.44,1.3624,1.3999,425806,1.3999000000000008,1.1678210742758086,1.0500092344764178,0.11781183979939057,0.061575841495311305
SNCA,2021-01-13,1.61,1.61,1.41,1.4533,2039508,1.4533000000000011,1.1256249059623191,1.0220179732345314,0.10360693272778798,0.047516841919291425
SNCA,2021-01-12,1.3269,1.36,1.27,1.2772,560156,1.277200000000001,1.0660476161372865,0.987515411093294,0.07853220504399261,0.033494319217167334
SNCA,2021-01-11,1.37,1.47,1.33,1.3999,1601618,1.3999000000000013,1.0276562736167931,0.9643406439807576,0.06331562963603565,0.022234847760461043
SNCA,2021-01-08,1.1,1.13,1.08,1.0802,343347,1.0802000000000012,0.9599755960925738,0.929495895499218,0.030479700593355693,0.011964652291567419
SNCA,2021-01-07,1.05,1.07,1.01,1.011,146916,1.011000000000001,0.9381166135639508,0.9174395671391556,0.020677046424795287,0.0073358902161203225
SNCA,2021-01-06,1.08,1.08,1.02,1.0205,416703,1.0205000000000013,0.9248650887573964,0.9099547325102879,0.01491035624710846,0.0040006011639516096
SNCA,2021-01-05,0.9863,0.9899,0.9277,0.975,678825,0.9750000000000012,0.9074769230769232,0.9011111111111112,0.006365811965811985,0.0012731623931623972
SNCA,2021-01-04,0.9129,0.9288,0.87,0.8952,344803,0.8952000000000012,0.8952,0.8952,0.0,0.0
