Symbol,Date,Open,High,Low,Close,Volume,GNCA SMA,GNCA spanTwelveEMA,GNCA spanTwntySixEMA,GNCA_x,GNCA_y
GNCA,2021-02-05,3.26,3.26,3.0849,3.0849,98026,3.0849,3.0662131120250966,2.9067975349450528,0.15941557708004386,0.1406419283532754
GNCA,2021-02-04,3.35,3.38,3.29,3.375,27993,3.375,3.06281549602966,2.8925493377406566,0.1702661582890026,0.1359485161715833
GNCA,2021-02-03,3.19,3.24,3.103,3.24,111507,3.24,3.0060546771259613,2.8539532847599096,0.1521013923660517,0.12736910564222825
GNCA,2021-02-02,3.18,3.37,3.12,3.2802,550606,3.2802,2.963519163876136,2.8230695475407015,0.14044961633543407,0.12118603396127237
GNCA,2021-02-01,2.88,2.98,2.85,2.9396,94508,2.9395999999999995,2.905940830035433,2.7864991113439577,0.1194417186914758,0.11637013836773183
GNCA,2021-01-29,2.91,3.12,2.91,3.0402,109803,3.0401999999999987,2.899820980950967,2.774251040251474,0.125569940699493,0.11560224328679594
GNCA,2021-01-28,2.91,2.99,2.85,2.8609,144829,2.8609,2.874297522942052,2.7529751234715922,0.12132239947045995,0.11311031893362168
GNCA,2021-01-27,2.89,2.89,2.71,2.8,71099,2.8,2.876733436204243,2.744341133349319,0.1323923028549241,0.11105729879941209
GNCA,2021-01-26,2.94,3.03,2.92,2.9999,50974,2.9999,2.89068497005956,2.739888424017265,0.15079654604229464,0.10572354778553408
GNCA,2021-01-25,3.1,3.1583,3.0736,3.09,45347,3.0899999999999994,2.8708276918885702,2.719087497938646,0.15174019394992433,0.09445529822134381
GNCA,2021-01-22,3.21,3.21,3.02,3.02,89847,3.02,2.8309781813228567,2.689414497773737,0.1415636835491183,0.08013407428919868
GNCA,2021-01-21,3.3035,3.4,3.06,3.4,296234,3.4,2.7966105779270114,2.6629676575956367,0.1336429203313747,0.06477667197421844
GNCA,2021-01-20,2.83,2.89,2.82,2.86,55155,2.86,2.6869034102773766,2.6040050702032875,0.08289834007408947,0.04756010988492937
GNCA,2021-01-19,2.83,2.83,2.7301,2.7301,56657,2.7301,2.655431303055082,2.5835254758195503,0.07190582723553174,0.038725552337639454
GNCA,2021-01-19,2.83,2.83,2.7301,2.7301,56657,2.7301,2.641855176337824,2.5717995138851144,0.07005566245271001,0.030430483613166383
GNCA,2021-01-15,2.97,2.97,2.88,2.9,45893,2.9000000000000004,2.6258106629447013,2.5591354749959234,0.06667518794877791,0.020524188903280588
GNCA,2021-01-14,2.93,3.1,2.81,3.09,159536,3.0900000000000003,2.575958056207374,2.531866312995597,0.04409174321177689,0.008986439141906255
GNCA,2021-01-13,2.45,2.5,2.41,2.4522,18459,2.4522000000000004,2.482495884608715,2.4872156180352447,-0.004719733426529871,0.00021011312443859436
GNCA,2021-01-12,2.43,2.46,2.38,2.4444,69610,2.4444000000000004,2.4880042272648453,2.4900168674780643,-0.002012640213219008,0.0014425747621807105
GNCA,2021-01-11,2.45,2.485,2.4,2.43,34461,2.4300000000000006,2.4959322685857264,2.493666216876309,0.0022660517094168497,0.00230637850603064
GNCA,2021-01-08,2.5,2.59,2.5,2.555,17851,2.555000000000001,2.507919953783131,2.498759514226414,0.00916043955671686,0.0023164602051839764
GNCA,2021-01-07,2.49,2.5916,2.47,2.55,20047,2.5500000000000003,2.499359945380064,2.4942602753645278,0.005099670015536351,0.0006054653673007557
GNCA,2021-01-06,2.6,2.63,2.45,2.53,81011,2.53,2.490152662721893,2.48980109739369,0.00035156532820357356,-0.0005180857947581431
GNCA,2021-01-05,2.38,2.4452,2.37,2.4439,38103,2.4439000000000006,2.4829076923076925,2.486585185185185,-0.003677492877492749,-0.0007354985754984612
GNCA,2021-01-04,2.44,2.51,2.38,2.49,37968,2.490000000000001,2.49,2.49,0.0,0.0
