Symbol,Date,Open,High,Low,Close,Volume,ESGC SMA,ESGC spanTwelveEMA,ESGC spanTwntySixEMA,ESGC_x,ESGC_y
ESGC,2021-02-05,2.1,2.11,2.08,2.11,203226,2.11,2.025855522886825,1.9819941638152716,0.04386135907155353,0.04638450131230802
ESGC,2021-02-04,2.07,2.0795,2.0,2.05,550203,2.0500000000000003,2.010556527048066,1.9717536969204927,0.038802830127572685,0.04701528687249669
ESGC,2021-02-03,2.03,2.04,1.98,2.015,334357,2.015000000000001,2.0033849865113504,1.9654939926741328,0.037890993837217835,0.049068401058727576
ESGC,2021-02-02,2.0,2.045,1.99,2.0326,252574,2.032600000000001,2.00127316587705,1.9615335120880637,0.03973965378898692,0.05186275286410507
ESGC,2021-02-01,1.95,2.0,1.93,1.9578,395200,1.9578000000000009,1.995577377854696,1.955848193055108,0.039729184799587765,0.054893527632884714
ESGC,2021-01-29,1.87,1.91,1.81,1.88,722532,1.880000000000001,2.002445992010095,1.9556920484995168,0.046753943510578384,0.0586846133412089
ESGC,2021-01-28,2.09,2.09,2.01,2.02,334674,2.0200000000000014,2.0247088996482945,1.9617474123794785,0.06296148726881623,0.06166728079886652
ESGC,2021-01-27,2.01,2.04,1.98,2.04,412421,2.0400000000000014,2.025565063220712,1.9570872053698365,0.06847785785087512,0.06134372918137914
ESGC,2021-01-26,2.14,2.14,2.03,2.1092,864372,2.1092000000000013,2.0229405292608407,1.9504541817994236,0.07248634746141769,0.05956019701400503
ESGC,2021-01-25,2.05,2.105,2.02,2.08,520126,2.0800000000000014,2.0072569891264487,1.9377545163433771,0.06950247278307131,0.05632865940215202
ESGC,2021-01-22,2.08,2.08,2.02,2.04,309129,2.040000000000001,1.9940309871494395,1.926374877650848,0.06765610949859169,0.05303520605692214
ESGC,2021-01-21,2.05,2.05,2.0,2.04,175149,2.040000000000001,1.9856729848129735,1.9172848678629155,0.06838811695005842,0.0493799801965048
ESGC,2021-01-20,2.04,2.07,2.02,2.03,263687,2.03,1.97579534568806,1.9074676572919484,0.06832768839611125,0.04462794600811651
ESGC,2021-01-19,2.15,2.15,2.07,2.0774,544854,2.0774000000000004,1.96593995399498,1.8976650698753044,0.0682748841196752,0.03870301041111776
ESGC,2021-01-19,2.15,2.15,2.07,2.0774,544854,2.0774,1.945674491084976,1.8832862754653288,0.062388215619647136,0.03131004198397829
ESGC,2021-01-15,2.17,2.2126,2.0774,2.106,808233,2.106,1.9217243985549717,1.8677571775025548,0.053967221052416685,0.023540498575061075
ESGC,2021-01-14,1.97,2.01,1.97,1.992,140491,1.992,1.8882197437467845,1.8486977517027592,0.03952199204402529,0.015933817955722115
ESGC,2021-01-13,2.06,2.08,1.99,1.99,275736,1.99,1.8693506062462,1.83723357183898,0.03211703440722013,0.010036774433646322
ESGC,2021-01-12,2.0,2.03,1.97,2.01,181553,2.01,1.8474143528364184,1.825012257586098,0.02240209525032011,0.004516709440252923
ESGC,2021-01-11,1.93,1.94,1.885,1.915,189346,1.915,1.8178533260794036,1.8102132381929856,0.007640087886417569,4.53629877360715e-05
ESGC,2021-01-08,1.87,1.88,1.82,1.82,220621,1.8200000000000005,1.8001902944574768,1.8018302972484248,-0.001640002790947559,-0.0018533182369344136
ESGC,2021-01-07,1.77,1.82,1.74,1.805,248754,1.805,1.7965885298133817,1.8003767210282986,-0.0037881912149166923,-0.001906647098431016
ESGC,2021-01-06,1.72,1.785,1.72,1.77,241064,1.7700000000000002,1.7950591715976332,1.8000068587105624,-0.004947687112929256,-0.0014362610693095413
ESGC,2021-01-05,1.75,1.78,1.73,1.77,111677,1.77,1.7996153846153846,1.8024074074074077,-0.002792022792022841,-0.0005584045584046127
ESGC,2021-01-04,1.83,1.84,1.76,1.805,271131,1.805,1.805,1.805,0.0,0.0
