Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA,AFMD spanTwelveEMA,AFMD spanTwntySixEMA,AFMD_x,AFMD_y
AFMD,2020-07-17,4.51,4.61,4.47,4.52,204403,4.52,4.52,4.52,0.0,0.0
AFMD,2020-07-16,4.56,4.61,4.45,4.52,248758,4.52,4.52,4.52,0.0,0.0
AFMD,2020-07-15,4.27,4.495,4.27,4.4001,252996,4.4001,4.501553846153846,4.511118518518519,-0.009564672364672509,-0.001912934472934502
AFMD,2020-07-14,4.26,4.346,4.19,4.23,87775,4.23,4.459776331360946,4.490294924554184,-0.03051859319323746,-0.007634066216995094
AFMD,2020-07-13,4.42,4.5,4.4,4.41,95578,4.41,4.4521184342284945,4.484347152364983,-0.032228718136490635,-0.012552996600894203
AFMD,2020-07-10,4.51,4.6,4.42,4.58,97605,4.58,4.471792521270264,4.491432548486097,-0.019640027215833026,-0.013970402723881968
AFMD,2020-07-09,4.62,4.71,4.59,4.7,110638,4.700000000000001,4.506901364151761,4.506881989338979,1.9374812783468087e-05,-0.011172447216548882
AFMD,2020-07-08,4.39,4.51,4.39,4.46,60051,4.46,4.499685769666876,4.503409249387943,-0.003723479721067236,-0.009682653717452553
AFMD,2020-07-07,4.35,4.5068,4.32,4.415,169298,4.415,4.486657189718125,4.496860416099947,-0.01020322638182236,-0.009786768250326514
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.49794069899226,4.501537422314765,-0.003596723322505824,-0.008548759264762376
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.507488283762681,4.505867983624782,0.0016203001378993775,-0.006514947384230026
AFMD,2020-07-02,4.79,4.79,4.65,4.67,130865,4.670000000000001,4.53249008626073,4.518025910763686,0.014464175497043819,-0.0023191228079752577
AFMD,2020-07-01,4.63,4.71,4.59,4.66,80935,4.660000000000002,4.552106996066772,4.5285425099663765,0.02356448610039497,0.0028575989736987877
AFMD,2020-06-30,4.54,4.5945,4.45,4.57,174862,4.570000000000002,4.554859765902654,4.5316134351540525,0.023246330748600386,0.006935345328679107
AFMD,2020-06-29,4.73,4.73,4.51,4.68,219772,4.6800000000000015,4.574112109609937,4.542605032550049,0.03150707705988776,0.01184969167492084
AFMD,2020-06-26,4.52,4.64,4.41,4.565,236222,4.565000000000001,4.572710246593023,4.5442639190278244,0.028446327565199606,0.015169018852976595
AFMD,2020-06-25,4.11,4.265,4.03,4.265,123289,4.2650000000000015,4.525370208655635,4.52357770280354,0.0017925058520944503,0.012493716252800166
AFMD,2020-06-24,4.23,4.4075,4.2,4.215,221883,4.215000000000002,4.477620945785537,4.500720095188463,-0.02309914940292579,0.005375143121654976
AFMD,2020-06-23,4.18,4.38,3.93,4.38,405179,4.380000000000001,4.4626023387416085,4.491777865915243,-0.02917552717363492,-0.0015349909374030033
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9636000000000013,4.385832748165976,4.452653579551152,-0.0668208313851748,-0.014592159026957364
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.63,4.269550786909672,4.3917162773621765,-0.12216549045250512,-0.036106825312066916
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.5600000000000005,4.160389127385106,4.330107664224238,-0.16971853683913096,-0.06282916761747973
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.620000000000001,4.0772523385566295,4.277507096503924,-0.2002547579472944,-0.09031428568344266
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.4750000000000005,3.98459813262484,4.218062126392522,-0.2334639937676819,-0.11894422730029051
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.100000000000001,3.8485061122210182,4.135242709622705,-0.2867365974016867,-0.15250270132056976
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1300000000000003,3.7379667103408623,4.06078028668769,-0.3228135763468276,-0.18656487632582133
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.12,3.64289490874996,3.9910928580441576,-0.3481979492941973,-0.21889149091949656
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.29,3.5886033843268894,3.9391600537445903,-0.3505566694177009,-0.24522452661913743
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3920000000000003,3.55835670981506,3.8986296793931388,-0.3402729695780793,-0.2642342152109258
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.5000000000000004,3.549378754458897,3.8691015549936467,-0.3197228005347501,-0.2753319322756907
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3200000000000003,3.5140897153113744,3.8284273657348575,-0.31433765042348405,-0.2831330759052494
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5168000000000004,3.514506682186548,3.8053438571619065,-0.29083717497535844,-0.2846738957192712
