Symbol,Date,Open,High,Low,Close,Volume,YPF SMA,YPF spanTwelveEMA,YPF spanTwntySixEMA,YPF_x,YPF_y
YPF,2020-10-22,3.35,3.39,3.29,3.375,93136,3.375,3.621769152764028,3.893918860083698,-0.2721497073196697,-0.29851529715280906
YPF,2020-10-21,3.45,3.53,3.355,3.385,167397,3.385,3.6666362714483967,3.935432368890393,-0.26879609744199673,-0.30510669461109385
YPF,2020-10-20,3.63,3.6801,3.6298,3.64,102404,3.640000000000001,3.7178428662571954,3.979466958401624,-0.26162409214442883,-0.3141843439033682
YPF,2020-10-19,3.58,3.71,3.58,3.695,84526,3.6950000000000007,3.7319961146675946,4.006624315073754,-0.27462820040615954,-0.3273244068431031
YPF,2020-10-16,3.63,3.63,3.5,3.548,60996,3.5480000000000005,3.7387226809707936,4.031554260279655,-0.2928315793088609,-0.34049845845233895
YPF,2020-10-15,3.65,3.74,3.61,3.61,54335,3.61,3.773399532056392,4.070238601102028,-0.2968390690456353,-0.35241517823820845
YPF,2020-10-14,3.76,3.87,3.7,3.835,57034,3.835,3.8031085378848273,4.1070576891901895,-0.30394915130536226,-0.3663092055363514
YPF,2020-10-13,3.75,3.77,3.69,3.74,54592,3.740000000000001,3.7973100902275223,4.1288223043254035,-0.3315122140978817,-0.38189921909409863
YPF,2020-10-12,3.9,3.9,3.7499,3.77,47245,3.770000000000002,3.807730106632527,4.159928088671436,-0.3521979820389092,-0.3944959703431529
YPF,2020-10-09,3.89,3.89,3.77,3.8,62874,3.800000000000001,3.8145901260202586,4.191122335765152,-0.37653220974489177,-0.4050704674192138
YPF,2020-10-08,3.66,3.7,3.63,3.69,17053,3.6900000000000013,3.8172428762057606,4.222412122626363,-0.4051692464206021,-0.412205031837794
YPF,2020-10-07,3.59,3.65,3.54,3.58,94892,3.5800000000000014,3.840377944606808,4.265005092436471,-0.42462714782966415,-0.41396397819209196
YPF,2020-10-06,3.79,3.845,3.75,3.78,118170,3.780000000000001,3.8877193890807735,4.31980549983139,-0.4320861107506167,-0.4112981857826991
YPF,2020-10-05,3.67,3.71,3.615,3.62,42682,3.6200000000000014,3.907304732550005,4.3629899398179015,-0.4556852072678952,-0.40610120454071974
YPF,2020-10-02,3.58,3.625,3.555,3.61,35516,3.610000000000001,3.9595419566500074,4.422429135003333,-0.4628871783533266,-0.3937052038589255
YPF,2020-10-01,3.56,3.62,3.545,3.58,50512,3.5800000000000014,4.0230950396772815,4.487423465803599,-0.4643284261263183,-0.3764097102353254
YPF,2020-09-30,3.63,3.725,3.58,3.725,68140,3.7250000000000014,4.103657774164058,4.560017343067887,-0.45635956890382795,-0.3544300312625773
YPF,2020-09-29,3.75,3.75,3.61,3.62,130035,3.6200000000000014,4.172504642193888,4.626818730513318,-0.4543140883194301,-0.3289476468522644
YPF,2020-09-28,3.69,3.84,3.69,3.77,111501,3.770000000000002,4.272960031683686,4.707364228954384,-0.43440419727069735,-0.29760603648547296
YPF,2020-09-25,3.78,3.84,3.71,3.73,72673,3.7300000000000018,4.36440731017163,4.7823533672707335,-0.4179460570991047,-0.26340649628916685
YPF,2020-09-24,3.66,3.66,3.47,3.59,179167,3.5900000000000016,4.479754093839198,4.866541636652394,-0.3867875428131944,-0.2247716060866826
YPF,2020-09-23,3.89,4.0,3.85,3.9,182156,3.9000000000000017,4.641527565446325,4.9686649675845835,-0.32713740213825915,-0.1842676219050544
YPF,2020-09-22,4.16,4.18,3.99,4.061,91715,4.061000000000002,4.776350759163838,5.054158164991351,-0.2778074058275122,-0.14855017684675345
YPF,2020-09-21,4.38,4.38,4.22,4.28,96693,4.280000000000001,4.906414533557264,5.13361081819066,-0.2271962846333961,-0.11623586960156353
YPF,2020-09-18,4.55,4.55,4.41,4.43,53156,4.4300000000000015,5.020308085113131,5.2018996836459115,-0.1815915985327816,-0.08849576584360537
YPF,2020-09-17,4.77,4.7909,4.63,4.698,134083,4.698,5.1276368278609725,5.263651658337585,-0.13601483047661225,-0.06522180767131153
YPF,2020-09-16,4.9,4.92,4.805,4.8351,153095,4.8351000000000015,5.205752614744786,5.308903791004592,-0.1031511762598054,-0.04752355196998634
YPF,2020-09-15,5.05,5.13,4.93,4.96,104056,4.960000000000002,5.273143999243838,5.346808094284959,-0.0736640950411207,-0.03361664589753134
YPF,2020-09-14,5.19,5.19,5.07,5.14,51402,5.1400000000000015,5.330079271833627,5.377752741827756,-0.04767346999412858,-0.023604783611633998
YPF,2020-09-11,5.22,5.29,5.17,5.26,67967,5.2600000000000025,5.364639139439742,5.396772961173976,-0.0321338217342344,-0.017587612016010352
YPF,2020-09-10,5.41,5.4899,5.32,5.335,61217,5.335000000000003,5.383664437519696,5.407714798067894,-0.02405036054820009,-0.013951059586454338
YPF,2020-09-09,5.51,5.53,5.47,5.475,39643,5.475000000000002,5.392512517068731,5.413531981913327,-0.02101946484459649,-0.011426234346018343
YPF,2020-09-08,5.31,5.32,5.18,5.22,60923,5.2200000000000015,5.37751479289941,5.4086145404663934,-0.031099747566983638,-0.009027926721373803
YPF,2020-09-08,5.31,5.32,5.18,5.22,60923,5.2200000000000015,5.406153846153847,5.423703703703704,-0.017549857549857606,-0.0035099715099713436
YPF,2020-09-04,5.55,5.61,5.44,5.44,44151,5.440000000000002,5.44,5.44,0.0,0.0
