Symbol,Date,Open,High,Low,Close,Volume,BTBT SMA,BTBT spanTwelveEMA,BTBT spanTwntySixEMA,BTBT_x,BTBT_y
BTBT,2020-10-22,4.05,4.26,4.02,4.185,54083,4.185,4.059656619174877,4.124377775100482,-0.06472115592560533,-0.07808596127502278
BTBT,2020-10-21,3.985,3.985,3.8501,3.985,1385,3.985,4.036866913570309,4.119527997108522,-0.08266108353821178,-0.08142716261237713
BTBT,2020-10-20,4.08,4.08,4.004,4.004,1386,4.004,4.046297261492184,4.130290236877203,-0.08399297538501926,-0.08111868238091825
BTBT,2020-10-19,3.6,3.94,3.6,3.94,1312,3.94,4.053987672672581,4.140393455827379,-0.08640578315479798,-0.0804001091298932
BTBT,2020-10-16,3.98,3.9827,3.98,3.9827,300,3.982699999999999,4.074712704067596,4.156424932293569,-0.0817122282259728,-0.078898690623667
BTBT,2020-10-15,4.08,4.08,3.98,3.98,2100,3.979999999999999,4.091442286625341,4.170322926877055,-0.07888064025171371,-0.07819530622309055
BTBT,2020-10-14,3.94,4.04,3.94,4.01,900,4.009999999999998,4.111704520557222,4.185548761027221,-0.07384424046999792,-0.07802397271593475
BTBT,2020-10-13,4.0,4.17,3.9751,4.12,1400,4.119999999999999,4.130196251567627,4.1995926619093975,-0.06939641034177146,-0.07906890577741872
BTBT,2020-10-12,4.005,4.15,4.005,4.12,13487,4.119999999999998,4.1320501154890135,4.2059600748621495,-0.07390995937313694,-0.08148702963633074
BTBT,2020-10-09,3.92,4.0932,3.92,4.0932,1402,4.093199999999999,4.134241045577924,4.212836880851122,-0.07859583527319812,-0.0833812972021294
BTBT,2020-10-08,4.025,4.1545,4.02,4.1545,1300,4.154499999999998,4.141703053864819,4.222407831319212,-0.0807047774543923,-0.08457766268436222
BTBT,2020-10-07,4.05,4.24,4.05,4.14,5860,4.139999999999998,4.139376336385695,4.227840457824748,-0.08846412143905358,-0.08554588399185446
BTBT,2020-10-06,3.58,4.14,3.57,3.8129,3947,3.812899999999998,4.139262943001277,4.234867694450728,-0.09560475144945267,-0.08481632463005469
BTBT,2020-10-05,3.97,4.27,3.97,4.27,628,4.269999999999999,4.198601659910598,4.268625110006787,-0.07002345009618782,-0.0821192179252054
BTBT,2020-10-02,3.84,4.3,3.84,4.3,1682,4.299999999999999,4.185620143530708,4.26851511880733,-0.08289497527662171,-0.08514315988245956
BTBT,2020-10-01,4.11,4.15,4.1,4.1,300,4.099999999999999,4.164823805990837,4.2659963283119176,-0.10117252232107976,-0.08570520603391901
BTBT,2020-09-30,4.46,4.46,4.1056,4.11,13094,4.109999999999999,4.1766099525346245,4.279276034576871,-0.10266608204224427,-0.08183837696212859
BTBT,2020-09-29,4.11,4.11,4.05,4.05,5489,4.05,4.188720852995466,4.292818117343018,-0.10409726434755306,-0.07663145069209923
BTBT,2020-09-28,4.14,4.26,4.0521,4.2,6384,4.2,4.2139428262673695,4.312243566730461,-0.09830074046309177,-0.06976499727823599
BTBT,2020-09-25,3.94,3.95,3.94,3.95,1103,3.95,4.216477885588709,4.321223052068898,-0.10474516648018906,-0.06263106148202202
BTBT,2020-10-23,3.99,4.33,3.99,4.2137,1544,4.2137,4.264928410241201,4.350920896234411,-0.08599248599320752,-0.052102535232480256
BTBT,2020-09-23,3.88,3.88,3.88,3.88,225,3.88,4.274242666648694,4.361898567933162,-0.08765590128446821,-0.04363004754229799
BTBT,2020-10-23,3.99,4.33,3.99,4.2137,1544,4.2137,4.345923151493911,4.4004504533678155,-0.05452730187390386,-0.03262358410675543
BTBT,2020-09-21,4.34,4.45,4.34,4.45,343,4.45,4.369963724492804,4.4153904896372405,-0.045426765144435784,-0.027147654664968095
BTBT,2020-10-23,3.99,4.33,3.99,4.2137,1544,4.2137,4.355411674400586,4.412621728808219,-0.05721005440763261,-0.022577877045100954
BTBT,2020-09-17,4.16,4.22,4.16,4.1991,1353,4.1991000000000005,4.381177433382511,4.4285354671128765,-0.04735803373036429,-0.013919832704468038
BTBT,2020-10-23,3.99,4.33,3.99,4.2137,1544,4.213700000000001,4.414282421270241,4.446890304481905,-0.0326078832116643,-0.00556028244799375
BTBT,2020-10-23,3.99,4.33,3.99,4.2137,1544,4.213700000000002,4.450751952410284,4.465545528840457,-0.014793576430172985,0.0012016177429238876
BTBT,2020-09-14,4.46,4.58,4.4101,4.58,6432,4.580000000000001,4.493852307393973,4.485693171147694,0.008159136246279175,0.005200416286198105
BTBT,2020-09-11,4.12,4.58,4.12,4.45,4393,4.450000000000001,4.478189090556514,4.478148624839508,4.046571700477841e-05,0.004460736296177837
BTBT,2020-09-10,4.5,4.64,4.455,4.455,2510,4.455000000000001,4.483314379748609,4.48040051482667,0.002913864921938014,0.00556580394097088
BTBT,2020-09-09,4.5,4.52,4.31,4.34,14044,4.340000000000002,4.4884624487938085,4.482432556012803,0.006029892781005408,0.006228788695728874
BTBT,2020-09-08,4.5,4.63,4.5,4.625,2164,4.625000000000002,4.515455621301773,4.493827160493827,0.021628460807947114,0.00627851267440974
BTBT,2020-09-08,4.5,4.63,4.5,4.625,2164,4.625000000000002,4.495538461538461,4.4833333333333325,0.01220512820512809,0.0024410256410256183
BTBT,2020-09-04,4.42,4.49,4.41,4.4719999999999995,1502,4.472000000000001,4.472,4.472,0.0,0.0
