Symbol,Date,Open,High,Low,Close,Volume,LIZI SMA,LIZI spanTwelveEMA,LIZI spanTwntySixEMA,LIZI_x,LIZI_y
LIZI,2020-10-22,2.03,2.05,2.02,2.03,65454,2.03,2.3262166766545382,2.322850673173112,0.003366003481426461,0.07596989531034022
LIZI,2020-10-21,2.12,2.1698,2.08,2.0801,146253,2.0800999999999994,2.380074254228091,2.3462787270269607,0.033795527201130326,0.09412086826756866
LIZI,2020-10-20,2.23,2.27,2.1431,2.175,242402,2.174999999999999,2.434615027724108,2.3675730251891176,0.06704200253499026,0.10920220353417823
LIZI,2020-10-19,2.31,2.3357,2.21,2.23,247448,2.2299999999999995,2.4818177600375817,2.382978867204247,0.09883889283333458,0.11974225378397521
LIZI,2020-10-16,2.5,2.5399,2.3877,2.41,247149,2.41,2.5276028073171424,2.395217176580587,0.13238563073655474,0.12496809402163535
LIZI,2020-10-15,2.49,2.515,2.36,2.41,216767,2.41,2.5489851359202587,2.394034550707034,0.15495058521322447,0.12311370984290537
LIZI,2020-10-14,2.61,2.64,2.5,2.5,306304,2.5,2.5742551606330326,2.3927573147635965,0.18149784586943565,0.11515449100032558
LIZI,2020-10-13,3.03,3.06,2.8,2.865,964094,2.865,2.5877560989299475,2.3841778999446848,0.20357819898526275,0.09856865228304795
LIZI,2020-10-12,3.93,4.45,3.73,4.1,28604663,4.1,2.5373481169172107,2.34571213194026,0.1916359849769509,0.07231626560749424
LIZI,2020-10-09,2.39,2.41,2.3,2.34,59377,2.34,2.25322959272034,2.2053691024954807,0.04786049022485939,0.04248633576513007
LIZI,2020-10-08,2.21,2.31,2.21,2.23,19960,2.2300000000000004,2.2374531550331294,2.1945986306951197,0.04285452433801007,0.041142797150197745
LIZI,2020-10-07,2.24,2.3,2.23,2.28,18513,2.28,2.238808274130062,2.191766521150729,0.04704175297933277,0.04071486535324477
LIZI,2020-10-06,2.3,2.305,2.21,2.23,11991,2.23,2.2313188694264365,2.184707842842787,0.04661102658364946,0.039133143446722765
LIZI,2020-10-05,2.28,2.42,2.25,2.27,34779,2.27,2.231558663867607,2.18108447027021,0.05047419359739669,0.03726367266249109
LIZI,2020-10-02,2.49,2.49,2.39,2.46,19178,2.4600000000000004,2.224569330025353,2.173971227891827,0.05059810213352645,0.03396104242876469
LIZI,2020-10-01,2.3,2.4,2.3,2.4,60159,2.4000000000000004,2.181763753666327,2.1510889261231734,0.030674827543153423,0.029801777502574355
LIZI,2020-09-30,2.13,2.21,2.13,2.2013,15973,2.2013000000000003,2.142084436151113,2.1311760402130275,0.010908395938086013,0.029583514992429585
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.0001000000000007,2.1313179699967706,2.12556612343007,0.005751846566700802,0.034252294756015586
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.155175782723456,2.135603413304476,0.01957236941898044,0.041377406803344285
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.1833713795822662,2.146443686368834,0.03692769321343237,0.04682866614943536
LIZI,2020-09-24,2.63,2.63,2.4,2.5,17056,2.5000000000000013,2.216693448597224,2.1581511812783405,0.05854226731888312,0.04930390938343611
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.165183166523992,2.1308032757806075,0.03437989074338388,0.04699431989957424
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.195198287710172,2.141259537843056,0.05393874986711555,0.05014792718862172
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.230670703657476,2.1525523008705005,0.07811840278697524,0.04920022151899814
LIZI,2020-09-18,3.61,3.7,3.36,3.41,41569,3.410000000000001,2.2725926497770166,2.164748484940141,0.10784416483687577,0.041970676202003745
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.0657913133728383,2.0651283637353517,0.0006629496374856991,0.02550230404328574
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.0777351885315354,2.0703306328341804,0.0074045556973549856,0.03171214264473553
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.091850677355451,2.075949083460915,0.015901593894535715,0.03778903938158066
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.1085326186928057,2.0820170101377884,0.02651560855501733,0.043260900753341894
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.128247640273316,2.0885703709488115,0.039677269324504216,0.04744722380292303
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.1515472112321,2.0956480006247165,0.05589921060738368,0.04938971242252762
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.1790830678197546,2.1032918406746943,0.0757912271450607,0.04776233787631361
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.2116254437869824,2.1115471879286694,0.10007825585831308,0.04075511555912695
LIZI,2020-09-08,3.73,3.7302,3.625,3.625,3175,3.6250000000000013,2.2500846153846155,2.1204629629629634,0.12962165242165247,0.025924330484330405
LIZI,2020-10-23,2.0,2.0217,2.0,2.0001,11342,2.000100000000001,2.0001,2.0001,0.0,0.0
