Symbol,Date,Open,High,Low,Close,Volume,ZKIN SMA,ZKIN spanTwelveEMA,ZKIN spanTwntySixEMA,ZKIN_x,ZKIN_y
ZKIN,2020-12-16,2.23,2.25,2.1601,2.18,30051,2.18,2.1181563807129145,2.0174368933970657,0.1007194873158488,0.08506667403506857
ZKIN,2020-12-15,2.3,2.3,2.2,2.2,24836,2.2000000000000006,2.1069120862970805,2.0044318448688307,0.10248024142824974,0.0811534707148735
ZKIN,2020-12-14,2.35,2.4,2.29,2.33,74824,2.330000000000001,2.0899870110783683,1.9887863924583369,0.10120061862003073,0.07582177803652942
ZKIN,2020-12-11,2.06,2.19,2.06,2.14,91946,2.140000000000001,2.046348285819889,1.961489303855004,0.08485898196488506,0.06947706789065393
ZKIN,2020-12-10,2.55,2.59,2.16,2.28,1552418,2.28,2.0293207014235053,1.9472084481634044,0.08211225326010085,0.06563158937209615
ZKIN,2020-12-09,2.03,2.03,1.99,1.99,21108,1.99,1.98374264713687,1.9205851240164769,0.06315752312039312,0.06151142340009497
ZKIN,2020-12-08,1.96,2.0215,1.95,2.0185,15930,2.0184999999999995,1.9826049466163007,1.9150319339377948,0.06757301267850567,0.061099898470020425
ZKIN,2020-12-07,2.0,2.1,2.0,2.0,38403,2.0,1.9760785732738102,1.9067544886528187,0.06932408462099128,0.059481619917899055
ZKIN,2020-12-04,2.02,2.07,1.9601,2.0365,22075,2.0365,1.9717292229599568,1.899294847745044,0.07243437521491303,0.057021003742125945
ZKIN,2020-12-03,1.9807,1.9935,1.92,1.965,31689,1.965,1.9599527180435856,1.888318435564648,0.071634282478938,0.053167660873929226
ZKIN,2020-12-02,1.83,1.99,1.83,1.89,57789,1.89,1.959035030415147,1.8821839104098197,0.07685112000532746,0.04855100547267715
ZKIN,2020-12-01,2.18,2.2,2.04,2.08,250566,2.08,1.9715868541269919,1.8815586232426047,0.09002823088438694,0.04147597683951462
ZKIN,2020-11-30,2.25,2.28,2.02,2.14,121535,2.140000000000001,1.9518753730591725,1.8656833131020136,0.08619205995715884,0.02933791332829649
ZKIN,2020-11-27,2.0,2.28,1.96,2.18,368084,2.18,1.9176708954335675,1.8437379781501748,0.07393291728339269,0.015124376671080903
ZKIN,2020-11-27,2.0,2.28,1.96,2.18,368084,2.18,1.8699746946033071,1.8168370164021888,0.053137678201118366,0.0004222415180029568
ZKIN,2020-11-25,2.63,3.05,2.32,2.4,10513202,2.4,1.8136064572584536,1.7877839777143638,0.025822479544090005,-0.012756617652775894
ZKIN,2020-11-24,1.76,1.7799,1.725,1.75,10532,1.7500000000000004,1.7069894494872635,1.7388066959315134,-0.031817246444249436,-0.02240139195199231
ZKIN,2020-11-23,1.67,1.75,1.58,1.5989,35860,1.5989000000000004,1.6991693493940383,1.737911231606034,-0.038741882211995586,-0.02004742832892792
ZKIN,2020-11-20,1.6,1.6497,1.6,1.62,1651,1.6200000000000006,1.7174001401929546,1.7490321301345166,-0.03163198994156202,-0.015373814858161002
ZKIN,2020-11-19,1.66,1.7214,1.6,1.6273,22056,1.6273000000000004,1.7351092565916737,1.759354700545278,-0.024245443953604395,-0.011309271087310745
ZKIN,2020-11-18,1.8,1.8,1.72,1.72,15973,1.7200000000000006,1.7547109396083411,1.7699190765888997,-0.015208136980558562,-0.00807522787073733
ZKIN,2020-11-17,1.7,1.75,1.7,1.7,21833,1.7000000000000008,1.761022019537131,1.773912602716012,-0.012890583178881254,-0.0062920005932820215
ZKIN,2020-11-16,1.8,1.84,1.72,1.84,37631,1.840000000000001,1.7721169321802457,1.7798256109332928,-0.00770867875304737,-0.004642354946882268
ZKIN,2020-11-13,1.645,1.65,1.6367,1.649,3054,1.649000000000001,1.7597745562130176,1.7750116598079562,-0.015237103594938572,-0.0038757739953410478
ZKIN,2020-11-12,1.71,1.7663,1.63,1.725,6533,1.7250000000000003,1.7799153846153846,1.785092592592593,-0.005177207977208109,-0.0010354415954416663
ZKIN,2020-11-11,1.8,1.8,1.7666,1.7899,4368,1.7899000000000007,1.7899,1.7899,0.0,0.0
