Symbol,Date,Open,High,Low,Close,Volume,FOLGF SMA,FOLGF spanTwelveEMA,FOLGF spanTwntySixEMA,FOLGF_x,FOLGF_y
FOLGF,2020-12-16,0.0966,0.10295,0.0966,0.10295,20510,0.10295,0.10317774228476176,0.10762449248914853,-0.004446750204386771,-0.004825410168929396
FOLGF,2020-12-15,0.10099999999999999,0.1067,0.1007,0.1011,92125,0.1011,0.10321914997290026,0.10799845188828043,-0.00477930191538016,-0.004920075160065053
FOLGF,2020-12-14,0.10099999999999999,0.10099999999999999,0.1,0.1,32500,0.1,0.10360444996797304,0.10855032803934284,-0.0049458780713698145,-0.004955268471236273
FOLGF,2020-12-11,0.10099999999999999,0.10099999999999999,0.10099999999999999,0.10099999999999999,375,0.101,0.1042598045076045,0.10923435428249027,-0.004974549774885789,-0.0049576160712028906
FOLGF,2020-12-10,0.10035,0.1029,0.0969,0.1029,1200,0.10290000000000003,0.10485249623625986,0.10989310262508953,-0.005040606388829652,-0.004953382645282169
FOLGF,2020-12-09,0.1,0.1,0.1,0.1,10000,0.10000000000000002,0.10520749555194348,0.11045255083509667,-0.005245055283153194,-0.004931576709395294
FOLGF,2020-12-08,0.1,0.1,0.1,0.1,2500,0.1,0.10615431292502413,0.1112887549019044,-0.005134441976880289,-0.00485320706595582
FOLGF,2020-12-07,0.11,0.11,0.11,0.11,1000,0.11,0.10727327891139213,0.11219185529405676,-0.00491857638266463,-0.004782898338224706
FOLGF,2020-12-04,0.11,0.11,0.1,0.1,10800,0.10000000000000002,0.10677751144073616,0.1123672037175813,-0.0055896922768451365,-0.004748978827114724
FOLGF,2020-12-03,0.105,0.1072,0.105,0.1072,14500,0.10720000000000003,0.10800978624814274,0.1133565800149878,-0.005346793766845062,-0.00453880046468212
FOLGF,2020-12-02,0.105,0.10735,0.105,0.105,163996,0.105,0.10815702011144142,0.1138491064161868,-0.005692086304745394,-0.004336802139141384
FOLGF,2020-12-01,0.0983,0.1,0.0983,0.1,13000,0.10000000000000002,0.10873102376806712,0.11455703492948174,-0.0058260111614146385,-0.003997981097740385
FOLGF,2020-11-30,0.1,0.1099,0.1,0.105,15700,0.105,0.11031848263498842,0.1157215977238403,-0.005403115088851884,-0.0035409735818218244
FOLGF,2020-11-27,0.1002,0.10099999999999999,0.1002,0.10099999999999999,2500,0.10100000000000002,0.11128547947771357,0.11657932554174752,-0.00529384606403395,-0.003075438205064309
FOLGF,2020-11-27,0.1002,0.10099999999999999,0.1002,0.10099999999999999,2500,0.10100000000000002,0.11315556665547967,0.11782567158508735,-0.004670104929607663,-0.002520836240321899
FOLGF,2020-11-25,0.1088,0.115,0.10099999999999999,0.10365,507494,0.10365000000000003,0.11536566968374873,0.11917172531189435,-0.003806055628145622,-0.0019835190680004542
FOLGF,2020-11-24,0.1026,0.1026,0.1026,0.1026,10000,0.10260000000000004,0.1174957914444303,0.12041346333684587,-0.002917671892415569,-0.0015278849279641623
FOLGF,2020-11-23,0.11,0.12,0.1093,0.12,71024,0.12000000000000002,0.12020411716159946,0.12183854040379355,-0.0016344232421940939,-0.0011804381868513107
FOLGF,2020-11-20,0.1162,0.1162,0.1156,0.1156,5100,0.11560000000000005,0.12024122937279935,0.12198562363609705,-0.0017443942632976855,-0.0010669419230156147
FOLGF,2020-11-19,0.1164,0.1164,0.1164,0.1164,310,0.11640000000000005,0.12108508925876288,0.1224964735269848,-0.0014113842682219185,-0.0008975788379450935
FOLGF,2020-11-18,0.12283,0.125,0.115,0.125,135140,0.12500000000000006,0.12193692366944706,0.12298419140914355,-0.0010472677396965308,-0.0007691274803758872
FOLGF,2020-11-17,0.10725,0.12,0.10725,0.1165,95200,0.11650000000000005,0.1213800007002556,0.12282292672187504,-0.0014429260216194673,-0.0006995924155457367
FOLGF,2020-11-16,0.11,0.125,0.11,0.125,43250,0.12500000000000006,0.12226727355484752,0.12332876085962505,-0.0010614873047775364,-0.0005137590140273109
FOLGF,2020-11-13,0.1123,0.1123,0.1123,0.1123,1200,0.11230000000000008,0.12177041420118345,0.12319506172839505,-0.0014246475272116227,-0.0003768269413397579
FOLGF,2020-11-12,0.113197,0.1174,0.11,0.1174,11500,0.11740000000000007,0.12349230769230768,0.12406666666666667,-0.0005743589743589794,-0.00011487179487179866
FOLGF,2020-11-11,0.1286,0.1286,0.1246,0.1246,1700,0.12460000000000007,0.1246,0.1246,0.0,0.0
