Symbol,Date,Open,High,Low,Close,Volume,OCX SMA,OCX spanTwelveEMA,OCX spanTwntySixEMA,OCX MACD,OCX MACD_Signal
OCX,2020-07-14,1.26,1.27,1.22,1.23,123369,1.23,1.23,1.23,0.0,0.0
OCX,2020-07-13,1.29,1.31,1.25,1.2825,103513,1.2825000000000002,1.2380769230769229,1.2338888888888888,0.004188034188034262,0.0008376068376068524
OCX,2020-07-10,1.31,1.32,1.28,1.29,135718,1.2900000000000005,1.2460650887573963,1.238045267489712,0.008019821267684524,0.002274049723622387
OCX,2020-07-09,1.3,1.37,1.2819,1.34,189205,1.3400000000000003,1.260516613563951,1.2455974698978811,0.014919143666069612,0.004803068512111833
OCX,2020-07-08,1.28,1.3,1.24,1.265,113661,1.2650000000000003,1.2612063653233432,1.24703469434989,0.014171670973453175,0.006676789004380101
OCX,2020-07-07,1.33,1.35,1.3,1.33,186683,1.3300000000000007,1.271790001427444,1.2531802725461945,0.01860972888124968,0.009063376979754017
OCX,2020-07-06,1.59,1.59,1.39,1.4299,533887,1.4299000000000008,1.2961146165924529,1.266270622727958,0.02984399386449499,0.013219500356702212
OCX,2020-07-06,1.59,1.59,1.39,1.4299,533887,1.4299000000000008,1.316696983270537,1.2783913173407018,0.038305665929835316,0.018236733471328835
OCX,2020-07-02,1.7,1.7,1.65,1.6680000000000001,122412,1.6680000000000008,1.370743601228916,1.3072512197599093,0.06349238146900693,0.027287863070864456
OCX,2020-07-01,1.76,1.8,1.702,1.73,482668,1.7300000000000009,1.4260138164244671,1.338565944222138,0.0874478722023293,0.03931986489715743
OCX,2020-06-30,1.6,1.83,1.55,1.78,1807321,1.7800000000000007,1.4804732292822416,1.3712647631686463,0.10920846611359523,0.05329758514044499
OCX,2020-06-29,3.37,3.42,3.09,3.33,105151,3.3300000000000014,1.765015809392666,1.516356262193191,0.24865954719947506,0.09236997755225101
OCX,2020-06-26,3.49,3.49,3.3,3.39,54181,3.390000000000001,2.0150133771784096,1.6551446872159177,0.3598686899624921,0.14586972003429924
OCX,2020-06-25,3.29,3.29,3.18,3.22,59464,3.220000000000001,2.200395934535577,1.7710598955702939,0.4293360389652832,0.20256298382049603
OCX,2020-06-24,3.16,3.34,3.15,3.165,50628,3.1650000000000014,2.348796559991642,1.8743147181206428,0.4744818418709993,0.2569467554305967
OCX,2020-06-23,3.25,3.36,3.18,3.2,63964,3.200000000000002,2.4797509353775435,1.972513627889484,0.5072373074880594,0.30700486584208925
OCX,2020-06-22,3.17,3.3,3.13,3.185,153598,3.1850000000000014,2.5882507914733064,2.062327433231004,0.5259233582423026,0.35078856432213196
OCX,2020-06-19,2.78,3.12,2.77,3.09,266093,3.090000000000001,2.6654429774004904,2.138451327065744,0.5269916503347458,0.3860291815246547
OCX,2020-06-18,2.37,2.53,2.37,2.505,41462,2.505000000000001,2.6407594424157987,2.16560308061643,0.4751563617993693,0.4038546175795976
OCX,2020-06-17,2.53,2.54,2.5,2.51,9058,2.5100000000000007,2.620642605121061,2.191113963533731,0.42952864158732973,0.40898942238114405
OCX,2020-06-16,2.48,2.53,2.48,2.505,40657,2.505000000000001,2.602851435102436,2.2143647810497518,0.3884866540526848,0.40488886871545227
OCX,2020-06-15,2.48,2.48,2.29,2.2906,69764,2.2906000000000004,2.554812752778984,2.220011834305325,0.3348009184736589,0.3908712786670936
OCX,2020-06-12,2.37,2.47,2.35,2.45,32443,2.4500000000000006,2.5386877138899098,2.237047994727153,0.3016397191627567,0.37302496676622626
OCX,2020-06-11,2.45,2.47,2.3501,2.4197,25455,2.4197000000000006,2.5203819117530006,2.2505777728955123,0.26980413885748833,0.35238080118447873
OCX,2020-06-10,2.59,2.6399,2.54,2.5431,36095,2.5431000000000004,2.5238770022525387,2.272246086014363,0.2516309162381756,0.3322308241952181
OCX,2020-06-09,2.6,2.62,2.5401,2.57,34290,2.5700000000000003,2.5309728480598404,2.294301931494781,0.2366709165650596,0.31311884266918644
OCX,2020-06-08,2.65,2.65,2.59,2.63,50171,2.6300000000000003,2.5462077945121724,2.31916845508776,0.22703933942441254,0.29590294202023165
OCX,2020-06-05,2.66,2.68,2.6237,2.6630000000000003,45108,2.6630000000000007,2.5641758261256844,2.3446374584145926,0.2195383677110918,0.2806300271584037
OCX,2020-06-04,2.7,2.71,2.65,2.68,7241,2.680000000000001,2.581994929798656,2.36947912816166,0.21251580163699613,0.2670071820541222
OCX,2020-06-03,2.71,2.72,2.66,2.66,69136,2.660000000000001,2.5939957098296316,2.3909991927422767,0.2029965170873549,0.2542050490607688
OCX,2020-06-02,2.86,2.8997,2.73,2.74,41873,2.740000000000002,2.616457908317381,2.416851104390997,0.1996068039263834,0.24328540003389174
OCX,2020-06-01,2.76,2.76,2.63,2.6941,18918,2.6941000000000024,2.628402845499322,2.437388059621294,0.191014785878028,0.23283127720271898
