Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA,EVOK spanTwelveEMA,EVOK spanTwntySixEMA,EVOK MACD,EVOK MACD_Signal
EVOK,2020-07-14,3.4,3.4399,3.34,3.34,89402,3.34,3.34,3.34,0.0,0.0
EVOK,2020-07-13,3.47,3.53,3.42,3.4302,101558,3.4302,3.3538769230769234,3.3466814814814816,0.0071954415954413875,0.0014390883190882775
EVOK,2020-07-10,3.56,3.5646,3.46,3.472,96505,3.4720000000000004,3.372049704142012,3.3559643347050754,0.016085369436936503,0.004368344542657923
EVOK,2020-07-09,3.62,3.66,3.59,3.6573,40690,3.6573000000000007,3.4159343650432414,3.378285495097292,0.03764886994594896,0.01102444962331613
EVOK,2020-07-08,3.61,3.6409,3.52,3.6409,84625,3.6409,3.450544462728897,3.3977384213863813,0.052806041342514654,0.019380767967155835
EVOK,2020-07-07,3.59,3.59,3.46,3.51,60078,3.51,3.459691468462912,3.406054093876279,0.05363737458663298,0.026232089291051267
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.69,3.4951235502378486,3.427087123959517,0.06803642627833106,0.03459295668850723
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.690000000000001,3.5251045425089487,3.4465621518143683,0.07854239069458037,0.043382843489721865
EVOK,2020-07-02,3.59,3.705,3.5582,3.7,176642,3.7000000000000006,3.5520115359691107,3.4653353257540447,0.086676210215066,0.05204151683479069
EVOK,2020-07-01,3.59,3.5929,3.4,3.4489,114213,3.4489000000000014,3.5361482227430936,3.464117894216708,0.07203032852638548,0.05603927917310965
EVOK,2020-06-30,3.3942,3.52,3.3942,3.46,96451,3.4600000000000013,3.5244331115518484,3.4638128650154703,0.0606202465363781,0.05695547264576334
EVOK,2020-06-29,3.58,3.66,3.38,3.43,133468,3.4300000000000006,3.5099049405438723,3.4613082083476576,0.04859673219621419,0.055283724555853515
EVOK,2020-06-26,3.72,3.73,3.51,3.5999,239068,3.5999000000000003,3.5237503343063525,3.471574266988572,0.05217606731778135,0.05466219310823908
EVOK,2020-06-25,3.46,3.61,3.41,3.5839999999999996,262504,3.5839999999999996,3.533019513643837,3.479902099063493,0.05311741458034458,0.05435323740266019
EVOK,2020-06-24,3.43,3.5511,3.41,3.4399,384569,3.4399,3.518693434621708,3.476938980614345,0.04175445400736333,0.05183348072360082
EVOK,2020-06-23,3.62,3.76,3.42,3.56,1717413,3.56,3.5250482908337526,3.4830916487169863,0.04195664211676675,0.04985811300223401
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1999,3.628871630705484,3.5361885636268395,0.09268306707864404,0.05842310381751602
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.339999999999999,3.4305836875200244,3.4475820033581854,-0.016998315838160586,0.043338819886380706
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.3999999999999986,3.2720323509784817,3.369983336442764,-0.09795098546428173,0.01508085881624822
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.4300999999999977,3.1425042969817927,3.3003623485581146,-0.15785805157632193,-0.019506923262265816
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.701099999999998,3.0745959435999786,3.255972544961217,-0.18137660136123834,-0.05188085888206032
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5979999999999985,3.001273490738443,3.2072338379270526,-0.2059603471886096,-0.08269675654337018
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4200999999999984,2.91186218447099,3.1489276277102336,-0.2370654432392434,-0.11357049388254482
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.3499999999999983,2.82542184839853,3.0897478034354013,-0.2643259550368713,-0.14372158611341013
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5598999999999985,2.7845723332602947,3.050499817995742,-0.26592748473544736,-0.16816276583781758
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5599999999999987,2.750022743527942,3.014166498144206,-0.26414375461626394,-0.18735896359350687
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5849999999999977,2.724634629139028,2.982376387170561,-0.2577417580315329,-0.20143552248111207
EVOK,2020-06-05,2.33,2.3807,2.27,2.32,140083,2.3199999999999985,2.662383147733024,2.9333114696023714,-0.2709283218693477,-0.2153340823587592
EVOK,2020-06-04,2.38,2.4,2.31,2.3283,68177,2.328299999999999,2.6109857403894816,2.8884958051873815,-0.2775100647978994,-0.22776927884658724
EVOK,2020-06-03,2.39,2.4,2.32,2.335,55067,2.3349999999999995,2.5685263957141764,2.8474961159142413,-0.2789697202000649,-0.23800936711728277
EVOK,2020-06-02,2.34,2.4,2.31,2.36,59340,2.3599999999999994,2.536445411758149,2.8113852925131866,-0.2749398807550376,-0.24539546984483376
EVOK,2020-06-01,2.47,2.49,2.41,2.44,60954,2.439999999999999,2.5216076561030487,2.7838752708455434,-0.2622676147424947,-0.24876989882436598
