Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA,AFMD spanTwelveEMA,AFMD spanTwntySixEMA,AFMD MACD,AFMD MACD_Signal
AFMD,2020-07-14,4.26,4.346,4.19,4.23,87775,4.23,4.23,4.23,0.0,0.0
AFMD,2020-07-13,4.42,4.5,4.4,4.41,95578,4.41,4.2576923076923086,4.243333333333334,0.014358974358974487,0.0028717948717948976
AFMD,2020-07-10,4.51,4.6,4.42,4.58,97605,4.58,4.3072781065088765,4.268271604938272,0.039006501570604264,0.010098736211556771
AFMD,2020-07-09,4.62,4.71,4.59,4.7,110638,4.700000000000001,4.367696859353663,4.3002514860539565,0.06744537329970868,0.021568063629187152
AFMD,2020-07-08,4.39,4.51,4.39,4.46,60051,4.46,4.3818973425300225,4.312084709309219,0.06981263322080533,0.03121697754751079
AFMD,2020-07-07,4.35,4.5068,4.32,4.415,169298,4.415,4.386990059063866,4.3197080641752015,0.06728199488866426,0.038429981015741486
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.4136069730540415,4.337507466828891,0.07609950622514994,0.04596388605762318
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.436128977199574,4.353988395211935,0.08214058198763753,0.05319922524362605
AFMD,2020-07-02,4.79,4.79,4.65,4.67,130865,4.670000000000001,4.4721091345534845,4.377396662233273,0.09471247232021174,0.0615018746589432
AFMD,2020-07-01,4.63,4.71,4.59,4.66,80935,4.660000000000002,4.501015421545255,4.398330242808586,0.10268517873667003,0.06973853547448858
AFMD,2020-06-30,4.54,4.5945,4.45,4.57,174862,4.570000000000002,4.511628433615217,4.4110465211190615,0.10058191249615513,0.07590721087882189
AFMD,2020-06-29,4.73,4.73,4.51,4.68,219772,4.6800000000000015,4.537531751520568,4.430969001036168,0.10656275048440024,0.08203831879993756
AFMD,2020-06-26,4.52,4.64,4.41,4.565,236222,4.565000000000001,4.54175763590202,4.440897223181637,0.10086041272038226,0.08580273758402651
AFMD,2020-06-25,4.11,4.265,4.03,4.265,123289,4.2650000000000015,4.4991795380709405,4.427867799242257,0.07131173882868236,0.08290453783295768
AFMD,2020-06-24,4.23,4.4075,4.2,4.215,221883,4.215000000000002,4.455459609136949,4.412099814113201,0.04335979502374787,0.07499558927111571
AFMD,2020-06-23,4.18,4.38,3.93,4.38,405179,4.380000000000001,4.443850438500496,4.409722050104817,0.03412838839568,0.06682214909602857
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9636000000000013,4.369965755654266,4.376675972319274,-0.006710216665007707,0.05211567594382131
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.63,4.2561248701689935,4.321366641036365,-0.06524177086737026,0.028644186581583
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.5600000000000005,4.149028736296842,4.264969112070708,-0.1159403757738664,-0.0002727258895068793
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.620000000000001,4.067639699943482,4.2171936222876925,-0.14955392234421086,-0.030128965180447675
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.4750000000000005,3.9764643614906383,4.162216316933049,-0.1857519554424103,-0.0612535632328402
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.100000000000001,3.8416236904920784,4.08353362678986,-0.2419099362977817,-0.0973848378458285
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1300000000000003,3.7321431227240662,4.012901506286909,-0.2807583835628411,-0.13405954698923103
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.12,3.6379672576895943,3.94676065396936,-0.30879339627976465,-0.16900631684733777
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.29,3.584433833429657,3.8981117166382964,-0.31367788320863843,-0.19794063011959792
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3920000000000003,3.5548286282866335,3.8606219598502736,-0.30579333156364097,-0.21951117040840656
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.5000000000000004,3.5463934547040745,3.833909222083587,-0.28751576737951234,-0.2331120898026277
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3200000000000003,3.511563692441909,3.795841872299617,-0.2842781798577083,-0.24334530781364386
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5168000000000004,3.5123692782200764,3.7751721039811272,-0.2628028257610504,-0.24723681140312517
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,3.53,3.5150816969554497,3.7570112073899318,-0.2419295104344825,-0.24617535120939665
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,3.345,3.488915282039227,3.7264918586943816,-0.2375765766551545,-0.24445559629854824
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,3.3366,3.4654821617255003,3.697610980272576,-0.2321288185470758,-0.24199024074825376
