Symbol,Date,Open,High,Low,Close,Volume,PED SMA,PED spanTwelveEMA,PED spanTwntySixEMA,PED_x,PED_y
PED,2021-01-25,1.52,1.52,1.47,1.4937,37696,1.4937,1.4082593158768133,1.3506978560043261,0.057561459872487175,0.051730866184000135
PED,2021-01-22,1.44,1.44,1.4,1.44,25659,1.44,1.3927246460362337,1.3392576844846722,0.05346696155156172,0.05027321776187837
PED,2021-01-21,1.44,1.46,1.43,1.4301,64093,1.4301,1.3841291271337308,1.3311982992434457,0.05293082789028514,0.04947478181445758
PED,2021-01-20,1.44,1.4499,1.41,1.42,30986,1.42,1.3757707866125908,1.3232861631829211,0.052484623429669634,0.04861077029550069
PED,2021-01-19,1.37,1.41,1.37,1.4,21760,1.4,1.3677291114512435,1.3155490562375547,0.05218005521368885,0.04764230701195846
PED,2021-01-19,1.37,1.41,1.37,1.4,21760,1.4,1.3618616771696517,1.3087929807365593,0.05306869643309242,0.04650786996152586
PED,2021-01-15,1.41,1.41,1.39,1.3989,21583,1.3988999999999998,1.354927436655043,1.301496419195484,0.053431017459558916,0.04486766334363422
PED,2021-01-14,1.36,1.389,1.3566,1.385,35677,1.385,1.3469324251377783,1.2937041327311227,0.05322829240665538,0.042726824814653036
PED,2021-01-13,1.48,1.48,1.41,1.41,98183,1.41,1.3400110478901013,1.2864004633496129,0.05361058454048862,0.04010145791665239
PED,2021-01-12,1.45,1.45,1.41,1.44,40663,1.4399999999999995,1.3272857838701195,1.2765125004175817,0.050773283452537836,0.036724176260693395
PED,2021-01-11,1.34,1.3578,1.3201,1.3578,18243,1.3577999999999997,1.306792290028323,1.2634335004509882,0.043358789577335084,0.03321189946273228
PED,2021-01-08,1.35,1.38,1.3419999999999999,1.3543,61120,1.3542999999999996,1.2975181609425641,1.2558841804870675,0.041633980455496385,0.030675176934081633
PED,2021-01-07,1.3,1.31,1.3,1.31,24181,1.3099999999999998,1.2871941902048485,1.248010914926033,0.03918327527881527,0.02793547605372789
PED,2021-01-06,1.28,1.34,1.27,1.335,89507,1.3349999999999995,1.2830476793330026,1.2430517881201155,0.039995891212886825,0.025123526247455986
PED,2021-01-05,1.21,1.27,1.21,1.255,90954,1.2549999999999994,1.273601802848094,1.235695931169725,0.037905871678368896,0.02140543500609822
PED,2021-01-04,1.38,1.38,1.32,1.355,172833,1.3549999999999995,1.2769839488204746,1.234151605663303,0.04283234315717155,0.017280325838030547
PED,2021-01-04,1.38,1.38,1.32,1.355,172833,1.3549999999999995,1.2627992122423792,1.2244837341163672,0.03831547812601177,0.010892321508245293
PED,2020-12-31,1.65,1.77,1.47,1.645,3900101,1.6449999999999996,1.2460354326500842,1.2140424328456765,0.03199299980440773,0.004036532353803617
PED,2020-12-30,1.12,1.1327,1.12,1.13,13199,1.1299999999999994,1.173496420404645,1.1795658274733305,-0.006069407068685528,-0.002952584508847411
PED,2020-12-29,1.27,1.27,1.1837,1.1837,18348,1.1836999999999995,1.1814048604782168,1.1835310936711971,-0.0021262331929803317,-0.0021733788688878815
PED,2020-12-28,1.17,1.2,1.16,1.19,22461,1.1899999999999995,1.1809875623833468,1.1835175811648928,-0.0025300187815457953,-0.0021851652878647687
PED,2020-12-28,1.17,1.2,1.16,1.19,22461,1.1899999999999995,1.1793489373621373,1.1829989876580842,-0.003650050295946894,-0.0020989519144444567
PED,2020-12-24,1.13,1.17,1.125,1.15,29102,1.1499999999999997,1.1774123805188896,1.182438906670731,-0.005026526151841404,-0.0017111773190688472
PED,2020-12-23,1.16,1.2,1.14,1.1762,20543,1.1761999999999992,1.182396449704142,1.1850340192043896,-0.002637569500247405,-0.0008823401108757079
PED,2020-12-22,1.17,1.17,1.16,1.16,8146,1.159999999999999,1.1835230769230771,1.1857407407407408,-0.0022176638176638623,-0.000443532763532728
PED,2020-12-21,1.22,1.22,1.18,1.1878,3699,1.1877999999999989,1.1878,1.1878,0.0,0.0
