Symbol,Date,Open,High,Low,Close,Volume,UAMY SMA,UAMY spanTwelveEMA,UAMY spanTwntySixEMA,UAMY_x,UAMY_y
UAMY,2021-02-16,1.76,1.8,1.76,1.7953,642299,1.7953,1.2043688833551391,0.988513766557432,0.2158551167977069,0.1233537200512942
UAMY,2021-02-12,1.55,1.55,1.44,1.485,2028812,1.485,1.0969268621469823,0.9239708678820266,0.1729559942649559,0.10022837086469094
UAMY,2021-02-11,1.6,1.84,1.55,1.5911,7029281,1.5911000000000002,1.0263681098100699,0.8790885373125887,0.14727957249748136,0.08204646501462476
UAMY,2021-02-10,1.6,1.6,1.35,1.4589,13992213,1.4589000000000003,0.923689584320992,0.8221276202975959,0.101561964023396,0.06573818814391066
UAMY,2021-02-09,0.8873,0.98,0.88,0.956,5938593,0.9560000000000002,0.8263785996520814,0.7711858299214036,0.05519276973067777,0.056782244174039306
UAMY,2021-02-08,0.7789,0.83,0.7789,0.83,2481358,0.8300000000000001,0.8028110723160962,0.756400696315116,0.046410376000980184,0.05717961278487968
UAMY,2021-02-05,0.7912,0.7912,0.7609999999999999,0.7609999999999999,663578,0.7609999999999999,0.7978676309190228,0.7505127520203253,0.04735487889869749,0.059871921980854545
UAMY,2021-02-04,0.8069,0.81,0.79,0.7997,886440,0.7997000000000001,0.8045708365406633,0.7496737721819513,0.05489706435871201,0.0630011827513938
UAMY,2021-02-03,0.82,0.847,0.8105,0.8290000000000001,2256120,0.8290000000000003,0.8054564431844202,0.7456716739565075,0.05978476922791276,0.06502721234956425
UAMY,2021-02-02,0.8101,0.8265,0.77,0.7853,1564134,0.7853000000000002,0.8011757964906785,0.7390054078730279,0.06217038861765045,0.06633782312997713
UAMY,2021-02-01,0.748,0.81,0.7390000000000001,0.7671,8395704,0.7671000000000002,0.8040623049435291,0.7353018405028704,0.06876046444065875,0.06737968175805877
UAMY,2021-01-29,0.8482,0.8768,0.815,0.86,621463,0.8600000000000002,0.8107827240241708,0.7327579877431,0.07802473628107087,0.06703448608740877
UAMY,2021-01-28,0.8925,0.8959999999999999,0.84,0.8598,590309,0.8598000000000002,0.8018341283922019,0.7225786267625479,0.07925550162965402,0.06428692353899323
UAMY,2021-01-27,0.83,0.85,0.8007,0.84,1947304,0.8400000000000002,0.7912948790089659,0.7116009169035518,0.07969396210541413,0.06054477901632804
UAMY,2021-01-26,0.966,0.9670000000000001,0.91,0.938,719374,0.938,0.7824394024651415,0.7013289902558361,0.0811104122093056,0.05575748324405652
UAMY,2021-01-25,0.8478,0.867,0.84,0.849899,524864,0.849899,0.7541556574588038,0.6823953094763028,0.07176034798250097,0.049419251002744274
UAMY,2021-01-22,0.889,0.89,0.862,0.8675510000000001,321871,0.8675510000000001,0.7367477769967681,0.668995014234407,0.06775276276236109,0.04383397675780509
UAMY,2021-01-21,0.92,0.92,0.83,0.8503,673355,0.8503,0.7129653728143623,0.6531105353731596,0.05985483744120279,0.037854280256666095
UAMY,2021-01-20,0.82,0.83,0.78,0.780001,1035903,0.780001,0.6879954405987918,0.6373353782030123,0.05066006239577947,0.032354140960531914
UAMY,2021-01-19,0.69,0.793099,0.68,0.7656,2470359,0.7656,0.6712671570712994,0.6259221284592533,0.045345028612046034,0.027777660601720024
UAMY,2021-01-19,0.69,0.793099,0.68,0.7656,2470359,0.7656,0.6541157310842629,0.6147478987359936,0.03936783234826935,0.02338581859913852
UAMY,2021-01-15,0.69,0.69,0.660301,0.6847989999999999,387484,0.6847989999999999,0.6338458640086744,0.6026797306348731,0.03116613337380125,0.01939031516185581
UAMY,2021-01-14,0.6679999999999999,0.677,0.64,0.6551,321989,0.6551,0.624581657464797,0.5961101890856629,0.028471468379134057,0.016446360608869448
UAMY,2021-01-13,0.6709999999999999,0.674999,0.655,0.668351,399535,0.6683509999999999,0.619032867912942,0.5913910042125159,0.02764186370042609,0.013440083666303294
UAMY,2021-01-12,0.6624,0.7455,0.66,0.7052,2264751,0.7051999999999999,0.6100659348062042,0.5852342045495172,0.024831730256686942,0.009889638657772594
UAMY,2021-01-11,0.71,0.71,0.63,0.660201,865856,0.6602009999999998,0.5927688320436959,0.5756369409134786,0.01713189113021729,0.006154115758044006
UAMY,2021-01-08,0.64,0.6936,0.629,0.637501,2359003,0.6375009999999997,0.5805084378698224,0.5688718161865569,0.011636621683265512,0.0034096719150006833
UAMY,2021-01-07,0.6428,0.68,0.58,0.6419,1860523,0.6418999999999996,0.5701461538461539,0.5633814814814815,0.006764672364672375,0.001352934472934475
UAMY,2021-01-06,0.589,0.589,0.5437,0.5571,465876,0.5570999999999996,0.5571,0.5571,0.0,0.0
