Symbol,Date,Open,High,Low,Close,Volume,CRVS SMA,CRVS spanTwelveEMA,CRVS spanTwntySixEMA,CRVS_x,CRVS_y
CRVS,2021-02-16,3.5793,3.67,3.56,3.63,147839,3.63,3.9414303678833034,3.943847738729621,-0.002417370846318434,0.036286146210372065
CRVS,2021-02-12,3.51,3.62,3.48,3.535,856986,3.535,3.998054071134813,3.968955557827991,0.02909851330682134,0.04596202547454447
CRVS,2021-02-11,4.245,4.32,4.03,4.04,98936,4.04,4.082245720432051,4.003672002454231,0.07857371797782076,0.050177903516475136
CRVS,2021-02-10,4.68,4.71,4.15,4.35,358741,4.3500000000000005,4.089926760510606,4.000765762650569,0.08916099786003695,0.043078949901138947
CRVS,2021-02-09,4.26,4.34,4.22,4.26,33071,4.26,4.04264071696708,3.9728270236626138,0.06981369330446574,0.031558437911414446
CRVS,2021-02-08,4.1,4.2455,4.1,4.2397,22333,4.239700000000001,4.003120847324731,3.949853185555624,0.05326766176910791,0.02199462406315151
CRVS,2021-02-05,4.09,4.09,3.91,3.91,54322,3.910000000000001,3.960106455929228,3.9266654404000736,0.033441015529155134,0.014176364636662518
CRVS,2021-02-04,4.27,4.4665,4.1,4.15,197095,4.150000000000002,3.9692167206436335,3.9279986756320793,0.04121804501155424,0.009360201913539588
CRVS,2021-02-03,4.28,4.28,4.09,4.18,118394,4.1800000000000015,3.9363470334879302,3.9102385696826456,0.026108463805285087,0.001395741139035924
CRVS,2021-02-02,4.06,4.2,3.8801,4.16,246515,4.160000000000002,3.8920464941221,3.8886576552572576,0.003388838864842203,-0.0047824395275262565
CRVS,2021-02-01,3.81,3.81,3.6839999999999997,3.72,3068,3.7200000000000015,3.843327674871572,3.8669502676778382,-0.023622592806265885,-0.006825259125618372
CRVS,2021-01-29,3.71,3.75,3.7,3.735,5626,3.7350000000000017,3.865750888484585,3.878706289092065,-0.012955400607479906,-0.0026259257054563816
CRVS,2021-01-28,3.81,3.8899,3.76,3.8379,14819,3.8379000000000016,3.889523777299965,3.8902027922194313,-0.0006790149194664253,-4.3556979950389296e-05
CRVS,2021-01-27,3.87,3.88,3.75,3.87,46449,3.8700000000000014,3.8989099186272314,3.8943870155969855,0.00452290303024494,0.00011530750492861968
CRVS,2021-01-26,3.98,4.06,3.94,3.99,34652,3.990000000000003,3.9041662674685447,3.8963379768447446,0.007828290623800527,-0.0009865913764006825
CRVS,2021-01-25,4.06,4.11,4.01,4.01,9052,4.010000000000003,3.888560134281008,3.8888450149923237,-0.000284880711316493,-0.0031903118764508736
CRVS,2021-01-22,3.89,3.97,3.81,3.9,10242,3.900000000000005,3.866480158695736,3.87915261619171,-0.012672457495973788,-0.003916669667734691
CRVS,2021-01-21,3.86,3.98,3.76,3.76,31164,3.760000000000004,3.8603856420949607,3.8774848254870466,-0.01709918339208638,-0.001727722710674805
CRVS,2021-01-20,3.79,3.8027,3.74,3.74,41732,3.740000000000004,3.878637577021317,3.8868836115260113,-0.008246034504693522,0.0021151424596779784
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.8637000000000032,3.9038444092070113,3.898634300448092,0.005210108758919585,0.004705436700771075
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.863700000000003,3.9111433926991945,3.901429044483939,0.009714348215255963,0.004579268686234058
CRVS,2021-01-15,4.3,4.325,4.1008,4.1008,64655,4.100800000000003,3.9197694640990486,3.904447368042654,0.015322096056394676,0.0032954988039786922
CRVS,2021-01-14,3.86,3.91,3.83,3.8753,5519,3.875300000000004,3.886854821207966,3.888739157486066,-0.0018843362781000292,0.0002888494908746967
CRVS,2021-01-13,3.89,3.89,3.82,3.8601,5767,3.860100000000004,3.888955697791233,3.889814290084952,-0.0008585922937189848,0.0008321459331183782
CRVS,2021-01-12,3.95,3.98,3.88,3.91,16164,3.910000000000004,3.8942021882987294,3.892191433291748,0.0020107550069816678,0.001254830489827719
CRVS,2021-01-11,3.91,3.91,3.7924,3.8643,30118,3.864300000000004,3.891329858898498,3.890766747955088,0.0005631109434101057,0.0010658493605393425
CRVS,2021-01-08,3.89,3.96,3.88,3.9,4244,3.900000000000005,3.896244378698225,3.8928840877914954,0.003360290906730068,0.0011915339648216517
CRVS,2021-01-07,3.87,3.93,3.84,3.93,8975,3.930000000000004,3.8955615384615383,3.892314814814815,0.0032467236467241807,0.0006493447293446586
CRVS,2021-01-06,3.94,3.97,3.8893,3.8893,3061,3.889300000000004,3.8893,3.8893,0.0,0.0
