Symbol,Date,Open,High,Low,Close,Volume,REFR SMA,REFR spanTwelveEMA,REFR spanTwntySixEMA,REFR_x,REFR_y
REFR,2021-02-16,4.79,4.8899,4.79,4.8899,2578,4.8899,4.579157823500492,4.229408425881553,0.34974939761893875,0.3550734040888387
REFR,2021-02-12,4.46,4.53,4.4,4.5,10057,4.500000000000001,4.5226592459551265,4.1765690999520775,0.3460901460030499,0.35640440570631365
REFR,2021-02-11,4.53,4.65,4.53,4.61,5978,4.610000000000001,4.52677910885606,4.150694627948243,0.3760844809078154,0.3589829706321298
REFR,2021-02-10,4.99,4.99,4.83,4.83,27257,4.830000000000001,4.511648037738978,4.113950198184104,0.39769783955487537,0.3547075930632081
REFR,2021-02-09,4.91,5.1,4.81,5.1,70418,5.1,4.453765862782429,4.056666214038832,0.3970996487435983,0.3439600314402915
REFR,2021-02-08,5.39,5.4899,5.18,5.21,44865,5.209999999999999,4.33626874692469,3.973199511161938,0.3630692357627514,0.33067512711446506
REFR,2021-02-05,4.95,5.1,4.78,4.8051,97878,4.8051,4.1774085190928165,3.8742554720548927,0.30315304703792245,0.32257659995239335
REFR,2021-02-04,4.05,4.08,3.95,3.965,22098,3.964999999999999,4.063282795291509,3.7997879098192846,0.2634948854722245,0.32743248818101073
REFR,2021-02-03,3.97,4.02,3.92,4.01,26420,4.009999999999999,4.08115239443542,3.7865709426048273,0.2945814518305925,0.34341688885820726
REFR,2021-02-02,4.15,4.15,3.95,3.95,27016,3.9499999999999993,4.094089193423678,3.768696618013213,0.32539257541046496,0.35562574811511094
REFR,2021-02-01,4.1,4.27,3.92,3.92,50999,3.919999999999999,4.1202872285916206,3.7541923474542704,0.3660948811373492,0.36318404129127235
REFR,2021-01-29,3.93,4.15,3.8712,4.15,41374,4.15,4.156703088335551,3.740927735250612,0.4157753530849386,0.36245633132975286
REFR,2021-01-28,4.28,4.2868,4.21,4.28,19414,4.279999999999999,4.157921831669287,3.708201954070661,0.4497198775986262,0.3491265758909564
REFR,2021-01-27,4.78,4.81,4.6401,4.79,40232,4.79,4.1357258010637015,3.662458110396314,0.4732676906673885,0.3239782504640389
REFR,2021-01-26,4.99,5.02,4.81,4.84,105160,4.839999999999999,4.016766855802556,3.5722547592280187,0.4445120965745386,0.28665589041320166
REFR,2021-01-25,4.61,4.68,4.42,4.6,82699,4.599999999999998,3.867088102312113,3.4708351399662596,0.3962529623458528,0.24719183887286764
REFR,2021-01-22,4.45,4.49,4.25,4.49,29487,4.489999999999998,3.733831393641588,3.3805019511635606,0.3533294424780267,0.2099265580046212
REFR,2021-01-21,4.3,4.35,4.04,4.2695,77804,4.269499999999999,3.5963461924855125,3.291742107256645,0.3046040852288669,0.1740758368862696
REFR,2021-01-20,3.94,4.0,3.87,3.9181,22030,3.9181,3.4739545911192415,3.213521475837177,0.26043311528206514,0.14144377480062015
REFR,2021-01-19,3.94,4.05,3.9075,3.9075,65133,3.9075,3.3932008804136498,3.1571551939041513,0.2360456865094989,0.111696439680259
REFR,2021-01-19,3.94,4.05,3.9075,3.9075,65133,3.9074999999999993,3.2996919495797683,3.097127609416483,0.20256434016328484,0.08060912797294914
REFR,2021-01-15,3.95,3.95,3.845,3.8833,29256,3.883299999999999,3.189181394957908,3.032297818169802,0.15688357678810586,0.05012032492536511
REFR,2021-01-14,3.91,3.95,3.56,3.83,311302,3.8299999999999983,3.062978012222982,2.9642176436233862,0.0987603685995957,0.023429511959679822
REFR,2021-01-13,3.13,3.24,3.13,3.21,54862,3.209999999999998,2.9235194689907966,2.8949550551132566,0.02856441387754005,0.004596797799700852
REFR,2021-01-12,2.94,2.96,2.94,2.9419,1056,2.9418999999999977,2.8714320997163965,2.8697514595223184,0.001680640194078542,-0.0013951062197589488
REFR,2021-01-11,2.9,2.9269,2.82,2.85,13568,2.8499999999999983,2.8586197542102867,2.863979576284104,-0.005359822073816911,-0.0021640428232182103
REFR,2021-01-08,2.86,2.86,2.8,2.8316,3243,2.8315999999999977,2.8601869822485204,2.865097942386832,-0.004910960138311271,-0.001365098010568424
REFR,2021-01-07,2.87,2.92,2.84,2.84,30017,2.839999999999998,2.8653846153846154,2.8677777777777784,-0.0023931623931625623,-0.0004786324786326013
REFR,2021-01-06,2.84,2.89,2.84,2.87,4317,2.8699999999999983,2.87,2.87,0.0,0.0
