Symbol,Date,Open,High,Low,Close,Volume,ADAP SMA,ADAP spanTwelveEMA,ADAP spanTwntySixEMA,ADAP_x,ADAP_y
ADAP,2021-07-12,4.13,4.13,4.1,4.11,5522,4.11,4.170992877079949,4.312255906418555,-0.1412630293386056,-0.1473106713539862
ADAP,2021-07-09,4.07,4.07,4.07,4.07,3648,4.07,4.182082491094485,4.32843637893204,-0.1463538878375541,-0.14882258185783132
ADAP,2021-07-08,3.89,3.89,3.87,3.87,5712,3.87,4.202461125838937,4.349111289246603,-0.1466501634076662,-0.14943975536290038
ADAP,2021-07-07,4.17,4.17,4.17,4.17,2005,4.17,4.262908603264199,4.387440192386331,-0.1245315891221316,-0.1501371533517089
ADAP,2021-07-06,4.27,4.275,4.21,4.2384,8010,4.2384,4.279801076584962,4.404835407777236,-0.1250343311922739,-0.1565385444091032
ADAP,2021-07-06,4.27,4.275,4.21,4.2384,8010,4.2384,4.287328545054955,4.418150240399416,-0.1308216953444603,-0.1644145977133105
ADAP,2021-07-02,4.37,4.37,4.301,4.301,4398,4.301,4.296224644155856,4.43253025963137,-0.1363056154755133,-0.17281282330552303
ADAP,2021-07-01,4.27,4.27,4.27,4.27,2386,4.27,4.295356397638739,4.44305268040188,-0.1476962827631407,-0.18193962526302543
ADAP,2021-06-30,4.4,4.4,4.39,4.39,6200,4.39,4.299966651754874,4.4568968948340295,-0.1569302430791559,-0.19050046088799638
ADAP,2021-06-29,4.38,4.38,4.3,4.33,12007,4.33,4.283596952073942,4.462248646420752,-0.1786516943468106,-0.19889301534020648
ADAP,2021-06-28,4.35,4.354,4.33,4.354,4866,4.354,4.275160034269203,4.472828538134412,-0.1976685038652093,-0.2039533455885554
ADAP,2021-06-25,4.32,4.35,4.32,4.35,2865,4.35,4.260825495045422,4.482334821185165,-0.2215093261397429,-0.20552455601939193
ADAP,2021-06-24,4.15,4.2,4.15,4.195,8560,4.195,4.244611948690044,4.492921606879978,-0.2483096581899344,-0.20152836348930414
ADAP,2021-06-23,3.9,3.9,3.898,3.898,22432,3.898,4.253632302997325,4.516755335430377,-0.263123032433052,-0.18983303981414654
ADAP,2021-06-22,3.91,3.95,3.91,3.95,6448,3.95,4.318292721724111,4.566255762264807,-0.2479630405406956,-0.17151054165942015
ADAP,2021-06-21,3.99,4.01,3.99,4.01,15823,4.01,4.3852550347648585,4.615556223245991,-0.2303011884811328,-0.15239741693910128
ADAP,2021-06-18,4.16,4.19,4.11,4.11,12974,4.11,4.453483222903923,4.664000721105671,-0.2105174982017477,-0.1329214740535934
ADAP,2021-06-17,4.0,4.0,3.96,4.0,25227,4.0,4.515934717977364,4.708320778794125,-0.1923860608167604,-0.11352246801655483
ADAP,2021-06-16,4.07,4.16,4.07,4.15,14256,4.15,4.609741030336885,4.764986441097654,-0.1552454107607692,-0.09380656981650341
ADAP,2021-06-15,4.48,4.5289,4.48,4.5289,2211,4.5289,4.693330308579955,4.814185356385466,-0.1208550478055112,-0.07844685958043696
ADAP,2021-06-14,4.46,4.48,4.45,4.45,10033,4.45,4.723226728321765,4.837008184896303,-0.1137814565745376,-0.06784481252416838
ADAP,2021-06-11,4.65,4.66,4.6,4.61,6443,4.61,4.772904315289359,4.867968839688007,-0.0950645243986478,-0.05636065151157606
ADAP,2021-06-10,4.6,4.62,4.57,4.58,10116,4.58,4.802523281705605,4.888606346863047,-0.0860830651574415,-0.04668468328980788
ADAP,2021-06-09,4.71,4.71,4.7,4.7,6090,4.7,4.842982060197534,4.91329485461209,-0.0703127944145558,-0.03683508782289945
ADAP,2021-06-08,4.7,4.7,4.7,4.7,11495,4.7,4.868978798415268,4.930358442981057,-0.0613796445657897,-0.028465661174985352
ADAP,2021-06-07,4.75,4.75,4.75,4.75,8270,4.75,4.8997022163089525,4.948787118419542,-0.0490849021105894,-0.020237165327284486
ADAP,2021-06-04,4.74,4.765,4.74,4.765,9414,4.765,4.926920801092399,4.964690087893105,-0.0377692868007066,-0.013025231131458242
ADAP,2021-06-03,4.79,4.85,4.79,4.82,10736,4.82,4.956360946745562,4.980665294924554,-0.0243043481789921,-0.006839217214146132
ADAP,2021-06-02,4.85,4.88,4.85,4.85,10539,4.85,4.981153846153846,4.993518518518519,-0.012364672364673,-0.002472934472934618
ADAP,2021-06-01,5.04,5.04,5.005,5.005,9752,5.005,5.005,5.005,0.0,0.0
