Symbol,Date,Open,High,Low,Close,Volume,NCTY SMA_x,NCTY spanTwelveEMA_x,NCTY spanTwntySixEMA_x,NCTY_x,NCTY_y,NCTY SMA_y,NCTY spanTwelveEMA_y,NCTY spanTwntySixEMA_y,NCTY_x,NCTY_y
NCTY,2020-11-12,2.4746,2.59,2.4746,2.5643,38477,2.5643,2.4024393703409284,2.939139587725973,-0.5367002173850448,-0.7589277455527478,2.5643,2.3843448141543035,2.551806002638349,-0.16746118848404554,-0.7589277455527478
NCTY,2020-11-11,2.41,2.55,2.405,2.53,107873,2.53,2.3730101649483704,2.969126754744051,-0.596116589795681,-0.8144846275946734,2.53,2.3516256894550858,2.550806482849417,-0.19918079339433128,-0.8144846275946734
NCTY,2020-11-10,2.3,2.32,2.255,2.2839,24669,2.2839000000000005,2.3444665585753457,3.0042568951235755,-0.6597903365482289,-0.8690766370444216,2.2839000000000005,2.3191939966287385,2.5524710014773704,-0.23327700484863234,-0.8690766370444216
NCTY,2020-11-09,2.25,2.38,2.24,2.36,42855,2.3600000000000003,2.3554786601345,3.061885446733461,-0.706406786598961,-0.9213982121684696,2.3600000000000003,2.325611086924872,2.57395668159556,-0.24834559467068784,-0.9213982121684695
NCTY,2020-11-06,2.5,2.61,2.42,2.4995,153507,2.4995000000000007,2.354656598340773,3.1180362824721386,-0.7633796841313654,-0.9751460685608464,2.4995000000000007,2.3193585572748487,2.5910732161232053,-0.2717146588483561,-0.9751460685608466
NCTY,2020-11-05,2.235,2.2999,2.18,2.23,49294,2.230000000000001,2.3283214344027314,3.1675191850699087,-0.8391977506671777,-1.0280876646682164,2.230000000000001,2.2866055676884574,2.598399073413061,-0.3117935057246037,-1.0280876646682167
NCTY,2020-11-04,2.22,2.27,2.119,2.119,85855,2.119000000000001,2.3461980588395916,3.242520719875502,-0.8963226610359105,-1.0753101431684762,2.119000000000001,2.2968974890863585,2.627870999286106,-0.3309735101997475,-1.0753101431684764
NCTY,2020-11-03,2.2,2.2399,2.16,2.2,29465,2.2000000000000006,2.3875067968104267,3.3324023774655425,-0.9448955806551158,-1.1200570137016177,2.2000000000000006,2.3292424871020603,2.6685806792289943,-0.3393381921269341,-1.1200570137016177
NCTY,2020-11-02,2.14,2.19,2.12,2.14,33961,2.140000000000001,2.4215989416850494,3.4229945676627858,-1.0013956259777363,-1.1638473719632432,2.140000000000001,2.3527411211206166,2.7060671335673137,-0.35332601244669704,-1.1638473719632432
NCTY,2020-10-30,2.11,2.28,2.04,2.2279,420966,2.2279000000000004,2.472798749264149,3.5256341330758083,-1.0528353838116589,-1.2044603084596197,2.2279000000000004,2.391421324960729,2.7513525042526985,-0.3599311792919697,-1.2044603084596197
