Symbol,Date,Open,High,Low,Close,Volume,GSV SMA_x,GSV spanTwelveEMA_x,GSV spanTwntySixEMA_x,GSV_x,GSV_y,GSV SMA_y,GSV spanTwelveEMA_y,GSV spanTwntySixEMA_y,GSV_x,GSV_y
GSV,2020-11-12,0.71,0.71,0.6851,0.7089,137383,0.7089,0.6991383535347317,0.7107631734384309,-0.011624819903699237,-0.013561575014687514,0.7089,0.699013665536443,0.7086301945957479,-0.0096165290593051,-0.013561575014687514
GSV,2020-11-11,0.67,0.683199,0.67,0.6772,34690,0.6771999999999999,0.6973635087228648,0.7109122273135056,-0.013548718590640774,-0.014045763792434609,0.6771999999999999,0.6972161501794326,0.7086086101634079,-0.011392459983975313,-0.01404576379243461
GSV,2020-11-10,0.71,0.71,0.6938,0.6985,79161,0.6984999999999999,0.7010296012179311,0.713609205498586,-0.012579604280654856,-0.014170025092883069,0.6984999999999999,0.7008554502120566,0.7111212989764806,-0.010265848764423937,-0.014170025092883069
GSV,2020-11-09,0.688,0.705,0.6801,0.687,69449,0.6869999999999999,0.7014895287121004,0.7148179419384728,-0.01332841322637246,-0.01456763029594012,0.6869999999999999,0.7012837138869761,0.7121310028945992,-0.010847289007622996,-0.014567630295940121
GSV,2020-11-06,0.728,0.73,0.7201,0.7299,37335,0.7299,0.7041239884779368,0.7170433772935506,-0.01291938881561383,-0.014877434563332037,0.7299,0.7038807527755171,0.7141414831261669,-0.010260730350649894,-0.014877434563332036
GSV,2020-11-05,0.69,0.7139,0.69,0.7054,81539,0.7054,0.6994374409284707,0.7160148474770346,-0.016577406548563878,-0.015366946000261584,0.7054,0.6991499805528837,0.7128808017762602,-0.013730821223376544,-0.015366946000261585
GSV,2020-11-04,0.6936,0.6936,0.68,0.68,24880,0.6800000000000002,0.6983533392791017,0.7168640352751974,-0.018510695996095672,-0.01506433086318601,0.6800000000000002,0.6980136133806807,0.713479265918361,-0.015465652537680287,-0.01506433086318601
GSV,2020-11-03,0.675,0.68,0.675,0.678851,18301,0.678851,0.7016903100571201,0.7198131580972131,-0.01812284804009301,-0.01420273957995859,0.678851,0.7012888158135316,0.7161576071918299,-0.014868791378298218,-0.014202739579958592
GSV,2020-11-02,0.685,0.685,0.682,0.682,46926,0.682,0.7058429118856874,0.7230901307449902,-0.017247218859302804,-0.013222712464924987,0.682,0.7053684186887192,0.7191421357671762,-0.013773717078456982,-0.013222712464924987
GSV,2020-10-30,0.7166,0.7166,0.7,0.7099,19599,0.7099000000000001,0.7101779867739942,0.7263773412045894,-0.01619935443059517,-0.01221658586633053,0.7099000000000001,0.7096172220866682,0.7221135066285503,-0.01249628454188212,-0.01221658586633053
GSV,2020-10-29,0.68,0.7044,0.68,0.7001,69080,0.7001000000000002,0.7102285298238115,0.7276955285009565,-0.017466998677145074,-0.011220893725264369,0.7001000000000002,0.709565807920608,0.7230905871588343,-0.01352477923822637,-0.011220893725264369
