Symbol,Date,Open,High,Low,Close,Volume,PIXY SMA_x,PIXY spanTwelveEMA_x,PIXY spanTwntySixEMA_x,PIXY_x,PIXY_y,PIXY SMA_y,PIXY spanTwelveEMA_y,PIXY spanTwntySixEMA_y,PIXY_x,PIXY_y
PIXY,2020-11-12,2.21,2.21,2.1489,2.15,31128,2.15,2.2330638370154423,2.4649651488424458,-0.2319013118270039,-0.2775762413517284,2.15,2.228970505357953,2.384815858601517,-0.15584535324356394,-0.2775762413517284
PIXY,2020-11-11,2.28,2.2823,2.18,2.21,59879,2.2099999999999995,2.2481663528364315,2.4901623607498418,-0.2419960079134098,-0.2889949737329097,2.2099999999999995,2.243328779059399,2.4036011272896385,-0.16027234823023928,-0.2889949737329096
PIXY,2020-11-10,2.28,2.2892,2.2213,2.25,18910,2.249999999999999,2.2551056897157835,2.512575349609829,-0.257469659894046,-0.3007447151877845,2.249999999999999,2.2493885570701995,2.4190892174728096,-0.16970066040261056,-0.3007447151877844
PIXY,2020-11-09,2.2,2.29,2.18,2.23,64604,2.2299999999999978,2.256033996936836,2.533581377578616,-0.2775473806417805,-0.3115634790112192,2.2299999999999978,2.249277385628417,2.4326163548706345,-0.1833389692422176,-0.31156347901121906
PIXY,2020-11-06,2.1699,2.1752,2.13,2.13,31455,2.1299999999999986,2.2607674509253504,2.5578678877849046,-0.2971004368595547,-0.3200675036035789,2.1299999999999986,2.252782364833584,2.4488256632602856,-0.196043298426702,-0.3200675036035789
PIXY,2020-11-05,2.13,2.19,2.1243,2.19,28566,2.1899999999999986,2.284543351093596,2.592097318807697,-0.3075539677141017,-0.325809270289585,2.1899999999999986,2.2751064311669627,2.4743317163211085,-0.19922528515414584,-0.325809270289585
PIXY,2020-11-04,2.14,2.18,2.1267,2.13,19819,2.1299999999999986,2.3017330512924308,2.624265104312313,-0.3225320530198821,-0.33037309593345604,2.1299999999999986,2.290580327742774,2.497078253626797,-0.20649792588402294,-0.33037309593345604
PIXY,2020-11-03,2.17,2.26,2.17,2.22,55162,2.22,2.332957242436509,2.6638063126572984,-0.3308490702207889,-0.3323333566618495,2.2199999999999998,2.319776750968733,2.526444513916941,-0.2066677629482081,-0.3323333566618495
PIXY,2020-11-02,2.11,2.14,2.08,2.1301,113160,2.130099999999999,2.3534949228795106,2.6993108176698817,-0.3458158947903711,-0.3327044282721145,2.130099999999999,2.3379179784175936,2.5509600750302965,-0.2130420966127029,-0.3327044282721145
PIXY,2020-10-30,2.21,2.23,2.133,2.23,52527,2.229999999999999,2.3941121815848763,2.7448476830834725,-0.3507355014985962,-0.32942656164255035,2.229999999999999,2.375703065402611,2.5846288810327205,-0.20892581563010948,-0.32942656164255035
