Symbol,Date,Open,High,Low,Close,Volume,LXRX SMA_x,LXRX spanTwelveEMA_x,LXRX spanTwntySixEMA_x,LXRX_x,LXRX_y,LXRX SMA_y,LXRX spanTwelveEMA_y,LXRX spanTwntySixEMA_y,LXRX_x,LXRX_y
LXRX,2020-11-12,1.25,1.26,1.23,1.23,51671,1.23,1.202242151725028,1.2685189173515796,-0.06627676562655171,-0.07477330961133308,1.23,1.2015408580384055,1.2565827000315533,-0.05504184199314754,-0.0747733096113331
LXRX,2020-11-11,1.29,1.29,1.225,1.235,151521,1.235,1.1971952702204876,1.271600430739706,-0.07440516051921843,-0.07689744560752843,1.235,1.196366468590843,1.2587093160340774,-0.06234284744323437,-0.07689744560752844
LXRX,2020-11-10,1.17,1.23,1.1666,1.2234,162467,1.2234,1.1903216829878491,1.2745284651988824,-0.0842067822110335,-0.07752051687960593,1.2234,1.1893421901528145,1.2606060613168035,-0.07126387116398902,-0.07752051687960594
LXRX,2020-11-09,1.03,1.14,1.03,1.14,241796,1.14,1.184307443531094,1.278618742414793,-0.09431129888369894,-0.07584895054674909,1.14,1.1831498610896898,1.263582546222148,-0.08043268513245816,-0.0758489505467491
LXRX,2020-11-06,1.11,1.1245,1.069,1.09,107673,1.09,1.1923633423549294,1.2897082418079764,-0.09734489945304704,-0.07123336346251162,1.09,1.1909952903787242,1.2734691499199196,-0.08247385954119535,-0.07123336346251163
LXRX,2020-11-05,1.11,1.13,1.08,1.1,50088,1.1000000000000003,1.2109748591467346,1.3056849011526144,-0.09471004200587974,-0.06470547946487776,1.1000000000000003,1.209358070447583,1.288146681913513,-0.07878861146592997,-0.06470547946487779
LXRX,2020-11-04,1.1,1.13,1.1,1.11,37729,1.1100000000000003,1.2311521062643227,1.3221396932448235,-0.0909875869805008,-0.05720433882962726,1.1100000000000003,1.2292413559835071,1.303198416466594,-0.07395706048308681,-0.05720433882962729
LXRX,2020-11-03,1.06,1.11,1.06,1.1001,165520,1.1001000000000003,1.253179761948745,1.339110868704409,-0.08593110675566429,-0.04875852679190888,1.1001000000000003,1.2509216025259629,1.3186542897839215,-0.06773268725795845,-0.04875852679190891
LXRX,2020-11-02,1.09,1.09,1.05,1.075,109870,1.0750000000000004,1.2810124459394259,1.358231738200762,-0.07721929226133617,-0.03946538180097008,1.0750000000000004,1.2783437120761385,1.3361386329666352,-0.05779492089049688,-0.03946538180097012
LXRX,2020-10-30,1.15,1.16,1.125,1.13,84792,1.13,1.3184692542920486,1.3808902772568228,-0.062421022964774135,-0.0300269041858786,1.13,1.3153152960899817,1.357029723603966,-0.041714427513984235,-0.0300269041858786
LXRX,2020-10-29,1.25,1.25,1.16,1.2,200545,1.2000000000000002,1.3527363914360575,1.4009614994373687,-0.04822510800131119,-0.021928374491154715,1.2000000000000002,1.3490089862881602,1.3751921014922832,-0.026183115204122972,-0.021928374491154715
LXRX,2020-10-28,1.3,1.3,1.26,1.27,39140,1.2700000000000002,1.3805066444244316,1.4170384193923582,-0.03653177496792659,-0.01535419111361559,1.2700000000000002,1.376101529249644,1.3892074696116659,-0.013105940362022173,-0.015354191113615592
LXRX,2020-10-27,1.33,1.33,1.31,1.325,22708,1.3250000000000002,1.40059876159251,1.4288014929437467,-0.02820273135123696,-0.010059795150037841,1.3250000000000002,1.3953927163859428,1.3987440671805995,-0.00335135079465676,-0.010059795150037841
LXRX,2020-10-26,1.32,1.3499,1.32,1.33,28501,1.3300000000000003,1.4143439909729665,1.4371056123792467,-0.02276162140628024,-0.005524061099738116,1.3300000000000003,1.4081913920924778,1.4046435925550476,0.0035477995374302296,-0.005524061099738116
