Symbol,Date,Open,High,Low,Close,Volume,SSFT SMA_x,SSFT spanTwelveEMA_x,SSFT spanTwntySixEMA_x,SSFT_x,SSFT_y,SSFT SMA_y,SSFT spanTwelveEMA_y,SSFT spanTwntySixEMA_y,SSFT_x,SSFT_y
SSFT,2020-11-12,0.07,0.0725,0.065,0.07,53400,0.07,0.06784872604366728,0.07214166900791229,-0.004292942964245011,-0.005071233517765731,0.07,0.06775584548140055,0.07025748353089306,-0.002501638049492508,-0.005071233517765731
SSFT,2020-11-11,0.06125,0.06875,0.06,0.0625,12205,0.0625,0.06745758532433405,0.07231300252854528,-0.004855417204211232,-0.005265806156145911,0.0625,0.06734781738710974,0.07027808221336451,-0.002930264826254775,-0.005265806156145911
SSFT,2020-11-10,0.0633,0.07,0.0601,0.061979999999999986,13875,0.061979999999999986,0.06835896447421295,0.07309804273082889,-0.004739078256615932,-0.0053684033941295796,0.06197999999999997,0.06822923873022059,0.07090032879043366,-0.002671090060213072,-0.00536840339412958
SSFT,2020-11-09,0.0779,0.0779,0.0633,0.064,20761,0.06399999999999999,0.06951877619679712,0.07398748614929519,-0.004468709952498068,-0.005525734678507992,0.064,0.06936546395389706,0.07161395509366834,-0.0022484911397712827,-0.005525734678507992
SSFT,2020-11-06,0.07,0.08,0.06,0.08,11000,0.07999999999999999,0.07052219005076024,0.0747864850412388,-0.004264294990478562,-0.005789990860010473,0.08000000000000003,0.07034100285460562,0.0722230715011618,-0.001882068646556184,-0.005789990860010473
SSFT,2020-11-05,0.0605,0.07,0.0605,0.07,16448,0.06999999999999999,0.0687989518781712,0.0743694038445379,-0.005570451966366699,-0.00617141482739345,0.07000000000000002,0.06858482155544303,0.07160091722125475,-0.0030160956658117355,-0.00617141482739345
SSFT,2020-11-04,0.0625,0.065,0.06,0.065,15500,0.065,0.06858057949238415,0.07471895615210092,-0.006138376659716782,-0.006321655542650136,0.065,0.06832751638370538,0.07172899059895513,-0.00340147421524975,-0.0063216555426501364
SSFT,2020-11-03,0.06425,0.065,0.062,0.065,46250,0.065,0.0692315939455449,0.07549647264426901,-0.006264878698724108,-0.006367475263383477,0.065,0.0689325193625609,0.07226730984687152,-0.003334790484310637,-0.006367475263383477
SSFT,2020-11-02,0.063,0.068,0.061,0.068,18313,0.068,0.0700009746629167,0.07633619045581053,-0.006335215792893825,-0.0063931244045483185,0.068,0.06964752288302653,0.07284869463462126,-0.003201171751594748,-0.006393124404548319
SSFT,2020-10-30,0.061,0.068,0.061,0.068,14665,0.068,0.07036478823799247,0.07700308569227537,-0.006638297454282904,-0.006407601557461942,0.068,0.06994707249812225,0.07323659020539097,-0.003289517707268721,-0.006407601557461942
