Symbol,Date,Open,High,Low,Close,Volume,RYCEF SMA_x,RYCEF spanTwelveEMA_x,RYCEF spanTwntySixEMA_x,RYCEF_x,RYCEF_y,RYCEF SMA_y,RYCEF spanTwelveEMA_y,RYCEF spanTwntySixEMA_y,RYCEF_x,RYCEF_y
RYCEF,2020-11-12,1.22,1.22,1.18,1.21,130092,1.21,1.4072443505556411,1.6814779483360014,-0.2742335977803603,-0.2304312897345832,1.21,1.40584973657491,1.6673746547289596,-0.26152491815404955,-0.2304312897345832
RYCEF,2020-11-11,1.37,1.37,1.3,1.32,120127,1.3200000000000005,1.4431069597475759,1.7191961842028811,-0.2760892244553055,-0.21948071272313888,1.3200000000000005,1.44145877958853,1.7039646271072764,-0.2625058475187463,-0.2194807127231389
RYCEF,2020-11-10,1.47,1.53,1.47,1.515,96649,1.515,1.4654900433380442,1.751131878939112,-0.2856418356010677,-0.2053285847900973,1.515,1.4635421940591715,1.7346817972758586,-0.27113960321668684,-0.2053285847900973
RYCEF,2020-11-09,1.35,1.48,1.35,1.47,193057,1.47,1.4564882330358704,1.7700224292542408,-0.3135341962183704,-0.18525027208735467,1.47,1.4541862293426573,1.7522563410579273,-0.29807011171527004,-0.1852502720873547
RYCEF,2020-11-06,0.925,0.925,0.8935,0.91,59422,0.91,1.4540315481333017,1.7940242235945802,-0.3399926754612788,-0.1531792910546007,0.91,1.4513109983140495,1.7748368483425616,-0.3235258500285121,-0.15317929105460076
RYCEF,2020-11-05,1.06,1.06,0.9501,0.98,125620,0.98,1.5529463750666288,1.8647461614821468,-0.311799786415518,-0.10647594495293124,0.98,1.5497311798256952,1.8440237962099664,-0.2942926163842716,-0.10647594495293129
RYCEF,2020-11-04,1.06,1.07,1.055,1.065,15390,1.065,1.6571184432605617,1.9355258544007183,-0.2784074111401571,-0.05514498458728456,1.065,1.6533186670667304,1.913145699906764,-0.2598270328400336,-0.05514498458728462
RYCEF,2020-11-03,1.05,1.05,1.015,1.04,32575,1.04,1.7647763420352092,2.005167922752776,-0.2403915807175669,0.0006706220509334682,1.04,1.7602856974424996,1.9809973558993053,-0.22071165845680565,0.0006706220509333921
RYCEF,2020-11-02,0.965,0.965,0.92,0.94,52336,0.94,1.896553858768884,2.082381356572998,-0.18582749780411434,0.06093617274305847,0.94,1.891246733341136,2.0562771443712498,-0.16503041103011373,0.06093617274305847
RYCEF,2020-10-30,0.95,0.95,0.9158,0.93,29801,0.9300000000000002,2.070472742181408,2.1737718650988382,-0.10329912291742982,0.1226270903798516,0.9300000000000002,2.064200684857706,2.145579315920949,-0.08137863106324339,0.12262709037985162
