Symbol,Date,Open,High,Low,Close,Volume,GENE SMA,GENE spanTwelveEMA,GENE spanTwntySixEMA,GENE_x,GENE_y
GENE,2021-09-24,3.35,3.35,3.35,3.35,148,3.35,3.348330899591529,3.315825494004732,0.032505405586797,0.0424862327366293
GENE,2021-09-23,3.41,3.41,3.41,3.41,100,3.41,3.3480274267899888,3.3130915335251108,0.034935893264878,0.044981439524087355
GENE,2021-09-22,3.39,3.39,3.315,3.315,2960,3.315,3.33675968620635,3.3053388562071198,0.0314208299992309,0.04749282608888969
GENE,2021-09-21,3.33,3.33,3.33,3.33,15835,3.33,3.340715992789322,3.3045659647036887,0.0361500280856339,0.0515108251113045
GENE,2021-09-20,3.28,3.28,3.28,3.28,3645,3.28,3.3426643551146538,3.302531241879984,0.04013311323467,0.05535102436772224
GENE,2021-09-17,3.33,3.33,3.33,3.33,391,3.33,3.354057874226409,3.304333741230382,0.0497241329960269,0.059155502150985396
GENE,2021-09-16,3.36,3.36,3.36,3.36,623,3.36,3.358432033176665,3.3022804405288126,0.0561515926478524,0.061513344439725004
GENE,2021-09-15,3.36,3.3636,3.36,3.3636,5613,3.3636,3.358146948299695,3.2976628757711177,0.0604840725285771,0.06285378238769315
GENE,2021-09-14,3.39,3.39,3.39,3.39,318,3.39,3.357155484354185,3.292387905832807,0.0647675785213777,0.06344620985247215
GENE,2021-09-13,3.4,3.4,3.38,3.38,2002,3.38,3.351183754236764,3.284578938299432,0.0666048159373322,0.06311586768524576
GENE,2021-09-10,3.4,3.4,3.4,3.4,5174,3.4,3.3459444368252664,3.2769452533633863,0.0689991834618801,0.06224363062222423
GENE,2021-09-09,3.34,3.34,3.34,3.34,645,3.34,3.3361161526116785,3.267100873632457,0.0690152789792213,0.06055474241231024
GENE,2021-09-08,3.34,3.34,3.34,3.34,1150,3.34,3.335409998541075,3.2612689435230537,0.0741410550180212,0.05843960827058246
GENE,2021-09-07,3.46,3.46,3.4,3.4,5146,3.4,3.3345754528212703,3.2549704590048982,0.0796049938163721,0.05451424658372277
GENE,2021-09-07,3.46,3.46,3.4,3.4,5146,3.4,3.322680080606956,3.2433680957252897,0.0793119848816661,0.04824155977556044
GENE,2021-09-03,3.56,3.56,3.55,3.55,984,3.55,3.3086219134445845,3.2308375433833127,0.0777843700612717,0.040473953499034016
GENE,2021-09-02,3.43,3.4345,3.4165,3.4165,1167,3.4165,3.264734988616327,3.2053045468539776,0.0594304417623492,0.031146349358474587
GENE,2021-09-01,3.4,3.4,3.4,3.4,1071,3.4,3.237141350182932,3.188408910602296,0.0487324395806361,0.02407532625750592
GENE,2021-08-31,3.23,3.23,3.23,3.23,1702,3.23,3.2075306865798288,3.1714816234504792,0.0360490631293495,0.017911047926723482
GENE,2021-08-30,3.36,3.36,3.33,3.33,891,3.33,3.2034453568670704,3.166800153326518,0.0366452035405524,0.013376544126066972
GENE,2021-08-27,3.1886,3.28,3.1798,3.213,4829,3.213,3.180435421751993,3.1537441655926397,0.0266912561593533,0.007559379272445601
GENE,2021-08-26,3.37,3.37,3.35,3.35,440,3.35,3.174514589343264,3.1490036988400503,0.0255108905032135,0.0027764100507186753
GENE,2021-08-25,3.32,3.32,3.32,3.32,410,3.32,3.1426081510420394,3.1329239947472542,0.0096841562947851,-0.0029072100624050403
GENE,2021-08-24,3.15,3.15,3.15,3.15,114,3.15,3.1103550875951376,3.1179579143270346,-0.007602826731897,-0.006055051651702585
GENE,2021-08-23,3.1,3.1,3.09,3.09,1769,3.09,3.1031469217033445,3.115394547473197,-0.0122476257698527,-0.005668107881653968
GENE,2021-08-20,3.01,3.104,3.01,3.05,896,3.05,3.1055372711039526,3.1174261112710533,-0.0118888401671006,-0.0040232284096042795
GENE,2021-08-19,3.08,3.09,3.0,3.09,2653,3.09,3.1156349567592168,3.122820200172737,-0.0071852434135206,-0.0020568254702301803
GENE,2021-08-18,3.05,3.05,3.05,3.05,1456,3.05,3.120295857988165,3.1254458161865566,-0.0051499581983911,-0.0007747209844076685
GENE,2021-08-17,3.16,3.18,3.15,3.15,2324,3.15,3.133076923076923,3.1314814814814813,0.0015954415954415,0.00031908831908831207
GENE,2021-08-16,3.15,3.15,3.13,3.13,8288,3.13,3.13,3.13,0.0,0.0
