Symbol,Date,Open,High,Low,Close,Volume,OCX SMA
OCX,2020-06-29,3.37,3.42,3.09,3.33,105151,3.33
OCX,2020-06-26,3.49,3.49,3.3,3.39,54181,3.3900000000000006
OCX,2020-06-25,3.29,3.29,3.18,3.22,59464,3.220000000000001
OCX,2020-06-24,3.16,3.34,3.15,3.165,50628,3.1650000000000014
OCX,2020-06-23,3.25,3.36,3.18,3.2,63964,3.200000000000002
OCX,2020-06-22,3.17,3.3,3.13,3.185,153598,3.1850000000000014
OCX,2020-06-19,2.78,3.12,2.77,3.09,266093,3.090000000000001
OCX,2020-06-18,2.37,2.53,2.37,2.505,41462,2.505000000000001
OCX,2020-06-17,2.53,2.54,2.5,2.51,9058,2.5100000000000007
OCX,2020-06-16,2.48,2.53,2.48,2.505,40657,2.505000000000001
OCX,2020-06-15,2.48,2.48,2.29,2.2906,69764,2.2906000000000004
OCX,2020-06-12,2.37,2.47,2.35,2.45,32443,2.4500000000000006
OCX,2020-06-11,2.45,2.47,2.3501,2.4197,25455,2.4197000000000006
OCX,2020-06-10,2.59,2.6399,2.54,2.5431,36095,2.5431000000000004
OCX,2020-06-09,2.6,2.62,2.5401,2.57,34290,2.5700000000000003
OCX,2020-06-08,2.65,2.65,2.59,2.63,50171,2.6300000000000003
OCX,2020-06-05,2.66,2.68,2.6237,2.6630000000000003,45108,2.663000000000001
OCX,2020-06-04,2.7,2.71,2.65,2.68,7241,2.6800000000000015
OCX,2020-06-03,2.71,2.72,2.66,2.66,69136,2.6600000000000015
OCX,2020-06-02,2.86,2.8997,2.73,2.74,41873,2.740000000000002
OCX,2020-06-01,2.76,2.76,2.63,2.6941,18918,2.6941000000000024
OCX,2020-05-29,2.59,2.65,2.5847,2.608,5268,2.6080000000000028
OCX,2020-05-28,2.77,2.77,2.74,2.76,2659,2.760000000000002
OCX,2020-05-27,2.72,2.75,2.61,2.6201,28272,2.6201000000000025
OCX,2020-05-26,2.9,2.9,2.78,2.8299,20357,2.829900000000003
OCX,2020-05-26,2.9,2.9,2.78,2.8299,20357,2.8299000000000025
OCX,2020-05-22,2.52,2.52,2.38,2.47,14957,2.470000000000003
OCX,2020-05-21,2.6,2.65,2.48,2.49,43346,2.4900000000000024
OCX,2020-05-20,2.82,2.91,2.72,2.84,30022,2.8400000000000016
OCX,2020-05-19,2.82,2.84,2.82,2.82,1522,2.820000000000002
OCX,2020-05-18,2.95,2.95,2.8601,2.9,24728,2.9000000000000026
