Symbol,Date,Open,High,Low,Close,Volume,SCOR SMA,SCOR spanTwelveEMA,SCOR spanTwntySixEMA,SCOR_x,SCOR_y
SCOR,2021-02-23,3.93,3.95,3.75,3.77,152529,3.77,3.8582168101795284,3.7573105020710704,0.10090630810845758,0.14620989472410822
SCOR,2021-02-22,3.78,3.91,3.63,3.8201,66008,3.8201,3.874256230212169,3.756295342236756,0.11796088797541325,0.1575357913780208
SCOR,2021-02-19,3.71,3.89,3.71,3.83,67711,3.83,3.884102817523472,3.751190969615696,0.132911847907776,0.16742951722867278
SCOR,2021-02-18,3.82,3.8261,3.8,3.8179,24529,3.8179,3.893939693436831,3.7448862471849518,0.14905344625187888,0.17605893455889698
SCOR,2021-02-17,3.86,3.86,3.76,3.8,75603,3.8,3.9077650922435283,3.739045146959748,0.16871994528377954,0.1828103066356514
SCOR,2021-02-16,3.94,3.9499,3.85,3.9141,73465,3.9141,3.927358745378714,3.734168758716528,0.19318998666218645,0.18633289697361916
SCOR,2021-02-16,3.94,3.9499,3.85,3.9141,73465,3.914100000000001,3.929769426356663,3.7197742594138505,0.20999516694281214,0.18461862455147743
SCOR,2021-02-12,3.94,3.95,3.9,3.92,71104,3.9200000000000013,3.932618412966965,3.704228200166959,0.2283902128000066,0.17827448895364362
SCOR,2021-02-11,4.19,4.199,3.96,4.0138,154907,4.013800000000002,3.93491266987005,3.686966456180316,0.2479462136897341,0.1657455579920531
SCOR,2021-02-10,4.47,4.5,4.4,4.4498,153454,4.4498000000000015,3.920569518937332,3.660819772674741,0.2597497462625906,0.14519539406763293
SCOR,2021-02-09,4.4,4.4,4.18,4.215,182883,4.215000000000002,3.824345795107756,3.597701354488721,0.2266444406190349,0.11655680601889337
SCOR,2021-02-08,4.29,4.42,4.23,4.35,113877,4.350000000000001,3.753317757854621,3.5483174628478187,0.20500029500680214,0.08903489736885788
SCOR,2021-02-05,4.27,4.49,4.27,4.3847,196364,4.3847000000000005,3.644830077464552,3.4841828598756437,0.16064721758890774,0.06004354795937179
SCOR,2021-02-04,3.89,4.02,3.84,3.965,59953,3.9650000000000007,3.510308273367197,3.4121414886656964,0.09816678470150153,0.034892630551987686
SCOR,2021-02-03,3.81,4.2,3.81,4.145,321882,4.145,3.427637050343052,3.367912807758952,0.05972424258410002,0.01907409201460944
SCOR,2021-02-02,3.24,3.275,3.24,3.25,54335,3.25,3.2972074231326984,3.305745832379668,-0.008538409246970247,0.008911554372236794
SCOR,2021-02-01,3.23,3.2769,3.2,3.22,46814,3.2200000000000006,3.3057905909750067,3.3102054989700416,-0.004414907995034857,0.013274045277038331
SCOR,2021-01-29,3.27,3.28,3.2,3.25,63538,3.2500000000000004,3.3213888802431897,3.317421938887645,0.003966941355544762,0.017696283595056626
SCOR,2021-01-28,3.24,3.35,3.16,3.24,220427,3.24,3.3343686766510423,3.322815693998656,0.011552982652386136,0.02112861915493459
SCOR,2021-01-27,3.37,3.37,3.2,3.25,142937,3.25,3.3515266178603222,3.3294409495185486,0.02208566834177361,0.023522528280571706
SCOR,2021-01-26,3.4,3.42,3.33,3.42,38072,3.42,3.3699860029258355,3.335796225480032,0.034189777445803315,0.02388174326527123
SCOR,2021-01-25,3.51,3.53,3.41,3.44,57913,3.4399999999999995,3.360892548912352,3.3290599235184346,0.031832625393916736,0.021304734720138208
SCOR,2021-01-22,3.27,3.355,3.21,3.3361,42158,3.3361,3.3465093759873237,3.320184717399909,0.026324658587414614,0.018672762051693464
SCOR,2021-01-21,3.38,3.38,3.3,3.34,30589,3.34,3.348401989803201,3.3189114947919025,0.029490495011298638,0.016759787917763173
SCOR,2021-01-20,3.43,3.46,3.33,3.41,48755,3.41,3.3499296243128738,3.317224414375255,0.03270520993761883,0.013577111144379306
SCOR,2021-01-19,3.59,3.635,3.45,3.48,142550,3.4800000000000004,3.3390077378243053,3.3098023675252746,0.02920537029903025,0.008795086446069427
SCOR,2021-01-19,3.59,3.635,3.45,3.48,142550,3.4800000000000013,3.3133727810650884,3.296186556927297,0.01718622413779114,0.0036925154828291087
SCOR,2021-01-15,3.3,3.38,3.3,3.3,72962,3.300000000000001,3.2830769230769237,3.281481481481481,0.0015954415954415602,0.0003190883190884897
SCOR,2021-01-14,3.28,3.37,3.25,3.28,76596,3.280000000000001,3.28,3.28,0.0,0.0
