Symbol,Date,Open,High,Low,Close,Volume,SB SMA,SB spanTwelveEMA,SB spanTwntySixEMA,SB_x,SB_y
SB,2020-12-14,1.18,1.19,1.17,1.185,20215,1.185,1.1544529149927338,1.1181688052222054,0.036284109770528435,0.03759871655870319
SB,2020-12-11,1.16,1.19,1.16,1.18,25849,1.1800000000000002,1.1488988995368672,1.112822309639982,0.036076589896885336,0.037927368255746885
SB,2020-12-10,1.16,1.16,1.16,1.16,1256,1.16,1.1432441539981155,1.1074480944111804,0.035796059586935325,0.03839006284546233
SB,2020-12-09,1.13,1.14,1.13,1.14,4208,1.14,1.1401976365432278,1.1032439419640747,0.036953694579153096,0.03903856366009413
SB,2020-12-08,1.15,1.17,1.15,1.1505,962,1.1505,1.1402335704601785,1.1003034573212007,0.039930113138977534,0.039559780930329386
SB,2020-12-07,1.17,1.1783,1.1411,1.16,36519,1.1599999999999997,1.1383669469074835,1.0962877339068966,0.042079213000586924,0.039467197878167284
SB,2020-12-04,1.11,1.14,1.11,1.14,10772,1.14,1.134433664527026,1.0911907526194482,0.04324291190757768,0.03881419409756237
SB,2020-12-03,1.16,1.17,1.15,1.15,1512,1.15,1.1334216035319398,1.0872860128290045,0.046135590702935485,0.03770701464505849
SB,2020-12-02,1.15,1.15,1.1267,1.1267,7490,1.1267,1.1304073496286562,1.0822688938553249,0.048138455773331534,0.035599870630589295
SB,2020-12-01,1.21,1.25,1.21,1.25,35838,1.25,1.1310814131975029,1.0787144053637503,0.052367007833752366,0.03246522434490379
SB,2020-11-30,1.2,1.2,1.18,1.185,47816,1.185,1.109459851960685,1.0650115577928505,0.04444829416783458,0.02748977847269158
SB,2020-11-27,1.17,1.18,1.15,1.18,30318,1.1800000000000002,1.0957252795899004,1.0554124824162785,0.04031279717362191,0.02325014954890583
SB,2020-11-27,1.17,1.18,1.15,1.18,30318,1.1800000000000004,1.0804026031517004,1.0454454810095808,0.034957122142119657,0.01898448764272681
SB,2020-11-25,1.17,1.17,1.12,1.13,35831,1.1300000000000006,1.0622939855429183,1.0346811194903471,0.027612866052571402,0.014991329017878599
SB,2020-11-24,1.14,1.15,1.11,1.13,39993,1.1300000000000008,1.0499838010961764,1.0270556090495748,0.022928192046601348,0.011835944759205451
SB,2020-11-23,1.08,1.1,1.08,1.093,20933,1.0930000000000009,1.0354354012954812,1.0188200577735411,0.01661534352194005,0.009062882937356421
SB,2020-11-20,1.04,1.06,1.04,1.06,15425,1.060000000000001,1.0249691106219323,1.0128856623954243,0.012083448226507977,0.007174767791210512
SB,2020-11-19,1.01,1.02,0.9963,1.02,32639,1.0200000000000011,1.0185998580077382,1.0091165153870585,0.009483342620679958,0.005947597682386146
SB,2020-11-18,1.05,1.05,1.045,1.045,5431,1.0450000000000008,1.018345286736418,1.008245836618023,0.01009945011839508,0.0050636614478127475
SB,2020-11-17,1.04,1.05,1.0267,1.04,16507,1.0400000000000011,1.0134989752339485,1.0053055035474647,0.008193471686483766,0.003804714280167164
SB,2020-11-16,1.03,1.04,1.025,1.03,10519,1.0300000000000011,1.0086806070946666,1.0025299438312618,0.006150663263404743,0.002707524928588013
SB,2020-11-13,1.01,1.04,1.01,1.03,16345,1.0300000000000014,1.0048043538391511,1.0003323393377628,0.004472014501388566,0.0018467403448838306
SB,2020-11-12,1.05,1.06,0.9921,0.9921,55329,0.9921000000000012,1.0002233272644516,0.997958926484784,0.002264400779667719,0.0011904218057577022
SB,2020-11-11,1.05,1.07,1.02,1.02,17509,1.0200000000000011,1.001700295857988,0.9984276406035666,0.003272655254421553,0.0009219270622802256
SB,2020-11-10,1.02,1.02,0.998,1.0161,17154,1.0161000000000011,0.9983730769230768,0.996701851851852,0.0016712250712249688,0.00033424501424494935
SB,2020-11-09,0.9995,1.01,0.98,0.99515,51572,0.9951500000000012,0.99515,0.99515,0.0,0.0
