Symbol,Date,Open,High,Low,Close,Volume,SOHFF SMA,SOHFF spanTwelveEMA,SOHFF spanTwntySixEMA,SOHFF_x,SOHFF_y
SOHFF,2020-08-18,0.161,0.161,0.161,0.161,22500,0.161,0.161,0.161,0.0,0.0
SOHFF,2020-08-17,0.145,0.145,0.145,0.145,69500,0.145,0.15853846153846154,0.15981481481481485,-0.0012763532763532814,-0.0002552706552706563
SOHFF,2020-08-17,0.145,0.145,0.145,0.145,69500,0.145,0.15645562130177515,0.15871742112482856,-0.002261799823053412,-0.0006565764888272074
SOHFF,2020-08-17,0.145,0.145,0.145,0.145,69500,0.145,0.15469321802457894,0.15770131585632274,-0.0030080978317437728,-0.0011268807574105206
SOHFF,2020-08-14,0.145,0.145,0.1435,0.1435,5000,0.1435,0.15297118448233604,0.15664936653363218,-0.003678182051296136,-0.0016371410161876436
SOHFF,2020-08-14,0.145,0.145,0.1435,0.1435,5000,0.1435,0.15151407917736126,0.15567533938299274,-0.004161260205631484,-0.0021419648540764117
SOHFF,2020-08-12,0.1472,0.15,0.1472,0.15,12500,0.15,0.1512811439193057,0.15525494387314145,-0.003973799953835733,-0.002508331874028276
SOHFF,2020-08-11,0.1578,0.1578,0.1578,0.1578,900,0.15779999999999994,0.15228404485479713,0.15544346654920502,-0.003159421694407888,-0.0026385498381041985
SOHFF,2020-08-10,0.182,0.182,0.182,0.182,10500,0.182,0.15685573026175142,0.15741061717518984,-0.0005548869134384127,-0.0022218172531710415
SOHFF,2020-08-10,0.182,0.182,0.182,0.182,10500,0.182,0.1607240794522512,0.1592320529399906,0.0014920265122606025,-0.0014790485000847127
SOHFF,2020-08-10,0.182,0.182,0.182,0.182,10500,0.182,0.1639972979980587,0.16091856753702832,0.0030787304610303823,-0.0005674927078616939
SOHFF,2020-08-07,0.17,0.17,0.17,0.17,10000,0.16999999999999998,0.164920790613742,0.1615912662379892,0.003329524375752791,0.00021191070886120302
SOHFF,2020-08-06,0.17,0.17,0.17,0.17,8500,0.16999999999999996,0.16570220744239708,0.16221413540554555,0.0034880720368515306,0.0008671429744592686
SOHFF,2020-08-05,0.1509,0.1623,0.1509,0.1623,76500,0.16229999999999992,0.16517879091279752,0.1622204957458755,0.0029582951669220314,0.0012853734129518214
SOHFF,2020-08-04,0.1437,0.147,0.141771,0.141771,31000,0.14177099999999992,0.1615775923108287,0.16070571828321806,0.0008718740276106307,0.0012026735358835834
SOHFF,2020-08-03,0.1304,0.14,0.1304,0.14,15500,0.13999999999999993,0.15825796272454734,0.15917196137335005,-0.0009139986488027053,0.0007793390989463257
SOHFF,2020-08-03,0.1304,0.14,0.1304,0.14,15500,0.1399999999999999,0.15544904538230928,0.1577518160864352,-0.0023027707041259338,0.0001629171383318739
SOHFF,2020-08-03,0.1304,0.14,0.1304,0.14,15500,0.1399999999999999,0.1530722691696463,0.15643686674669927,-0.003364597577052958,-0.0005425858047450924
SOHFF,2020-07-31,0.1354,0.1354,0.1354,0.1354,3000,0.13539999999999985,0.15035345852816226,0.15487858032101784,-0.00452512179285558,-0.00133909300236719
SOHFF,2020-07-30,0.1081,0.1379,0.1081,0.1378,48000,0.1377999999999999,0.1484221572161373,0.15361350029723875,-0.005191343081101446,-0.0021095430181140413
SOHFF,2020-07-29,0.12,0.12,0.12,0.12,1000,0.11999999999999993,0.1440495176444239,0.15112361138633218,-0.0070740937419082875,-0.0031024531628728908
SOHFF,2020-07-28,0.115,0.115,0.115,0.115,19000,0.11499999999999995,0.1395803610837433,0.14844778832067793,-0.008867427236934622,-0.004255447977685237
SOHFF,2020-07-27,0.1067,0.125,0.1067,0.125,5750,0.12499999999999993,0.13733722860932124,0.14671091511173884,-0.0093736865024176,-0.00527909568263171
SOHFF,2020-07-27,0.1067,0.125,0.1067,0.125,5750,0.12499999999999994,0.13543919343865646,0.14510269917753602,-0.009663505738879558,-0.00615597769388128
SOHFF,2020-07-27,0.1067,0.125,0.1067,0.125,5750,0.12499999999999994,0.13383316367886314,0.14361361034957038,-0.009780446670707238,-0.006880871489246472
