Symbol,Date,Open,High,Low,Close,Volume,PPSI SMA,PPSI spanTwelveEMA,PPSI spanTwntySixEMA,PPSI_x,PPSI_y
PPSI,2020-08-18,1.8,1.88,1.8,1.81,4704,1.81,1.81,1.81,0.0,0.0
PPSI,2020-08-17,1.94,2.02,1.9,1.9,6389,1.9,1.823846153846154,1.8166666666666669,0.00717948717948702,0.001435897435897404
PPSI,2020-08-17,1.94,2.02,1.9,1.9,6389,1.9,1.835562130177515,1.82283950617284,0.012722624004675165,0.0036932427496529563
PPSI,2020-08-17,1.94,2.02,1.9,1.9,6389,1.9,1.8454756486117436,1.8285550983081849,0.016920550303558546,0.006338704260434074
PPSI,2020-08-14,2.04,2.04,1.95,2.04,25870,2.04,1.8754024719022444,1.8442176836186897,0.031184788283554525,0.011307921065058166
PPSI,2020-08-13,1.66,1.68,1.66,1.68,2500,1.6799999999999995,1.8453405531480533,1.8320534107580464,0.013287142390006723,0.011703765330047878
PPSI,2020-08-12,1.64,1.68,1.64,1.68,4363,1.6799999999999995,1.8199035449714291,1.8207901951463392,-0.0008866501749096313,0.009185682229056375
PPSI,2020-08-11,1.75,1.75,1.67,1.67,13641,1.6699999999999997,1.796841461129671,1.809620551061425,-0.012779089931753916,0.004792727796894317
PPSI,2020-08-10,1.7,1.7913,1.67,1.73,17636,1.7299999999999995,1.786558159417414,1.8037227324642824,-0.01716457304686836,0.00040126762814178193
PPSI,2020-08-10,1.7,1.7913,1.67,1.73,17636,1.7299999999999995,1.7778569041224273,1.79826178931878,-0.02040488519635275,-0.0037599629367571254
PPSI,2020-08-10,1.7,1.7913,1.67,1.73,17636,1.7299999999999995,1.7704943034882077,1.7932053604803515,-0.02271105699214404,-0.007550181747834509
PPSI,2020-08-07,1.59,1.7199,1.58,1.64,68008,1.6399999999999992,1.7504182567977142,1.781856815259585,-0.031438558461870825,-0.012327857090641773
PPSI,2020-08-06,1.51,1.545,1.5,1.5014,15832,1.5013999999999992,1.712107755751912,1.7610822363514678,-0.04897448059955578,-0.019657181792424573
PPSI,2020-08-05,1.65,1.67,1.53,1.545,97853,1.5449999999999993,1.6863988702516175,1.7450761447698775,-0.05867727451825978,-0.027461200337591612
PPSI,2020-08-04,1.4,1.44,1.4,1.423,2878,1.4229999999999992,1.6458759671359844,1.7212186525647013,-0.07534268542871693,-0.03703749735581668
PPSI,2020-08-03,1.41,1.445,1.41,1.4388,5997,1.4387999999999992,1.6140181260381408,1.7002987523747235,-0.08628062633658272,-0.04688612315196988
PPSI,2020-08-03,1.41,1.445,1.41,1.4388,5997,1.4387999999999992,1.5870614912630423,1.6809284744210404,-0.09386698315799813,-0.05628229515317554
PPSI,2020-08-03,1.41,1.445,1.41,1.4388,5997,1.4387999999999992,1.5642520310687282,1.6629930318713335,-0.0987410008026055,-0.06477403628306154
PPSI,2020-07-31,1.42,1.4839,1.42,1.45,18731,1.4499999999999988,1.5466747955196931,1.6472157702512351,-0.10054097473154178,-0.07192742397275759
PPSI,2020-07-30,1.51,1.51,1.43,1.43,4271,1.429999999999999,1.528724826978202,1.631125713195588,-0.10240088621738597,-0.07802211642168327
PPSI,2020-07-29,1.48,1.5,1.4725,1.5,27366,1.4999999999999991,1.5243056228277094,1.6214126974033218,-0.09710707457561264,-0.08183910805246916
PPSI,2020-07-28,1.44,1.47,1.4,1.4699,15614,1.469899999999999,1.5159355270080617,1.6101895346327058,-0.09425400762464388,-0.08432208796690412
PPSI,2020-07-27,1.47,1.4971,1.465,1.48,13021,1.479999999999999,1.510406984391437,1.6005458654006537,-0.09013888100921652,-0.0854854465753666
PPSI,2020-07-27,1.47,1.4971,1.465,1.48,13021,1.479999999999999,1.5057289867927544,1.5916165420376418,-0.08588755524488767,-0.08556586830927082
PPSI,2020-07-27,1.47,1.4971,1.465,1.48,13021,1.479999999999999,1.5017706811323306,1.5833486500348537,-0.08157796890252311,-0.08476828842792128
PPSI,2020-07-24,1.44,1.4999,1.42,1.47,15634,1.4699999999999993,1.496882884035049,1.5749524537359756,-0.0780695697009266,-0.08342854468252235
PPSI,2020-07-23,1.49,1.49,1.36,1.435,44992,1.4349999999999994,1.487362440337349,1.5645856053110885,-0.07722316497373938,-0.08218746874076577
PPSI,2020-07-22,1.32,1.58,1.32,1.58,457178,1.5799999999999996,1.5016143725931417,1.5657274123250817,-0.06411303973194027,-0.07857258293900067
PPSI,2020-07-21,1.38,1.38,1.2913,1.32,3903,1.3199999999999994,1.4736736998865043,1.5475253817824832,-0.07385168189597867,-0.07762840273039628
PPSI,2020-07-20,1.36,1.36,1.2,1.26,16830,1.2599999999999991,1.4408008229808884,1.5262272053541508,-0.08542638237326261,-0.07918799865896956
PPSI,2020-07-20,1.36,1.36,1.2,1.26,16830,1.2599999999999991,1.4129853117530593,1.5065066716242141,-0.09352135987115462,-0.08205467090140657
PPSI,2020-07-20,1.36,1.36,1.2,1.26,16830,1.2599999999999991,1.3894491099448962,1.4882469181705684,-0.0987978082256722,-0.0854032983662597
PPSI,2020-07-17,1.36,1.37,1.34,1.3699,3087,1.3698999999999992,1.3864415545687585,1.4794804797875634,-0.09303892521880508,-0.08693042373676879
PPSI,2020-07-16,1.35,1.35,1.325,1.35,741,1.3499999999999992,1.3808351615581798,1.469889333136633,-0.08905417157845298,-0.08735517330510563
PPSI,2020-07-15,1.305,1.34,1.29,1.31,1957,1.3099999999999992,1.369937444395383,1.4580456788302156,-0.08810823443483272,-0.08750578553105105
PPSI,2020-07-14,1.35,1.37,1.3,1.3007,11488,1.3006999999999989,1.3592855298730162,1.4463904433613106,-0.08710491348829441,-0.08742561112249972
PPSI,2020-07-13,1.45,1.45,1.39,1.45,37372,1.4499999999999993,1.3732416022002445,1.4466578179271394,-0.07341621572689494,-0.08462373204337877
PPSI,2020-07-13,1.45,1.45,1.39,1.45,37372,1.4499999999999995,1.3850505864771299,1.4469053869695736,-0.061854800492443525,-0.08006994573319172
PPSI,2020-07-13,1.45,1.45,1.39,1.45,37372,1.4499999999999995,1.3950428039421872,1.4471346175644197,-0.052091813622232815,-0.07447431931099993
PPSI,2020-07-10,1.51,1.51,1.3,1.3957,26440,1.3956999999999995,1.3951439110280046,1.4433246458929816,-0.04818073486497698,-0.06921560242179534
PPSI,2020-07-09,1.43,1.48,1.4,1.445,18724,1.4449999999999996,1.4028140785621577,1.4434487461972052,-0.040634667635047535,-0.06349941546444578
PPSI,2020-07-08,1.39,1.42,1.35,1.42,5058,1.4199999999999993,1.4054580664756722,1.4417118020344493,-0.03625373555877731,-0.05805027948331209
PPSI,2020-07-07,1.52,1.52,1.46,1.46,10213,1.459999999999999,1.4138491331717224,1.4430664833652307,-0.029217350193508237,-0.052283693625351325
PPSI,2020-08-19,1.89,1.89,1.81,1.81,12358,1.8099999999999992,1.4747954203760731,1.470246743856695,0.004548676519377848,-0.04091721959640549
