Symbol,Date,Open,High,Low,Close,Volume
TKRFF,2020-08-28,0.17845,0.18,0.17845,0.18,106200
TKRFF,2020-08-27,0.18,0.18,0.171545,0.171545,10658
TKRFF,2020-08-26,0.164,0.1915,0.164,0.1809,24012
TKRFF,2020-08-25,0.1805,0.1805,0.1706,0.1732,31214
TKRFF,2020-08-24,0.16,0.1671,0.1556,0.167,196115
TKRFF,2020-08-21,0.1551,0.1645,0.1551,0.1645,7100
TKRFF,2020-08-20,0.1626,0.1626,0.1626,0.1626,900
TKRFF,2020-08-19,0.18,0.18,0.17,0.170475,22670
TKRFF,2020-08-18,0.1625,0.1672,0.1625,0.1672,12425
TKRFF,2020-08-17,0.142,0.1624,0.142,0.1624,11899
TKRFF,2020-08-14,0.16484,0.16484,0.16484,0.16484,1000
TKRFF,2020-08-13,0.168,0.1719,0.168,0.1719,67323
TKRFF,2020-08-12,0.1445,0.1445,0.1445,0.1445,6030
TKRFF,2020-08-11,0.1674,0.1694,0.16601,0.16601,5192
TKRFF,2020-08-10,0.17,0.172808,0.15,0.1723,87536
TKRFF,2020-08-07,0.1645,0.1645,0.16,0.16,57010
TKRFF,2020-08-06,0.155,0.155,0.15,0.155,64000
TKRFF,2020-08-05,0.145,0.145,0.145,0.145,5000
TKRFF,2020-08-04,0.148384,0.148384,0.14735,0.14735,8250
TKRFF,2020-08-03,0.15,0.15,0.15,0.15,3000
TKRFF,2020-07-31,0.158,0.158,0.158,0.158,5000
TKRFF,2020-07-30,0.1455,0.1551,0.144,0.1551,27506
TKRFF,2020-07-29,0.1532,0.1532,0.1521,0.1521,65500
TKRFF,2020-07-28,0.1445,0.178,0.1445,0.1663,3700
TKRFF,2020-07-27,0.1605,0.1657,0.155,0.155,58600
TKRFF,2020-07-24,0.14,0.1421,0.14,0.1421,20000
TKRFF,2020-07-23,0.170221,0.170221,0.170221,0.170221,2312
TKRFF,2020-07-22,0.173,0.1731,0.1602,0.17,112500
TKRFF,2020-07-21,0.1709,0.1842,0.17,0.18,134300
TKRFF,2020-07-20,0.1532,0.1564,0.1495,0.1548,66358
TKRFF,2020-07-17,0.141,0.149,0.141,0.149,8400
TKRFF,2020-07-16,0.15,0.15,0.15,0.15,120
TKRFF,2020-07-15,0.1605,0.1605,0.145548,0.145548,2461
TKRFF,2020-07-14,0.15,0.15,0.15,0.15,12000
TKRFF,2020-07-13,0.1601,0.1601,0.15,0.15,76000
