Symbol,Date,Open,High,Low,Close,Volume,JFU SMA,JFU spanTwelveEMA,JFU spanTwntySixEMA,JFU_x,JFU_y
JFU,2020-11-02,1.32,1.32,1.2597,1.29,185819,1.29,1.35113963194161,1.1923501940814345,0.15878943786017574,0.12864345203078428
JFU,2020-10-30,1.59,1.63,1.52,1.5547,426024,1.5547,1.3622559286582665,1.1845382096079489,0.1777177190503174,0.12110695557343648
JFU,2020-10-29,1.51,1.82,1.5,1.7369,604098,1.7369,1.327266097505224,1.1549252663765848,0.17234083112863918,0.10695426470421618
JFU,2020-10-28,1.544,1.56,1.41,1.4801,465947,1.4800999999999995,1.2527872061425374,1.1083672876867114,0.1444199184558259,0.09060762309811043
JFU,2020-10-27,1.45,1.4622,1.36,1.42,428355,1.4199999999999993,1.2114576072593624,1.0786286707016484,0.132828936557714,0.07715454925868155
JFU,2020-10-26,1.37,1.38,1.3,1.3336,431411,1.3335999999999992,1.1735408085792465,1.0513189643577805,0.1222218442214662,0.06323595243392344
JFU,2020-10-23,1.4,1.48,1.38,1.425,440410,1.4249999999999996,1.1444391374118368,1.0287364815064026,0.11570265590543415,0.04848947948703779
JFU,2020-10-22,1.58,1.605,1.41,1.4501,2070843,1.4500999999999995,1.0934280714867162,0.9970354000269148,0.09639267145980124,0.0316861853824387
JFU,2020-10-21,1.48,1.9,1.47,1.655,9167208,1.6549999999999998,1.0285786299388464,0.960790232029068,0.06778839790977831,0.01550956386309803
JFU,2020-10-20,1.06,1.08,1.01,1.02,482573,1.0199999999999998,0.9146838353822729,0.9052534505913936,0.009430384790879542,0.0024398553514279305
JFU,2020-10-19,0.9194,0.9195,0.9008,0.9195,100841,0.9194999999999998,0.8955354418154136,0.8960737266387049,-0.000538284823291324,0.0006922229915650828
JFU,2020-10-16,0.9079999999999999,0.9079999999999999,0.8611,0.8771,117889,0.8770999999999998,0.8911782494182161,0.8941996247698013,-0.003021375351585198,0.0009998499452791845
JFU,2020-10-15,0.855,0.87,0.8301,0.8507,88874,0.8506999999999998,0.8937379311306191,0.8955675947513855,-0.0018296636207664199,0.00200515626949528
JFU,2020-10-14,0.89,0.9042,0.85,0.8673,164638,0.8672999999999997,0.9015630095180044,0.8991570023314963,0.0024060071865079635,0.0029638612420607047
JFU,2020-10-13,0.9079,0.915899,0.89,0.8909999999999999,28137,0.8909999999999998,0.9077926476121868,0.9017055625180159,0.006087085094170774,0.003103324755948862
JFU,2020-10-12,0.92,0.93,0.88,0.9101,113441,0.9101,0.910845856268948,0.9025620075194574,0.008283848749490619,0.002357384671393356
JFU,2020-10-09,0.9390000000000001,0.958,0.92,0.9302,39984,0.9302,0.9109814664996658,0.9019589681210141,0.009022498378651878,0.00087576865186904
JFU,2020-10-08,0.96,0.96,0.932,0.9412,35172,0.9412,0.9074871876814232,0.8996996855706951,0.007787502110728095,-0.0011609137798266416
JFU,2020-10-07,0.9603,0.9603,0.932,0.9494809999999999,47654,0.9494809999999998,0.901357585441682,0.8963796604163508,0.004977925025331231,-0.003398017752465326
JFU,2020-10-06,0.9098,0.924,0.9,0.9081,84534,0.9080999999999998,0.8926078737038061,0.8921315532496588,0.00047632045414736085,-0.005492003446914465
JFU,2020-10-05,0.865,0.89,0.865,0.8807,56090,0.8806999999999997,0.8897911234681345,0.8908540775096314,-0.001062954041496922,-0.006984084422179921
JFU,2020-10-02,0.96,0.96,0.92,0.9299,351943,0.9298999999999996,0.8914440550077953,0.891666403710402,-0.0002223487026066229,-0.00846436701735067
JFU,2020-10-01,0.872,0.93,0.872,0.92,158810,0.9199999999999996,0.8844520650092127,0.8886077160072342,-0.0041556509980215095,-0.01052487159603668
JFU,2020-09-30,0.99,1.01,0.9289,0.9857,734917,0.9856999999999996,0.8779888041017967,0.8860963332878129,-0.008107529186016205,-0.012117176745540472
JFU,2020-09-29,0.8591,0.8798,0.823,0.8601,58970,0.8600999999999994,0.8584049503021234,0.878128039950838,-0.01972308964871461,-0.013119588635421536
JFU,2020-09-28,0.8453,0.858,0.812,0.8497,57774,0.8496999999999996,0.8580967594479642,0.879570283146905,-0.021473523698940955,-0.011468713382098268
JFU,2020-09-25,0.79,0.85,0.775,0.8,60600,0.7999999999999997,0.8596234429839574,0.8819599057986574,-0.02233646281469992,-0.008967510802887624
JFU,2020-09-24,0.78,0.78,0.72,0.7431,376783,0.7430999999999996,0.8704640689810406,0.8885166982625501,-0.018052629281509414,-0.00562527279993455
JFU,2020-09-23,0.872,0.88,0.86,0.875051,59314,0.8750509999999997,0.8936211724321388,0.9001500341235541,-0.0065288616914152,-0.0025184336795408056
JFU,2020-09-22,0.8715,0.8779,0.862,0.8696,25684,0.8695999999999997,0.8969975674198004,0.9021579568534384,-0.005160389433637946,-0.001515826676572179
JFU,2020-09-21,0.89,0.91,0.8561,0.8739,145961,0.8738999999999996,0.9019789433143096,0.9047625934017134,-0.002783650087403777,-0.000604685987305737
JFU,2020-09-18,0.91,0.9372,0.905,0.9062,138041,0.9061999999999996,0.9070842057350932,0.9072316008738504,-0.00014739513875727805,-5.994496228122693e-05
JFU,2020-09-17,0.9197,0.9197,0.89,0.9079999999999999,79131,0.9079999999999996,0.9072449704142008,0.9073141289437584,-6.915852955746704e-05,-3.80824181622419e-05
JFU,2020-09-16,0.91,0.929,0.8904,0.9055,131558,0.9054999999999996,0.9071076923076922,0.9072592592592592,-0.00015156695156703923,-3.031339031340785e-05
JFU,2020-09-15,0.9,0.9162,0.885101,0.9074,127122,0.9073999999999997,0.9074,0.9074,0.0,0.0
