Symbol,Date,Open,High,Low,Close,Volume,LIZI SMA,LIZI spanTwelveEMA,LIZI spanTwntySixEMA,LIZI_x,LIZI_y
LIZI,2020-10-26,2.13,2.17,2.12,2.145,37751,2.145,2.2984826108312686,2.5484346255865087,-0.2499520147552401,-0.23514833503633342
LIZI,2020-10-23,2.0,2.11,2.0,2.07,70400,2.07,2.3263885400733173,2.5807093956334293,-0.254320855560112,-0.23144741510660677
LIZI,2020-10-22,2.03,2.05,2.02,2.03,65454,2.03,2.3730046382684655,2.621566147284104,-0.2485615090156377,-0.22572905499323045
LIZI,2020-10-21,2.12,2.1698,2.08,2.0801,146253,2.0800999999999994,2.4353691179536416,2.668891439066832,-0.23352232111319005,-0.2200209414876284
LIZI,2020-10-20,2.23,2.27,2.1431,2.175,242402,2.174999999999999,2.499963503036122,2.7159947541921783,-0.21603125115605648,-0.21664559658123786
LIZI,2020-10-19,2.31,2.3357,2.21,2.23,247448,2.2299999999999995,2.5590477763154165,2.7592743345275528,-0.2002265582121363,-0.2167991829375332
LIZI,2020-10-16,2.5,2.5399,2.3877,2.41,247149,2.41,2.6188746447364006,2.801616281289757,-0.18274163655335585,-0.22094233911888242
LIZI,2020-10-15,2.49,2.515,2.36,2.41,216767,2.41,2.656851852870292,2.8329455837929367,-0.1760937309226449,-0.23049251476026394
LIZI,2020-10-14,2.61,2.64,2.5,2.5,306304,2.5,2.7017340079376178,2.866781230496372,-0.16504722255875448,-0.24409221071966872
LIZI,2020-10-13,3.03,3.06,2.8,2.865,964094,2.865,2.7384129184717296,2.896123728936082,-0.15771081046435187,-0.2638534577598974
LIZI,2020-10-12,3.93,4.45,3.73,4.1,28604663,4.1,2.71539708546659,2.8986136272509686,-0.18321654178437846,-0.2903891195837836
LIZI,2020-10-09,2.39,2.41,2.3,2.34,59377,2.34,2.4636511010059703,2.8025027174310457,-0.3388516164250759,-0.3171822640336349
LIZI,2020-10-08,2.21,2.31,2.21,2.23,19960,2.2300000000000004,2.4861331193706926,2.83950293482553,-0.35336981545483725,-0.31176492593577476
LIZI,2020-10-07,2.24,2.3,2.23,2.28,18513,2.28,2.532702777438091,2.888263169611572,-0.3555603921734813,-0.3013637035560091
LIZI,2020-10-06,2.3,2.305,2.21,2.23,11991,2.23,2.5786487369722892,2.936924223180497,-0.3582754862082087,-0.28781453140164104
LIZI,2020-10-05,2.28,2.42,2.25,2.27,34779,2.27,2.642039416421796,2.993478161034937,-0.3514387446131417,-0.27019929269999937
LIZI,2020-10-02,2.49,2.49,2.39,2.46,19178,2.4600000000000004,2.7096829466803043,3.0513564139177327,-0.3416734672374289,-0.249889429721714
LIZI,2020-10-01,2.3,2.4,2.3,2.4,60159,2.4000000000000004,2.7550798460767227,3.0986649270311517,-0.3435850809544285,-0.22694342034278536
LIZI,2020-09-30,2.13,2.21,2.13,2.2013,15973,2.2013000000000003,2.8196398180906725,3.1545581211936438,-0.3349183031029708,-0.19778300518987443
LIZI,2020-09-29,2.33,2.3764,2.3,2.3,1931,2.3000000000000007,2.932065239561704,3.2308187708891345,-0.2987535313274305,-0.16349918071160022
LIZI,2020-09-28,2.5,2.5035,2.4,2.49,10185,2.490000000000001,3.0469861922092862,3.305284272560265,-0.2582980803509787,-0.12968559305764263
LIZI,2020-09-25,2.5,2.6499,2.5,2.53,6914,2.5300000000000007,3.148256408974611,3.3705070143650864,-0.22225060539047486,-0.09753247123430861
LIZI,2020-09-24,2.63,2.63,2.4,2.5,17056,2.5000000000000013,3.260666665151813,3.4377475755142926,-0.17708091036247975,-0.06635293769526693
LIZI,2020-09-23,2.78,2.91,2.78,2.88,11329,2.880000000000001,3.398969695179416,3.5127673815554363,-0.1137976863760204,-0.038670944528463716
LIZI,2020-09-22,3.27,3.27,3.1,3.165,15535,3.1650000000000014,3.4933278215756736,3.563388772079872,-0.0700609505041978,-0.01988925906657455
LIZI,2020-09-21,3.35,3.49,3.3,3.3,12853,3.3000000000000007,3.5530237891348877,3.5952598738462616,-0.042236084711373856,-0.007346336207168628
LIZI,2020-09-18,3.61,3.7,3.36,3.41,41569,3.410000000000001,3.5990281144321394,3.618880663753962,-0.019852549321822455,0.0013761009188826782
LIZI,2020-09-17,3.63,3.8,3.58,3.62,28150,3.620000000000001,3.6333968625107103,3.6355911168542794,-0.002194254343568236,0.006683263479058961
LIZI,2020-09-16,3.58,3.66,3.58,3.58,12651,3.5800000000000014,3.6358326556944762,3.636838406202621,-0.001005750508145109,0.008902642934715982
LIZI,2020-09-15,3.52,3.58,3.52,3.53,4697,3.530000000000001,3.6459840476389265,3.6413854786988304,0.004598568940095582,0.011379741295431144
LIZI,2020-09-14,3.65,3.65,3.5,3.5,3377,3.5000000000000013,3.6670720563005488,3.6502963169947367,0.016775739305812554,0.013075034384264923
LIZI,2020-09-11,3.7,3.79,3.7,3.79,700,3.790000000000002,3.69744879380974,3.662320022354316,0.035128771455424264,0.012149858153878125
LIZI,2020-09-10,3.89,3.94,3.86,3.94,470,3.94,3.680621301775148,3.6521056241426613,0.02851567763248664,0.006405129828491703
LIZI,2020-09-09,3.63,3.68,3.63,3.68,1301,3.680000000000001,3.633461538461538,3.6290740740740732,0.004387464387463957,0.0008774928774929691
LIZI,2020-09-08,3.73,3.7302,3.625,3.625,3175,3.6250000000000013,3.625,3.625,0.0,0.0
