Symbol,Date,Open,High,Low,Close,Volume,FBIO SMA,FBIO spanTwelveEMA,FBIO spanTwntySixEMA,FBIO_x,FBIO_y
FBIO,2020-10-26,2.6,2.69,2.59,2.655,37978,2.655,2.943077424319165,3.3312019020136674,-0.3881244776945021,-0.29960182347616937
FBIO,2020-10-23,2.68,2.7297,2.58,2.62,73135,2.620000000000001,2.9954551378317404,3.3852980541747604,-0.3898429163430199,-0.2774711599215861
FBIO,2020-10-22,2.6,2.65,2.5401,2.63,144249,2.63,3.0637197083466026,3.4465218985087414,-0.3828021901621388,-0.24937822081622765
FBIO,2020-10-21,2.63,2.65,2.5801,2.6235,95476,2.6235,3.1425778371368938,3.5118436503894412,-0.36926581325254704,-0.21602222847974983
FBIO,2020-10-20,2.62,2.6822,2.55,2.6122,153275,2.6122,3.2369556257072385,3.5829111424205964,-0.3459555167133579,-0.1777113322865504
FBIO,2020-10-19,2.8,2.8129,2.7,2.705,211159,2.705,3.3505475576540085,3.660568033814243,-0.310020476160235,-0.13565028617984853
FBIO,2020-10-16,2.74,2.81,2.7249,2.735,168967,2.7349999999999994,3.467919840863828,3.737013476519383,-0.2690936356555551,-0.09205773868475203
FBIO,2020-10-15,2.8,2.81,2.66,2.71,353116,2.7099999999999995,3.6011779937481605,3.8171745546409337,-0.21599656089277364,-0.047798764442051264
FBIO,2020-10-14,3.06,3.07,2.96,3.02,147661,3.02,3.7632103562478254,3.9057485190122088,-0.14253816276438247,-0.0057493153293707785
FBIO,2020-10-13,3.1,3.11,2.85,2.9736,759925,2.973599999999999,3.8983395119292488,3.9766084005331854,-0.07826888860393623,0.028447896529382365
FBIO,2020-10-12,3.0,3.4,2.99,3.36,1427301,3.359999999999999,4.066473968643658,4.05684907257584,0.0096248960678178,0.055127092812712115
FBIO,2020-10-09,4.4888,4.58,4.18,4.24,531949,4.24,4.194923781124324,4.112596998381907,0.08232678274241677,0.06650264199893569
FBIO,2020-10-08,4.46,4.7,4.45,4.66,875081,4.66,4.18672810496511,4.10240475825246,0.08432334671265007,0.0625466068130654
FBIO,2020-10-07,4.19,4.24,4.14,4.22,69419,4.219999999999999,4.100678669504221,4.057797138912657,0.042881530591563966,0.05710242183816922
FBIO,2020-10-06,4.22,4.34,4.12,4.17,243806,4.169999999999999,4.078983882141352,4.04482091002567,0.03416297211568242,0.06065764464982053
FBIO,2020-10-05,4.02,4.07,3.9907,4.0211,212866,4.021099999999999,4.062435497076143,4.034806582827723,0.02762891424842007,0.06728131278335506
FBIO,2020-10-02,3.9,4.13,3.85,4.06,231603,4.06,4.0699510419990785,4.0359031094539395,0.03404793254513727,0.0771944124170888
FBIO,2020-10-01,4.05,4.08,3.967,4.03,101910,4.03,4.071760322362547,4.033975358210255,0.0377849641522916,0.08798103238507622
FBIO,2020-09-30,3.95,4.02,3.91,4.0195,62394,4.0195,4.0793531082466465,4.034293386867075,0.04505972137957048,0.10053004944327236
FBIO,2020-09-29,3.95,3.95,3.82,3.88,105952,3.88,4.0902354915642185,4.035476857816442,0.054758633747776564,0.1143976314591976
FBIO,2020-09-28,4.1,4.1,3.87,3.8895,296306,3.8895,4.128460126394075,4.047915006441756,0.08054511995231907,0.12930738088705285
FBIO,2020-09-25,3.8339999999999996,3.92,3.8117,3.9,114889,3.9,4.171907422102089,4.060588206957097,0.11131921514499243,0.1414979461207363
FBIO,2020-09-24,4.0,4.0,3.7,3.87,337573,3.870000000000001,4.2213451352115605,4.073435263513663,0.14790987169789638,0.14904262886467226
FBIO,2020-09-23,4.42,4.45,4.28,4.2924,127081,4.2924,4.285226068886391,4.089710084594757,0.19551598429163253,0.149325818156366
FBIO,2020-09-22,4.72,4.74,4.43,4.48,247567,4.480000000000001,4.283921717774824,4.073494891362338,0.21042682641248603,0.13777827662254913
FBIO,2020-09-21,4.75,4.75,4.59,4.7364,322218,4.7364,4.24827112100661,4.0409744826713245,0.20729663833528544,0.11961613917506489
FBIO,2020-09-18,4.49,4.575,4.4601,4.54,187498,4.539999999999999,4.159520415735084,3.9853404412850297,0.17417997445005404,0.09769601438500974
FBIO,2020-09-17,4.32,4.435,4.23,4.425,157128,4.425,4.0903423095051,3.940967676587833,0.14937463291726694,0.07857502436874854
FBIO,2020-09-16,4.26,4.42,4.26,4.3909,171212,4.390899999999999,4.029495456687845,3.902245090714859,0.12725036597298578,0.060875122231618825
FBIO,2020-09-15,4.38,4.4,4.12,4.22,314569,4.219999999999999,3.9637855397219983,3.863152697972048,0.10063284174995067,0.044281311296277076
FBIO,2020-09-14,4.18,4.26,4.0618,4.22,237752,4.219999999999998,3.9172010923987255,3.834604913809812,0.08259617858891401,0.030193428682858785
FBIO,2020-09-11,4.13,4.36,4.13,4.24,589633,4.2399999999999975,3.8621467455621294,3.803773306914597,0.058373438647533415,0.01709274120634509
FBIO,2020-09-10,3.9,3.98,3.89,3.94,89600,3.9399999999999977,3.7934461538461535,3.768875171467764,0.024570982378389502,0.006772566846048225
FBIO,2020-09-09,3.76,3.92,3.7575,3.89,131531,3.8899999999999983,3.7668,3.7551851851851854,0.011614814814814522,0.0023229629629629048
FBIO,2020-09-08,3.66,3.77,3.6,3.7444,136791,3.7443999999999984,3.7444,3.7444,0.0,0.0
