Symbol,Date,Open,High,Low,Close,Volume,ICAGY SMA,ICAGY spanTwelveEMA,ICAGY spanTwntySixEMA,ICAGY_x,ICAGY_y
ICAGY,2020-10-26,2.77,2.77,2.7,2.73,182639,2.73,2.9185343669445243,3.465700848382562,-0.5471664814380377,-0.5759965484711308
ICAGY,2020-10-23,2.8,2.82,2.79,2.81,94361,2.81,2.95281334275262,3.5245569162531667,-0.5717435735005467,-0.583204065229404
ICAGY,2020-10-22,2.74,2.77,2.7,2.747,112367,2.7470000000000003,2.978779405071278,3.58172146955342,-0.6029420644821419,-0.5860691881616183
ICAGY,2020-10-21,2.75,2.75,2.68,2.74,139773,2.74,3.020921115084238,3.648499187117694,-0.6275780720334558,-0.5818509690814875
ICAGY,2020-10-20,2.75,2.84,2.74,2.82,352290,2.8200000000000003,3.0719976814631904,3.7211791220871095,-0.6491814406239191,-0.5704191933434954
ICAGY,2020-10-19,2.55,2.57,2.53,2.5599,185263,2.5599000000000003,3.117815441729225,3.793273451854079,-0.6754580101248537,-0.5507286315233895
ICAGY,2020-10-16,2.5,2.52,2.48,2.51,452016,2.5100000000000007,3.2192546129527204,3.8919433280024047,-0.6726887150496843,-0.5195462868730233
ICAGY,2020-10-15,2.54,2.54,2.5,2.51,200733,2.5100000000000007,3.348209997125942,4.002498794242596,-0.6542887971166551,-0.481260679828858
ICAGY,2020-10-14,2.62,2.63,2.59,2.62,177836,2.620000000000001,3.5006118147852034,4.1218986977820045,-0.6212868829968006,-0.4380036505069089
ICAGY,2020-10-13,2.62,2.62,2.57,2.59,494718,2.5900000000000007,3.6607230538370583,4.2420505936045645,-0.5813275397675066,-0.3921828423844359
ICAGY,2020-10-12,2.8,2.8,2.7,2.72,357456,2.7200000000000006,3.855399972716524,4.37421464109293,-0.5188146683764061,-0.34489666803866836
ICAGY,2020-10-09,2.85,2.86,2.74,2.76,1509770,2.76,4.0618363313922545,4.506551812380365,-0.4447154809881093,-0.30141716795423396
ICAGY,2020-10-08,3.69,3.75,3.5,3.62,450225,3.620000000000001,4.298533846190848,4.6462759573707935,-0.3477421111799464,-0.2655925896957649
ICAGY,2020-10-07,4.25,4.25,4.05,4.16,20863,4.160000000000001,4.421903636407366,4.728378033960458,-0.3064743975530915,-0.24505520932471972
ICAGY,2020-10-06,4.25,4.32,4.1802,4.24,35075,4.240000000000002,4.469522479390523,4.773848276677295,-0.30432579728677034,-0.22970041226762677
ICAGY,2020-10-05,4.14,4.56,4.075,4.37,69688,4.370000000000003,4.511253839279711,4.816556138811479,-0.3053022995317676,-0.21104406601284043
ICAGY,2020-10-02,4.09,4.35,3.8,4.01,51487,4.0100000000000025,4.5369363555123865,4.852280629916397,-0.31534427440401114,-0.1874795076331084
ICAGY,2020-10-01,4.2,4.24,3.96,4.08,50824,4.0800000000000045,4.632742965605547,4.919663080309708,-0.2869201147041611,-0.15551331594038292
ICAGY,2020-09-30,3.99,4.1,3.2,4.0,182450,4.000000000000004,4.733241686624737,4.9868361267344845,-0.2535944401097474,-0.12266161624943837
ICAGY,2020-09-29,4.45,4.54,4.26,4.34,19996,4.340000000000003,4.8665583569201445,5.065783016873244,-0.1992246599530985,-0.0899284102843611
ICAGY,2020-09-28,4.3,4.4,4.225,4.27,55962,4.270000000000003,4.962296239996534,5.123845658223101,-0.161549418226568,-0.06260434786717654
ICAGY,2020-09-25,4.68,4.68,4.35,4.5585,21469,4.558500000000004,5.088168283632268,5.1921533108809514,-0.10398502724868308,-0.03786808027732891
ICAGY,2020-09-24,4.67,4.8,4.0,4.8,120263,4.8000000000000025,5.184471607929043,5.242845575751427,-0.05837396782238269,-0.02133884353449036
ICAGY,2020-09-23,5.06,5.11,5.0,5.04,57456,5.0400000000000045,5.254375536643416,5.278273221811541,-0.023897685168125626,-0.012080062462517055
ICAGY,2020-09-22,5.6,5.6,5.0,5.38,68005,5.3800000000000034,5.293352906942219,5.297335079556465,-0.00398217261424616,-0.009125656786115132
ICAGY,2020-09-21,4.5,5.25,4.5,5.19,27247,5.190000000000004,5.277598890022622,5.2907218859209815,-0.0131229958983603,-0.010411527829082376
ICAGY,2020-09-18,4.92,5.41,4.5,5.2396,46981,5.239600000000004,5.293525960935827,5.298779636794661,-0.0052536758588344066,-0.009733660811763117
ICAGY,2020-09-17,5.37,5.46,5.35,5.375,22453,5.375000000000003,5.303330681105977,5.303514007738233,-0.0001833266322570637,-0.010853657049995294
ICAGY,2020-09-16,5.35,5.42,5.35,5.375,62672,5.3750000000000036,5.290299895852519,5.297795128357293,-0.00749523250477413,-0.013521239654430072
ICAGY,2020-09-15,5.28,5.38,5.2,5.38,20076,5.380000000000003,5.2748998769166136,5.291618738625877,-0.016718861709263955,-0.015027741441844279
ICAGY,2020-09-14,5.33,5.42,5.18,5.35,20482,5.350000000000001,5.255790763628724,5.2845482377159465,-0.028757474087222512,-0.01460496137498958
ICAGY,2020-09-11,4.98,4.98,4.9,4.9,21596,4.900000000000004,5.23866181156122,5.279312096733221,-0.04065028517200275,-0.011066833196931348
ICAGY,2020-09-10,5.2,5.34,5.19,5.31,16225,5.310000000000004,5.300236686390534,5.30965706447188,-0.009420378081347104,-0.0036709702031637193
ICAGY,2020-09-09,5.28,5.28,5.17,5.18,10328,5.180000000000004,5.298461538461539,5.3096296296296295,-0.011168091168091364,-0.0022336182336180955
ICAGY,2020-09-08,5.24,5.32,5.21,5.32,33150,5.320000000000004,5.32,5.32,0.0,0.0
