Symbol,Date,Open,High,Low,Close,Volume,REPH SMA_x,REPH spanTwelveEMA_x,REPH spanTwntySixEMA_x,REPH_x,REPH_y,REPH SMA_y,REPH spanTwelveEMA_y,REPH spanTwntySixEMA_y,REPH_x.1,REPH_y.1,REPH SMA,REPH spanTwelveEMA,REPH spanTwntySixEMA,REPH_x,REPH_y
REPH,2021-01-27,3.25,3.25,3.07,3.2157,127999,3.2157,3.2647447964905094,3.1810257112607627,0.08371908522974714,0.033585283110899464,3.2157,3.264742778668541,3.1788846301031715,0.08585814856536933,0.03358528311089939,3.2157,3.2647427524525976,3.178595152154208,0.08614760029838964,0.033585283110899464
REPH,2021-01-26,3.55,3.57,3.4867,3.5423,121925,3.5423,3.273662032216057,3.178251768161624,0.09541026405443363,0.02105183258118766,3.5423,3.2736596475173667,3.1759394005114245,0.09772024700594173,0.02105183258118756,3.5423,3.2736596165348884,3.175626764326545,0.0980328522083438,0.02105183258118766
REPH,2021-01-25,3.71,3.75,3.57,3.6,48918,3.6000000000000005,3.224818765346249,3.149127909614553,0.07569085573169597,0.002462224712876384,3.6000000000000005,3.2248159470659785,3.146630552552339,0.07818539451363993,0.002462224712876149,3.6000000000000005,3.2248159104503227,3.1462929054726683,0.07852300497765441,0.0024622247128763836
REPH,2021-01-22,3.5,3.65,3.45,3.62,148881,3.620000000000001,3.156603995409204,3.1130581423837187,0.04354585302548575,-0.015844933041828515,3.620000000000001,3.1566006647143388,3.110360996756526,0.04623966795781298,-0.015844933041828588,3.620000000000001,3.1566006214412896,3.1099963379104816,0.046604283530808484,-0.015844933041828515
REPH,2021-01-21,3.32,3.48,3.26,3.4357,193121,3.4357000000000006,3.072350176392695,3.072502793774415,-0.00015261738172034356,-0.03069262955865697,3.4357000000000006,3.0723462401169463,3.0695898764970484,0.00275636361989795,-0.03069262955865695,3.4357000000000006,3.0723461889760695,3.0691960449433195,0.0031501440327499357,-0.03069262955865697
REPH,2021-01-20,3.08,3.109,3.03,3.065,88491,3.065,3.006286572100457,3.0434470172763683,-0.03716044517591088,-0.038327632602891126,3.065,3.0062819201382087,3.0403010666168115,-0.034019146478602824,-0.0383276326028911,3.065,3.0062818596989915,3.0398757285387856,-0.033593868839794094,-0.038327632602891126
REPH,2021-01-19,2.99,3.0,2.95,2.99,57214,2.99,2.9956114033914503,3.0417227786584777,-0.04611137526702791,-0.03861942945963608,2.99,2.9956059056178836,3.0383251519461565,-0.042719246328273286,-0.038619429459636034,2.99,2.9956058341897167,3.037865786821889,-0.042259952632171416,-0.038619429459636076
REPH,2021-01-19,2.99,3.0,2.95,2.99,57214,2.99,2.9966316585535315,3.045860600951156,-0.04922894239762421,-0.03674644300778823,2.99,2.996625161184772,3.0421911641018493,-0.045566002917077686,-0.036746443007788177,2.99,2.996625076769666,3.04169504976764,-0.04506997299797355,-0.03674644300778823
REPH,2021-01-15,2.95,2.97,2.91,2.96,49531,2.96,2.9978374146541737,3.050329449027248,-0.05249203437307415,-0.03362581816032912,2.96,2.9978297359456394,3.0463664572299973,-0.04853672128435793,-0.033625818160329064,2.96,2.9978296361823324,3.0458306537490505,-0.04800101756671804,-0.03362581816032912
REPH,2021-01-14,2.97,2.97,2.86,2.91,32415,2.91,3.0047169445912965,3.0575558049494282,-0.05283886035813135,-0.02890926410714286,2.91,3.0047078697539376,3.053275773808397,-0.048567904054459536,-0.028909264107142788,2.91,3.004707751851848,3.0526971060489747,-0.04798935419712702,-0.02890926410714286
