Symbol,Date,Open,High,Low,Close,Volume,RGRX SMA,RGRX spanTwelveEMA,RGRX spanTwntySixEMA,RGRX_x,RGRX_y
RGRX,2020-12-30,0.5,0.5,0.3945,0.45,39477,0.45,0.4959714539345499,0.5224111603079342,-0.02643970637338433,-0.02645973549313239
RGRX,2020-12-29,0.49,0.49,0.4315,0.455,15938,0.455,0.5043299001044681,0.5282040531325689,-0.02387415302810081,-0.026464742773069407
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5132989728507351,0.5340603773831745,-0.020761404532439357,-0.027112390209311554
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5084442406417778,0.5335852075738284,-0.02514096693205059,-0.0287001366285296
RGRX,2020-12-24,0.4123,0.54,0.4123,0.54,3025,0.54,0.5027068298493739,0.5330720241797346,-0.030365194330360782,-0.02958992905264935
RGRX,2020-12-23,0.56,0.56,0.52,0.52,4794,0.52,0.49592625345835106,0.5325177861141134,-0.03659153265576237,-0.029396112733221492
RGRX,2020-12-22,0.51145,0.51145,0.445,0.5,38225,0.5,0.4915492086325966,0.5335192090032425,-0.041970000370645855,-0.027597257752586285
RGRX,2020-12-21,0.37,0.44,0.37,0.37,37996,0.37,0.4900127011112505,0.5362007457235018,-0.046188044612251344,-0.024004072098071386
RGRX,2020-12-18,0.4,0.4,0.354,0.38,60134,0.38,0.5118331922223871,0.5494968053813819,-0.03766361315899491,-0.018458078969526392
RGRX,2020-12-17,0.444,0.45,0.4383,0.45,17647,0.4500000000000001,0.5358028635355482,0.5630565498118925,-0.02725368627634428,-0.013656695422159287
RGRX,2020-12-16,0.5299,0.5299,0.446,0.48,8692,0.48,0.5514033841783751,0.5721010737968438,-0.02069768961846874,-0.010257447708613036
RGRX,2020-12-15,0.48,0.528,0.48,0.528,1200,0.528,0.5643858176653523,0.5794691597005913,-0.015083342035238978,-0.007647387231149109
RGRX,2020-12-14,0.49,0.524,0.49,0.524,2125,0.524,0.5710014208772346,0.5835866924766386,-0.012585271599404035,-0.005788398530126641
RGRX,2020-12-11,0.55,0.55,0.55,0.55,2000,0.55,0.5795471337640046,0.5883536278747696,-0.008806494110765062,-0.004089180262807292
RGRX,2020-12-10,0.56,0.56,0.55,0.55,8768,0.55,0.5849193399029146,0.5914219181047512,-0.00650257820183664,-0.0029098518008178493
RGRX,2020-12-09,0.61,0.61,0.5501,0.5999,12212,0.5999000000000001,0.5912683107943536,0.5947356715531313,-0.0034673607587777373,-0.0020116702005631517
RGRX,2020-12-08,0.5565,0.5615,0.4432,0.5479999999999999,46101,0.5479999999999999,0.5896989127569634,0.5943225252773818,-0.00462361252041843,-0.001647747561009505
RGRX,2020-12-07,0.5979,0.5979,0.596,0.596,2100,0.596,0.5972805332582295,0.5980283272995723,-0.0007477940413428419,-0.0009037813211572739
RGRX,2020-12-04,0.6,0.6,0.6,0.6,1000,0.6,0.5975133574869984,0.5981905934835381,-0.0006772359965396825,-0.0009427781411108819
RGRX,2020-12-03,0.6,0.6,0.57,0.6,4100,0.6,0.5970612406664527,0.5980458409622212,-0.0009846002957685231,-0.0010091636772536817
RGRX,2020-12-02,0.6,0.6,0.6,0.6,15000,0.6,0.5965269207876259,0.597889508239199,-0.0013625874515730276,-0.0010153045226249714
RGRX,2020-12-01,0.58,0.595,0.58,0.595,8000,0.5949999999999999,0.5958954518399215,0.5977206688983349,-0.0018252170584133198,-0.0009284837903879573
RGRX,2020-11-30,0.57,0.595,0.57,0.59,3353,0.5899999999999999,0.5960582612653618,0.5979383224102017,-0.0018800611448399614,-0.0007043004733816166
RGRX,2020-11-27,0.59,0.59,0.59,0.59,1400,0.5899999999999997,0.5971597633136094,0.5985733882030179,-0.001413624889408438,-0.0004103603055170302
RGRX,2020-11-27,0.59,0.59,0.59,0.59,1400,0.5899999999999997,0.5984615384615384,0.5992592592592593,-0.0007977207977208911,-0.00015954415954417823
RGRX,2020-11-25,0.58,0.6,0.58,0.6,82757,0.5999999999999998,0.6,0.6,0.0,0.0
