Symbol,Date,Open,High,Low,Close,Volume,IMH SMA,IMH spanTwelveEMA,IMH spanTwntySixEMA,IMH_x,IMH_y
IMH,2020-12-30,2.98,3.06,2.971,3.014,9897,3.014,2.8457472924637166,2.6152445619886286,0.2305027304750875,0.23321036650063554
IMH,2020-12-29,3.28,3.29,3.01,3.0312,84063,3.0312,2.8151558910934837,2.58334412694772,0.23181176414576354,0.2338872755070224
IMH,2020-12-28,2.99,3.0,2.8929,3.0,30925,3.0,2.775875144019571,2.547515657103537,0.2283594869160339,0.23440615334733708
IMH,2020-12-28,2.99,3.0,2.8929,3.0,30925,3.0,2.7351251702049475,2.51131690967182,0.22380826053312752,0.23591781995516284
IMH,2020-12-24,2.86,2.87,2.86,2.87,2885,2.87,2.6869661102422104,2.4722222624455656,0.2147438477966448,0.23894520981067166
IMH,2020-12-23,2.72,2.78,2.7116,2.7116,26211,2.7116,2.6536872211953395,2.440400043441211,0.21328717775412853,0.24499555031417836
IMH,2020-12-22,2.66,2.69,2.59,2.69,2751,2.6900000000000004,2.6431576250490383,2.4187040469165084,0.22445357813252986,0.2529226434541908
IMH,2020-12-21,2.54,2.56,2.39,2.53,20107,2.5300000000000007,2.6346408296034083,2.3970003706698293,0.23764045893357946,0.260039909784606
IMH,2020-12-18,2.87,2.9,2.7707,2.8597,40625,2.859700000000001,2.6536664349858463,2.386360400323415,0.2673060346624312,0.26563977249736276
IMH,2020-12-17,2.41,2.45,2.36,2.45,5131,2.450000000000001,2.616205786801455,2.348493232349288,0.2677125544521668,0.26522320695609564
IMH,2020-12-16,2.44,2.47,2.24,2.4335,91594,2.4335000000000013,2.646425020765356,2.3403726909372318,0.3060523298281246,0.26460087008207783
IMH,2020-12-15,2.92,3.06,2.92,3.02,2632,3.020000000000002,2.685138660904512,2.33292250621221,0.35221615469230194,0.2542380051455662
IMH,2020-12-14,3.1,3.1,2.91,2.9794,9356,2.9794000000000014,2.6242547810689683,2.2779563067091866,0.3462984743597817,0.22974346775888227
IMH,2020-12-11,3.06,3.1,3.01,3.05,2436,3.0500000000000007,2.559682923081508,2.221840811245922,0.3378421118355863,0.20060471610865738
IMH,2020-12-10,3.16,3.16,3.0301,3.0947,6943,3.0947000000000005,2.4705343636417822,2.1555880761455954,0.3149462874961868,0.16629536717692514
IMH,2020-12-09,3.1,3.13,3.075,3.1,10314,3.100000000000001,2.3570497024857424,2.0804591222372437,0.27659058024849914,0.1291326370971097
IMH,2020-12-08,3.03,3.0899,3.0,3.01,26584,3.010000000000001,2.2219678302104233,1.9988958520162228,0.2230719781942001,0.09226815130926244
IMH,2020-12-07,2.98,2.98,2.51,2.6999,84082,2.6999000000000013,2.078689253885045,1.9180075201775204,0.1606817337075248,0.059567194588027894
IMH,2020-12-04,2.48,2.8,2.4101,2.745,281614,2.745000000000001,1.965741845500508,1.8554561217917218,0.11028572370878577,0.034288559808153665
IMH,2020-12-03,1.97,1.97,1.97,1.97,2147,1.9700000000000013,1.8240585446824185,1.7842926115350597,0.03976593314735877,0.015289268832995528
IMH,2020-12-02,1.96,1.96,1.9,1.95,1743,1.9500000000000013,1.7975237346246764,1.7694360204578643,0.028087714166811883,0.009170102754404719
IMH,2020-12-01,1.85,1.85,1.7593,1.82,44663,1.8200000000000016,1.7698007772837083,1.7549909020944938,0.014809875189214727,0.004440699901302873
IMH,2020-11-30,1.9,1.94,1.89,1.89,56943,1.8900000000000017,1.7606736458807464,1.7497901742620534,0.010883471618692964,0.001848406079324965
IMH,2020-11-27,1.79,1.79,1.72,1.73,10584,1.730000000000002,1.7371597633136096,1.738573388203018,-0.001413624889408327,-0.00041036030551703465
IMH,2020-11-27,1.79,1.79,1.72,1.73,10584,1.7300000000000018,1.7384615384615385,1.7392592592592593,-0.0007977207977207801,-0.00015954415954415603
IMH,2020-11-25,1.78,1.78,1.7206,1.74,10227,1.7400000000000015,1.74,1.74,0.0,0.0
