Symbol,Date,Open,High,Low,Close,Volume,ZKIN SMA,ZKIN spanTwelveEMA,ZKIN spanTwntySixEMA,ZKIN_x,ZKIN_y
ZKIN,2020-12-30,2.4,2.47,2.38,2.4401,114856,2.4401,2.313257447687333,2.27581712216334,0.037440325523993234,0.005737602614073326
ZKIN,2020-12-29,2.5,2.5,2.36,2.37,62436,2.37,2.2901951654486665,2.262674491936407,0.02752067351225973,-0.0021880781134066525
ZKIN,2020-12-28,2.4727,2.54,2.31,2.37,331087,2.37,2.2756851955302415,2.2540884512913197,0.02159674423892266,-0.009615266019823248
ZKIN,2020-12-28,2.4727,2.54,2.31,2.37,331087,2.37,2.258537049263013,2.244815527394625,0.013721521868388377,-0.017418268584509504
ZKIN,2020-12-24,2.33,2.34,2.26,2.2972,50775,2.2972,2.238271058219925,2.2348007695861947,0.0034702886337294463,-0.025203216197733865
ZKIN,2020-12-23,2.31,2.33,2.28,2.3,16973,2.3,2.2275567051690017,2.2298088311530906,-0.00225212598408886,-0.03237159240559991
ZKIN,2020-12-22,2.23,2.34,2.19,2.33,110634,2.33,2.214385197017912,2.2241935376453377,-0.009808340627426304,-0.03990145901097767
ZKIN,2020-12-21,2.24,2.2694,2.17,2.21,75640,2.21,2.1933643237484413,2.2157290206569646,-0.022364696908523832,-0.04742473860686562
ZKIN,2020-12-18,2.27,2.29,2.2,2.27,177039,2.2700000000000005,2.1903396553390664,2.2161873423095217,-0.025847686970455364,-0.05368974903145118
ZKIN,2020-12-17,2.23,2.32,2.1999,2.23,36449,2.23,2.175855956309806,2.211882329694284,-0.036026373384477665,-0.060650264546700125
ZKIN,2020-12-16,2.23,2.25,2.1601,2.18,30051,2.18,2.1660115847297705,2.210432916069826,-0.044421331340055666,-0.06680623733725563
ZKIN,2020-12-15,2.3,2.3,2.2,2.2,24836,2.2000000000000006,2.16346823649882,2.212867549355412,-0.04939931285659238,-0.07240246383655562
ZKIN,2020-12-14,2.35,2.4,2.29,2.33,74824,2.330000000000001,2.156826097680423,2.2138969533038453,-0.05707085562342185,-0.07815325158154654
ZKIN,2020-12-11,2.06,2.19,2.06,2.14,91946,2.140000000000001,2.125339933622318,2.2046087095681517,-0.07926877594583415,-0.0834238505710776
ZKIN,2020-12-10,2.55,2.59,2.16,2.28,1552418,2.28,2.122674467008194,2.209777406333604,-0.08710293932541012,-0.08446261922738857
ZKIN,2020-12-09,2.03,2.03,1.99,1.99,21108,1.99,2.0940698246460467,2.204159598840292,-0.11008977419424504,-0.08380253920288316
ZKIN,2020-12-08,1.96,2.0215,1.95,2.0185,15930,2.0184999999999995,2.1129916109453286,2.221292366747516,-0.10830075580218734,-0.0772307304550427
ZKIN,2020-12-07,2.0,2.1,2.0,2.0,38403,2.0,2.130171903844479,2.2375157560873173,-0.10734385224283828,-0.06946322411825652
ZKIN,2020-12-04,2.02,2.07,1.9601,2.0365,22075,2.0365,2.1538395227252938,2.2565170165743025,-0.1026774938490087,-0.05999306708711108
ZKIN,2020-12-03,1.9807,1.9935,1.92,1.965,31689,1.965,2.17517398140262,2.2741183779002463,-0.0989443964976262,-0.049321960396636666
ZKIN,2020-12-02,1.83,1.99,1.83,1.89,57789,1.89,2.2133874325667326,2.298847848132266,-0.08546041556553298,-0.03691635137138928
ZKIN,2020-12-01,2.18,2.2,2.04,2.08,250566,2.08,2.2721851475788664,2.3315556759828477,-0.05937052840398094,-0.024780335322853245
ZKIN,2020-11-30,2.25,2.28,2.02,2.14,121535,2.140000000000001,2.3071279016841153,2.351680130061475,-0.04455222837736006,-0.016132787052571207
ZKIN,2020-11-27,2.0,2.28,1.96,2.18,368084,2.18,2.3375147928994084,2.3686145404663925,-0.03109974756698408,-0.009027926721374105
ZKIN,2020-11-27,2.0,2.28,1.96,2.18,368084,2.18,2.3661538461538463,2.3837037037037043,-0.017549857549857606,-0.0035099715099716103
ZKIN,2020-11-25,2.63,3.05,2.32,2.4,10513202,2.4,2.4,2.4,0.0,0.0
