Symbol,Date,Open,High,Low,Close,Volume,TTNP SMA,TTNP spanTwelveEMA,TTNP spanTwntySixEMA,TTNP_x,TTNP_y
TTNP,2020-12-30,3.27,3.45,3.2510000000000003,3.2989,351185,3.2989,3.340920924311929,3.811072067781965,-0.4701511434700363,-0.5597463072271911
TTNP,2020-12-29,3.15,3.1635,3.07,3.0967,88860,3.0967,3.3485610923686435,3.852045833204522,-0.5034847408358791,-0.5821450981664797
TTNP,2020-12-28,3.34,3.43,3.25,3.3278,99927,3.3278000000000003,3.394354018253852,3.912473499860885,-0.5181194816070329,-0.60181018749913
TTNP,2020-12-28,3.34,3.43,3.25,3.3278,99927,3.3278,3.4064547488454613,3.959247379849756,-0.5527926310042943,-0.6227328639721542
TTNP,2020-12-24,3.29,3.2947,3.215,3.24,44858,3.24,3.4207556122719085,4.009763170237736,-0.5890075579658278,-0.6402179222141191
TTNP,2020-12-23,3.18,3.24,3.15,3.1929,92539,3.1929,3.453620269048619,4.071344223856755,-0.6177239548081364,-0.6530205132761919
TTNP,2020-12-22,3.26,3.2799,3.2,3.24,71141,3.24,3.501023954330185,4.141619761765297,-0.6405958074351101,-0.6618446528932058
TTNP,2020-12-21,3.21,3.24,3.17,3.2194,70247,3.2194000000000003,3.5484828551174923,4.213749342706519,-0.6652664875890268,-0.6671568642577294
TTNP,2020-12-18,3.29,3.2999,3.2203,3.26,52241,3.26,3.608316101502491,4.293297290123041,-0.6849811886205499,-0.667629458424905
TTNP,2020-12-17,3.3,3.39,3.24,3.275,67405,3.2750000000000004,3.671646301775672,4.375961073332884,-0.7043147715572124,-0.6632915258759937
TTNP,2020-12-16,3.43,3.45,3.32,3.3926,86965,3.3926000000000003,3.7437638111894302,4.464037959199514,-0.720274148010084,-0.653035714455689
TTNP,2020-12-15,3.255,3.3,3.21,3.2354,66062,3.2354000000000003,3.8076117768602353,4.549752995935474,-0.7421412190752399,-0.6362261060670902
TTNP,2020-12-14,3.35,3.36,3.31,3.3445,72299,3.3445000000000005,3.9116502817439143,4.654901235610313,-0.7432509538663985,-0.6097473278150529
TTNP,2020-12-11,3.3167,3.42,3.31,3.35,182166,3.3500000000000005,4.014768514788264,4.7597333344591375,-0.7449648196708756,-0.5763714213022164
TTNP,2020-12-10,3.37,3.397,3.35,3.3541,62643,3.3541000000000003,4.135635517477038,4.87251200121587,-0.7368764837388309,-0.5342230717100521
TTNP,2020-12-09,3.5,3.53,3.3,3.4419999999999997,317751,3.442,4.277732884291045,4.993984961313139,-0.7162520770220935,-0.4835597187028572
TTNP,2020-12-08,3.45,3.55,3.37,3.5162,239193,3.5162,4.429684317798508,5.11814375821819,-0.6884594404196829,-0.4253866291230481
TTNP,2020-12-07,3.41,3.5,3.36,3.3812,213228,3.3812,4.595772375580054,5.246299258875647,-0.6505268832955915,-0.35961842629888957
TTNP,2020-12-04,3.62,3.62,3.52,3.5786,86467,3.5786,4.816603716594608,5.395507199585698,-0.5789034829910884,-0.28689131204971385
TTNP,2020-12-03,3.58,3.65,3.5,3.58,185788,3.58,5.041695301429993,5.540859775552553,-0.4991644741225602,-0.21388826931436994
TTNP,2020-12-02,3.72,3.72,3.51,3.5656,254947,3.5656,5.307458083508172,5.697728557596758,-0.3902704740885836,-0.14256921811232232
TTNP,2020-12-01,4.28,4.3,3.8,3.88,675077,3.88,5.624159553236932,5.8682988422044975,-0.244139288967566,-0.08064390411825656
TTNP,2020-11-30,5.46,6.108,5.4,5.982,1065994,5.982,5.941279472007282,6.027362749580858,-0.08608327757357426,-0.039770057905929426
TTNP,2020-11-27,5.5935,5.655,5.31,5.442,311611,5.4419999999999975,5.933875739644972,6.0309917695473265,-0.09711602990235503,-0.028191752989017764
TTNP,2020-11-27,5.5935,5.655,5.31,5.442,311611,5.442,6.023307692307693,6.078111111111111,-0.05480341880341921,-0.010960683760683666
TTNP,2020-11-25,4.692,6.159,4.68,6.129,849076,6.129,6.129,6.129,0.0,0.0
