Symbol,Date,Open,High,Low,Close,Volume,GFI SMA,GFI spanTwelveEMA,GFI spanTwntySixEMA,GFI_x,GFI_y
GFI,2021-03-10,9.56,9.57,9.54,9.56,93777,9.56,9.017456317284667,9.083579605379066,-0.0661232880943991,-0.2210496737233597
GFI,2021-03-09,9.75,9.78,9.74,9.775,114151,9.775,8.918812011336426,9.045465973809392,-0.1266539624729663,-0.2597812701305998
GFI,2021-03-08,9.09,9.11,9.0,9.0807,189547,9.0807,8.763141467943049,8.987103251714142,-0.2239617837710934,-0.29306309704500816
GFI,2021-03-05,9.01,9.01,8.96,8.96,33122,8.96,8.705403553023602,8.979615511851273,-0.2742119588276708,-0.3103384253634868
GFI,2021-03-04,8.73,8.74,8.665,8.7,88876,8.7,8.659113289936984,8.981184752799376,-0.3220714628623913,-0.3193700419974408
GFI,2021-03-03,8.43,8.43,8.38,8.4,79258,8.4,8.6516793426528,9.003679533023327,-0.3520001903705267,-0.31869468678120316
GFI,2021-03-02,8.32,8.375,8.32,8.35,67126,8.35,8.697439223135127,9.051973895665194,-0.3545346725300664,-0.3103683108838723
GFI,2021-03-01,8.36,8.43,8.33,8.43,75754,8.43,8.760609990977878,9.10813180731841,-0.3475218163405316,-0.2993267204723237
GFI,2021-02-26,8.5,8.51,8.47,8.5,56083,8.5,8.820720898428402,9.162382351903885,-0.3416614534754814,-0.2872779465052717
GFI,2021-02-25,8.54,8.58,8.52,8.56,209309,8.56,8.879033789051746,9.215372940056191,-0.3363391510044469,-0.2736820697627188
GFI,2021-02-24,8.47,8.48,8.45,8.47,98415,8.47,8.9370399325157,9.267802775260687,-0.3307628427449867,-0.25801779945228726
GFI,2021-02-23,8.78,8.79,8.74,8.74,51107,8.74,9.021956283882192,9.331626997281544,-0.3096707133993508,-0.23983153862911238
GFI,2021-02-22,8.66,8.67,8.61,8.66,169635,8.66,9.073221062769864,9.378957157064066,-0.3057360942942022,-0.22237174493655232
GFI,2021-02-19,8.55,8.56,8.53,8.55,131673,8.55,9.148352165091657,9.436473729629192,-0.2881215645375352,-0.20153065759713984
GFI,2021-02-18,8.64,8.66,8.63,8.65,43226,8.65,9.257143467835592,9.507391627999528,-0.2502481601639346,-0.179882930862041
GFI,2021-02-17,8.86,8.9,8.825,8.83,93065,8.83,9.367533189260246,9.57598295823949,-0.2084497689792428,-0.16229162353656712
GFI,2021-02-16,9.25,9.26,9.225,9.255,85288,9.255,9.465266496398472,9.635661594898648,-0.1703950985001761,-0.1507520871758982
GFI,2021-02-16,9.25,9.26,9.225,9.255,85288,9.255,9.50349676847092,9.66611452249054,-0.1626177540196192,-0.1458413343448287
GFI,2021-02-12,9.35,9.37,9.3,9.3284,51118,9.3284,9.548677999101995,9.699003684289783,-0.1503256851877861,-0.14164722942613106
GFI,2021-02-11,9.59,9.64,9.59,9.635,63248,9.635,9.58872854439327,9.728651979032966,-0.1399234346396962,-0.13947761548571683
GFI,2021-02-10,9.86,9.875,9.8,9.8032,134216,9.8032,9.580315552464771,9.736144137355604,-0.1558285848908305,-0.13936616069722196
GFI,2021-02-09,9.5,9.5,9.435,9.44,53156,9.44,9.539791107458369,9.730779668344052,-0.1909885608856854,-0.13525055464881938
GFI,2021-02-08,9.59,9.63,9.5224,9.6268,51547,9.6268,9.557934945178069,9.754042041811577,-0.1961070966335079,-0.1213160530896033
GFI,2021-02-05,9.14,9.16,9.14,9.16,24596,9.16,9.545414026119534,9.764221405156505,-0.2188073790369689,-0.10261829220362714
GFI,2021-02-04,8.9,8.9,8.7799,8.78,135965,8.78,9.615489303595814,9.812559117569023,-0.1970698139732096,-0.07357102049529125
GFI,2021-02-03,9.2,9.24,9.18,9.22,42262,9.22,9.767396449704144,9.895163846974546,-0.1277673972704018,-0.04269632212581165
GFI,2021-02-02,9.36,9.36,9.25,9.3,97048,9.3,9.866923076923078,9.94917695473251,-0.0822538778094319,-0.02142855333966409
GFI,2021-02-01,9.61,9.66,9.6,9.64,127722,9.64,9.97,10.001111111111111,-0.0311111111111106,-0.006222222222222129
GFI,2021-01-29,10.02,10.04,9.98,10.03,198926,10.03,10.03,10.03,0.0,0.0
