Symbol,Date,Open,High,Low,Close,Volume,ICAGY SMA,ICAGY spanTwelveEMA,ICAGY spanTwntySixEMA,ICAGY_x,ICAGY_y
ICAGY,2020-10-21,2.75,2.75,2.68,2.74,139773,2.74,3.02300837686269,3.6900327481749,-0.6670243713122104,-0.6359891103506982
ICAGY,2020-10-20,2.75,2.84,2.74,2.82,352290,2.8200000000000003,3.074464445383178,3.766035368028892,-0.6915709226457136,-0.6282302951103202
ICAGY,2020-10-19,2.55,2.57,2.53,2.5599,185263,2.5599000000000003,3.1207307081801203,3.841718197471204,-0.7209874892910837,-0.612395138226472
ICAGY,2020-10-16,2.5,2.52,2.48,2.51,452016,2.5100000000000007,3.222699927849233,3.9442636532688997,-0.7215637254196667,-0.585247050460319
ICAGY,2020-10-15,2.54,2.54,2.5,2.51,200733,2.5100000000000007,3.35228173291273,4.059004745530412,-0.7067230126176822,-0.551167881720482
ICAGY,2020-10-14,2.62,2.63,2.59,2.62,177836,2.620000000000001,3.50542386616959,4.182925125172845,-0.6775012590032556,-0.512279098996182
ICAGY,2020-10-13,2.62,2.62,2.57,2.59,494718,2.5900000000000007,3.6664100236549695,4.307959135186674,-0.6415491115317042,-0.47097355899441345
ICAGY,2020-10-12,2.8,2.8,2.7,2.72,357456,2.7200000000000006,3.862120937046782,4.445395866001609,-0.5832749289548258,-0.4283296708600907
ICAGY,2020-10-09,2.85,2.86,2.74,2.76,1509770,2.76,4.069779289237107,4.5834275352817375,-0.5136482460446308,-0.3895933563364067
ICAGY,2020-10-08,3.69,3.75,3.5,3.62,450225,3.620000000000001,4.307920978189308,4.729301738104277,-0.4213807599149684,-0.35857963390935066
ICAGY,2020-10-07,4.25,4.25,4.05,4.16,20863,4.160000000000001,4.432997519678273,4.818045877152618,-0.3850483574743446,-0.3428793524079462
ICAGY,2020-10-06,4.25,4.32,4.1802,4.24,35075,4.240000000000002,4.4826334323470505,4.870689547324828,-0.3880561149777764,-0.33233710114134657
ICAGY,2020-10-05,4.14,4.56,4.075,4.37,69688,4.370000000000003,4.526748601864696,4.921144711110814,-0.3943961092461175,-0.3184073476822389
ICAGY,2020-10-02,4.09,4.35,3.8,4.01,51487,4.0100000000000025,4.555248347658278,4.965236287999679,-0.4099879403414013,-0.29941015729126924
ICAGY,2020-10-01,4.2,4.24,3.96,4.08,50824,4.0800000000000045,4.654384410868874,5.041655191039653,-0.3872707801707795,-0.2717657115287362
ICAGY,2020-09-30,3.99,4.1,3.2,4.0,182450,4.000000000000004,4.758817940117759,5.118587606322826,-0.35976966620506623,-0.2428894443682256
ICAGY,2020-09-29,4.45,4.54,4.26,4.34,19996,4.340000000000003,4.89678483832099,5.208074614828652,-0.3112897765076621,-0.21366938890901518
ICAGY,2020-09-28,4.3,4.4,4.225,4.27,55962,4.270000000000003,4.9980184452884435,5.277520584014943,-0.2795021387265013,-0.18926429200935344
ICAGY,2020-09-25,4.68,4.68,4.35,4.5585,21469,4.558500000000004,5.130385435340886,5.3581222307361385,-0.22773679539525205,-0.1667048303300669
ICAGY,2020-09-24,4.67,4.8,4.0,4.8,120263,4.8000000000000025,5.234364605402866,5.422092009195031,-0.1877274037921648,-0.1514468390637706
ICAGY,2020-09-23,5.06,5.11,5.0,5.04,57456,5.0400000000000045,5.313339988203387,5.471859369930633,-0.15851938172724722,-0.14237669788167204
ICAGY,2020-09-22,5.6,5.6,5.0,5.38,68005,5.3800000000000034,5.363038167876731,5.5064081195250845,-0.14336995164835553,-0.13834102692027847
ICAGY,2020-09-21,4.5,5.25,4.5,5.19,27247,5.190000000000004,5.359954198399771,5.5165207690870925,-0.15656657068732116,-0.13708379573825963
ICAGY,2020-09-18,4.92,5.41,4.5,5.2396,46981,5.239600000000004,5.390854961745183,5.54264243061406,-0.15178746886887584,-0.13221310200099423
ICAGY,2020-09-17,5.37,5.46,5.35,5.375,22453,5.375000000000003,5.418355863880673,5.566885825063184,-0.14852996118251305,-0.12731951028402358
ICAGY,2020-09-16,5.35,5.42,5.35,5.375,62672,5.3750000000000036,5.426238748222612,5.582236691068241,-0.1559979428456275,-0.12201689755940165
ICAGY,2020-09-15,5.28,5.38,5.2,5.38,20076,5.380000000000003,5.4355548842630865,5.598815626353701,-0.16326074209061225,-0.11352163623784496
ICAGY,2020-09-14,5.33,5.42,5.18,5.35,20482,5.350000000000001,5.445655772310921,5.616320876461995,-0.17066510415107494,-0.10108685977465269
ICAGY,2020-09-11,4.98,4.98,4.9,4.9,21596,4.900000000000004,5.463047730912908,5.637626546578956,-0.17457881566604794,-0.08369229868054734
ICAGY,2020-09-10,5.2,5.34,5.19,5.31,16225,5.310000000000004,5.565420045624347,5.696636670305272,-0.13121662468092588,-0.060970669434172176
ICAGY,2020-09-09,5.28,5.28,5.17,5.18,10328,5.180000000000004,5.611860053919681,5.7275676039296926,-0.1157075500100122,-0.043409180622483744
ICAGY,2020-09-08,5.24,5.32,5.21,5.32,33150,5.320000000000004,5.69038006372326,5.7713730122440685,-0.08099294852080874,-0.02533458827560185
ICAGY,2020-09-08,5.24,5.32,5.21,5.32,33150,5.320000000000004,5.757721893491125,5.807482853223593,-0.049760959732469516,-0.011419998214300123
ICAGY,2020-09-04,5.79,5.83,5.74,5.74,32200,5.740000000000004,5.837307692307693,5.846481481481483,-0.009173789173789082,-0.001834757834757994
ICAGY,2020-09-03,5.81,5.86,5.81,5.855,54574,5.855000000000004,5.855,5.855,0.0,0.0
