Symbol,Date,Open,High,Low,Close,Volume,YPF SMA,YPF spanTwelveEMA,YPF spanTwntySixEMA,YPF_x,YPF_y
YPF,2020-10-21,3.45,3.53,3.355,3.385,167397,3.385,3.6671654582636015,3.946754391338276,-0.2795889330746739,-0.3199889752957159
YPF,2020-10-20,3.63,3.6801,3.6298,3.64,102404,3.640000000000001,3.718468268856985,3.9916947426453375,-0.27322647378835363,-0.33008898585097624
YPF,2020-10-19,3.58,3.71,3.58,3.695,84526,3.6950000000000007,3.732735226830982,4.019830322056967,-0.2870950952259839,-0.3443046138666321
YPF,2020-10-16,3.63,3.63,3.5,3.548,60996,3.5480000000000005,3.739596177163888,4.045816747821523,-0.3062205706576355,-0.35860699352679387
YPF,2020-10-15,3.65,3.74,3.61,3.61,54335,3.61,3.77443184573914,4.085642087647245,-0.3112102419081051,-0.3717035992440835
YPF,2020-10-14,3.76,3.87,3.7,3.835,57034,3.835,3.804328544964438,4.1236934546590245,-0.3193649096945865,-0.38682693857807815
YPF,2020-10-13,3.75,3.77,3.69,3.74,54592,3.740000000000001,3.7987519167761534,4.146788931031747,-0.3480370142555933,-0.403692445798951
YPF,2020-10-12,3.9,3.9,3.7499,3.77,47245,3.770000000000002,3.809434083462727,4.179332045514286,-0.3698979620515592,-0.41760630368479046
YPF,2020-10-09,3.89,3.89,3.77,3.8,62874,3.800000000000001,3.816603916819586,4.212078609155429,-0.3954746923358429,-0.4295333890930983
YPF,2020-10-08,3.66,3.7,3.63,3.69,17053,3.6900000000000013,3.819622810786784,4.245044897887864,-0.4254220871010799,-0.4380480632824121
YPF,2020-10-07,3.59,3.65,3.54,3.58,94892,3.5800000000000014,3.8431905945661984,4.289448489718893,-0.4462578951526943,-0.4412045573277451
YPF,2020-10-06,3.79,3.845,3.75,3.78,118170,3.780000000000001,3.8910434299418712,4.346204368896404,-0.45516093895453297,-0.43994122287150766
YPF,2020-10-05,3.67,3.71,3.615,3.62,42682,3.6200000000000014,3.911233144476757,4.391500718408117,-0.4802675739313598,-0.4361362938507513
YPF,2020-10-02,3.58,3.625,3.555,3.61,35516,3.610000000000001,3.964184625290713,4.453220775880767,-0.4890361505900533,-0.4251034738305992
YPF,2020-10-01,3.56,3.62,3.545,3.58,50512,3.5800000000000014,4.028581829889024,4.520678437951227,-0.4920966080622025,-0.40912030464073557
YPF,2020-09-30,3.63,3.725,3.58,3.725,68140,3.7250000000000014,4.1101421625961185,4.5959327129873255,-0.4857905503912052,-0.3883762287853688
YPF,2020-09-29,3.75,3.75,3.61,3.62,130035,3.6200000000000014,4.180168010340869,4.665607330026312,-0.4854393196854421,-0.3640226483839092
YPF,2020-09-28,3.69,3.84,3.69,3.77,111501,3.770000000000002,4.282016739493754,4.749255916428416,-0.4672391769346618,-0.3336684805585257
YPF,2020-09-25,3.78,3.84,3.71,3.73,72673,3.7300000000000018,4.375110692128981,4.8275963897426895,-0.4524856976137084,-0.3002758064644917
YPF,2020-09-24,3.66,3.66,3.47,3.59,179167,3.5900000000000016,4.4924035452433415,4.915404100922105,-0.4230005556787635,-0.26222333367718753
YPF,2020-09-23,3.89,4.0,3.85,3.9,182156,3.9000000000000017,4.656476917105767,5.021436428995874,-0.364959511890107,-0.22202902817679354
YPF,2020-09-22,4.16,4.18,3.99,4.061,91715,4.061000000000002,4.794018174761361,5.111151343315544,-0.3171331685541832,-0.1862964072484652
YPF,2020-09-21,4.38,4.38,4.22,4.28,96693,4.280000000000001,4.927294206536153,5.195163450780788,-0.26786924424463354,-0.1535872169220357
YPF,2020-09-18,4.55,4.55,4.41,4.43,53156,4.4300000000000015,5.044984062270001,5.268376526843251,-0.22339246457324968,-0.125016710091386
YPF,2020-09-17,4.77,4.7909,4.63,4.698,134083,4.698,5.156799346319093,5.33544664899071,-0.17864730267161733,-0.10042277147092009
YPF,2020-09-16,4.9,4.92,4.805,4.8351,153095,4.8351000000000015,5.240217409286201,5.386442380909966,-0.14622497162376644,-0.08086663867074578
YPF,2020-09-15,5.05,5.13,4.93,4.96,104056,4.960000000000002,5.31387512006551,5.430549771382765,-0.11667465131725495,-0.06452705543249082
YPF,2020-09-14,5.19,5.19,5.07,5.14,51402,5.1400000000000015,5.378216050986512,5.468193753093387,-0.08997770210687506,-0.05149015646129977
YPF,2020-09-11,5.22,5.29,5.17,5.26,67967,5.2600000000000025,5.4215280602567875,5.494449253340857,-0.07292119308407052,-0.04186827004990594
YPF,2020-09-10,5.41,5.4899,5.32,5.335,61217,5.335000000000003,5.450896798485293,5.513205193608125,-0.06230839512283293,-0.03410503929136501
YPF,2020-09-09,5.51,5.53,5.47,5.475,39643,5.475000000000002,5.4719689436644385,5.527461609096776,-0.05549266543233866,-0.027054200333498254
YPF,2020-09-08,5.31,5.32,5.18,5.22,60923,5.2200000000000015,5.471417842512517,5.531658537824518,-0.060240695312001165,-0.01994458405878837
YPF,2020-09-08,5.31,5.32,5.18,5.22,60923,5.2200000000000015,5.517130177514793,5.556591220850481,-0.03946104333568723,-0.009870556245485176
YPF,2020-09-04,5.55,5.61,5.44,5.44,44151,5.440000000000002,5.571153846153847,5.583518518518519,-0.012364672364672202,-0.0024729344729344407
YPF,2020-09-03,5.52,5.61,5.43,5.595,81376,5.5950000000000015,5.595,5.595,0.0,0.0
