Symbol,Date,Open,High,Low,Close,Volume,IDEX SMA,IDEX spanTwelveEMA,IDEX spanTwntySixEMA,IDEX_x,IDEX_y
IDEX,2020-07-20,1.35,1.35,1.3,1.31,1563061,1.31,1.31,1.31,0.0,0.0
IDEX,2020-07-17,1.3,1.31,1.27,1.275,1062908,1.275,1.3046153846153845,1.3074074074074074,-0.002792022792022841,-0.0005584045584045682
IDEX,2020-07-16,1.27,1.29,1.23,1.265,961154,1.265,1.2985207100591716,1.3042661179698216,-0.0057454079106500355,-0.0015958052288536618
IDEX,2020-07-15,1.25,1.35,1.23,1.2901,2849809,1.2901000000000005,1.2972252162039144,1.3032167758979831,-0.0059915596940687274,-0.002474956121896675
IDEX,2020-07-14,1.28,1.28,1.22,1.23,2165158,1.2300000000000002,1.2868828752494659,1.2977933110166509,-0.010910435767184978,-0.004162052050954336
IDEX,2020-07-13,1.36,1.39,1.32,1.35,2740127,1.35,1.2965932021341635,1.301660473163566,-0.005067271029402409,-0.004343095846643951
IDEX,2020-07-10,1.38,1.39,1.32,1.37,2468057,1.37,1.3078865556519843,1.3067226603366349,0.0011638953153494393,-0.0032416976142452735
IDEX,2020-07-09,1.5,1.56,1.43,1.56,5326628,1.56,1.3466732393978331,1.3254839447561435,0.021189294641689397,0.0016445008369416602
IDEX,2020-07-08,1.27,1.28,1.22,1.24,2562437,1.2399999999999998,1.3302619717981663,1.319151800700133,0.011110171098033472,0.003537634889160023
IDEX,2020-07-07,1.345,1.37,1.27,1.285,3998227,1.2849999999999997,1.3232985915215254,1.3166220376853084,0.006676553836217014,0.004165418678571421
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4658999999999998,1.3452372697489827,1.3276796645234337,0.017557605225549278,0.006843855987966992
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4659,1.363800766710678,1.3379182078920682,0.02588255881860979,0.010651596554095553
IDEX,2020-07-02,1.67,1.69,1.56,1.615,7404630,1.6149999999999998,1.402446802601343,1.3584427850852483,0.04400401751609473,0.01732208074649539
IDEX,2020-07-01,1.75,1.89,1.61,1.7002,10736529,1.7002,1.448254986816521,1.3837581343381928,0.06449685247832826,0.026757035092861967
IDEX,2020-06-30,2.18,2.48,2.07,2.315,22286430,2.3150000000000004,1.5816003734601334,1.4527390132761044,0.12886136018402894,0.047177900111095364
IDEX,2020-06-29,1.78,1.99,1.65,1.84,19683930,1.8400000000000003,1.6213541621585743,1.4814250122926893,0.139929149865885,0.06572815006205329
IDEX,2020-06-26,1.95,2.0,1.58,1.715,22390269,1.7150000000000003,1.6357612141341782,1.4987268632339716,0.13703435090020655,0.07998939022968395
IDEX,2020-06-25,2.95,2.95,2.62,2.75,13855529,2.7500000000000013,1.8071825658058431,1.5914137622536777,0.21576880355216568,0.1071452728941803
IDEX,2020-06-24,2.8,2.83,2.56,2.6401,10304583,2.6401000000000003,1.935323709528021,1.6690942243089606,0.2662294852190605,0.13896211535915634
IDEX,2020-06-23,3.07,3.24,2.85,2.9801,20903444,2.9801000000000006,2.096058523446787,1.7662057632490376,0.32985276019774945,0.17714024432687497
IDEX,2020-06-22,2.81,3.2,2.6,3.14,34451834,3.140000000000001,2.2566649044549743,1.8679682993046645,0.38869660515030935,0.21945151649156186
IDEX,2020-06-19,2.27,2.27,2.05,2.1,9928597,2.1,2.232562611461901,1.885155832689504,0.3474067787723967,0.24504256894772883
IDEX,2020-06-18,2.16,2.56,2.13,2.39,29294093,2.39,2.25678374816007,1.922551696934726,0.33423205122534383,0.26288046540325183
IDEX,2020-06-17,1.25,1.27,1.19,1.2201,2807555,1.2201,2.0972939407508284,1.8705182379025243,0.2267757028483044,0.25565951289226235
IDEX,2020-06-16,1.17,1.18,1.12,1.145,2578705,1.145,1.9507871806353163,1.8167761462060408,0.13401103442927553,0.231329817199665
IDEX,2020-06-15,1.15,1.16,1.08,1.1,3039287,1.1,1.8198968451529598,1.7636816168574452,0.05621522829551484,0.19630689941883497
IDEX,2020-06-12,1.19,1.19,1.1,1.1462,3021849,1.1462,1.7162511766678892,1.7179422378309677,-0.0016910611630784886,0.15670730730245228
IDEX,2020-06-11,1.1,1.15,1.06,1.11,4338824,1.1099999999999997,1.6229817648728293,1.6729094794731183,-0.049927714600289,0.11538030292190404
IDEX,2020-06-10,1.15,1.17,1.06,1.13,7769219,1.1299999999999992,1.5471384164308557,1.6326939624751096,-0.08555554604425407,0.07519313312867243
IDEX,2020-06-09,1.02,1.1,0.8413,0.88771,13106741,0.8877099999999993,1.4456878908261084,1.5775099652547309,-0.1318220744286227,0.0337900916172134
IDEX,2020-06-08,0.6646,0.7595,0.63,0.68,6278490,0.6799999999999995,1.3278897537759378,1.5110277456062324,-0.18313799183029467,-0.009595525072288218
