Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA,EVOK spanTwelveEMA,EVOK spanTwntySixEMA,EVOK_x,EVOK_y
EVOK,2020-07-20,3.85,3.9,3.77,3.8,46654,3.8,3.8,3.8,0.0,0.0
EVOK,2020-07-17,3.81,3.88,3.75,3.7595,72568,3.7595,3.793769230769231,3.797,-0.0032307692307691482,-0.0006461538461538297
EVOK,2020-07-16,3.5,3.63,3.5,3.61,52266,3.61,3.7654970414201183,3.783148148148148,-0.017651106728029387,-0.0040471444225289414
EVOK,2020-07-15,3.67,3.73,3.6,3.6773,140675,3.6773,3.751928265817023,3.775307544581618,-0.023379278764595224,-0.007913571290942199
EVOK,2020-07-14,3.4,3.4399,3.34,3.34,89402,3.3400000000000007,3.6885546864605576,3.7430625412792766,-0.05450785481871856,-0.017232427996497473
EVOK,2020-07-13,3.47,3.53,3.42,3.4302,101558,3.430200000000001,3.6488078116204714,3.7198875382215517,-0.0710797266010803,-0.02800188771741404
EVOK,2020-07-10,3.56,3.5646,3.46,3.472,96505,3.4720000000000004,3.621606609832707,3.7015254983532886,-0.07991888852058215,-0.038385287878047666
EVOK,2020-07-09,3.62,3.66,3.59,3.6573,40690,3.6573000000000007,3.6270979006276742,3.698249535512304,-0.07115163488462972,-0.04493855727936408
EVOK,2020-07-08,3.61,3.6409,3.52,3.6409,84625,3.6409,3.629221300531109,3.694001421770652,-0.06478012123954269,-0.0489068700713998
EVOK,2020-07-07,3.59,3.59,3.46,3.51,60078,3.51,3.6108795619878618,3.6803716868246776,-0.06949212483681587,-0.05302392102448302
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.69,3.6230519370666516,3.681084895208035,-0.05803295814138298,-0.05402572844786302
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.690000000000001,3.633351639056398,3.681745273340773,-0.0483936342843756,-0.052899309615165535
EVOK,2020-07-02,3.59,3.705,3.5582,3.7,176642,3.7000000000000006,3.6436052330477215,3.6830974753155314,-0.03949224226780945,-0.05021789614569432
EVOK,2020-07-01,3.59,3.5929,3.4,3.4489,114213,3.4489000000000014,3.6136505818096105,3.665749514181047,-0.05209893237143648,-0.050594103390842755
EVOK,2020-06-30,3.3942,3.52,3.3942,3.46,96451,3.4600000000000013,3.590012030761978,3.6505088094268947,-0.0604967786649171,-0.05257463844565763
EVOK,2020-06-29,3.58,3.66,3.38,3.43,133468,3.4300000000000006,3.565394795260135,3.6341748235434217,-0.06878002828328666,-0.05581571641318344
EVOK,2020-06-26,3.72,3.73,3.51,3.5999,239068,3.5999000000000003,3.5707032882970373,3.6316359477253903,-0.06093265942835303,-0.05683910501621736
EVOK,2020-06-25,3.46,3.61,3.41,3.5839999999999996,262504,3.5839999999999996,3.5727489362513394,3.628107359004991,-0.05535842275365166,-0.05654296856370423
EVOK,2020-06-24,3.43,3.5511,3.41,3.4399,384569,3.4399,3.5523106383665177,3.6141660731527696,-0.06185543478625189,-0.05760546180821376
EVOK,2020-06-23,3.62,3.76,3.42,3.56,1717413,3.56,3.553493617079361,3.6101537714377496,-0.05666015435838868,-0.05741640031824875
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1999,3.6529407529133056,3.653838677257176,-0.0008979243438700379,-0.04611270512337301
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.339999999999999,3.45094986784972,3.5565172937566443,-0.10556742590692414,-0.05800364928008324
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.3999999999999986,3.289265272795917,3.470849346070967,-0.18158407327505,-0.0827197340790766
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.4300999999999977,3.1570860000580843,3.393756801917561,-0.23667080185947764,-0.1135099476351568
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.701099999999998,3.086934307741456,3.3424488906644085,-0.2555145829229528,-0.14191087469271602
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5979999999999985,3.0117136450120015,3.287304528392971,-0.27559088338096993,-0.1686468764303668
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4200999999999984,2.9206961611640008,3.2230671559194173,-0.3023709947554165,-0.19539170009537674
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.3499999999999983,2.8328967517541543,3.158395514740201,-0.32549876298604685,-0.22141311267351077
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5598999999999985,2.790897251484284,3.114062513648334,-0.3231652621640504,-0.2417635425716187
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5599999999999987,2.7553745974097796,3.0730208459706803,-0.3176462485609011,-0.2569400837694752
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5849999999999977,2.7291631208851976,3.036871153676556,-0.30770803279135794,-0.2670936735738517
