Symbol,Date,Open,High,Low,Close,Volume,APM SMA,APM spanTwelveEMA,APM spanTwntySixEMA,APM_x,APM_y
APM,2020-09-23,1.58,1.72,1.58,1.63,76860,1.63,1.741832554135753,2.078906161327319,-0.33707360719156565,-0.40353715664727396
APM,2020-09-22,1.63,1.75,1.63,1.72,10250,1.7199999999999998,1.7621657457967994,2.1148186542335043,-0.3526529084367049,-0.42015304401120096
APM,2020-09-21,1.7,1.7899,1.57,1.7899,15061,1.7899,1.7698322450325812,2.146404146572185,-0.3765719015396041,-0.43702807790482495
APM,2020-09-18,1.67,1.72,1.66,1.67,6928,1.6700000000000002,1.7661835623112319,2.17492447829796,-0.4087409159867277,-0.45214212199613024
APM,2020-09-17,1.65,1.74,1.65,1.74,14800,1.7400000000000002,1.7836714827314564,2.2153184365617964,-0.4316469538303401,-0.4629924234984807
APM,2020-09-16,1.6,1.62,1.57,1.62,13475,1.6200000000000003,1.7916117523189938,2.25334391148674,-0.4617321591677461,-0.4708287909155158
APM,2020-09-15,1.63,1.63,1.56,1.56,19158,1.5600000000000005,1.8228138891042656,2.304011424405679,-0.4811975353014135,-0.4731029488524582
APM,2020-09-14,1.7,1.7,1.55,1.55,51099,1.5500000000000005,1.8705982325777684,2.3635323383581337,-0.4929341057803653,-0.47107930224021927
APM,2020-09-11,1.83,1.83,1.68,1.76,22089,1.7600000000000005,1.9288888203191807,2.4286149254267846,-0.4997261051076039,-0.4656156013551827
APM,2020-09-10,1.55,1.67,1.5398,1.65,25914,1.65,1.959595878559032,2.4821041194609266,-0.5225082409018953,-0.4570879754170774
APM,2020-09-09,1.61,1.61,1.54,1.54,15572,1.5400000000000005,2.0158860382970376,2.5486724490178005,-0.5327864107207634,-0.44073290904587303
APM,2020-09-08,1.51,1.6101,1.51,1.6101,5578,1.6101000000000003,2.102410772532863,2.629366244939225,-0.5269554724063621,-0.4177195336271505
APM,2020-09-08,1.51,1.6101,1.51,1.6101,5578,1.6101000000000003,2.1919218220842924,2.7109075445343627,-0.5189857224500702,-0.3904105489323475
APM,2020-09-04,1.65,1.6867,1.53,1.55,74610,1.5500000000000007,2.2977076079178,2.7989721480971115,-0.5012645401793114,-0.3582667555529168
APM,2020-09-03,1.67,1.73,1.67,1.7269999999999999,27218,1.7270000000000003,2.4336544457210363,2.8988899199448803,-0.465235474223844,-0.3225173093963181
APM,2020-09-02,1.93,1.96,1.76,1.76,75292,1.760000000000001,2.5621370722157697,2.9926411135404707,-0.43050404132470055,-0.2868377681894366
APM,2020-09-01,2.28,2.56,2.09,2.13,1106967,2.130000000000001,2.707980176255001,3.091252402623708,-0.3832722263687072,-0.2509211999056205
APM,2020-08-31,2.12,2.15,2.0205,2.08,18995,2.080000000000001,2.8130674810286376,3.1681525948336047,-0.3550851138049671,-0.21783344328984883
APM,2020-08-28,2.2324,2.2324,2.15,2.17,41140,2.170000000000001,2.9463524775792997,3.2552048024202933,-0.30885232484099395,-0.18352052566106924
APM,2020-08-27,2.92,2.92,2.26,2.3,58054,2.3000000000000007,3.087507473502808,3.3420211866139167,-0.2545137131111086,-0.15218757586608817
APM,2020-08-26,2.98,2.989,2.88,2.97,13375,2.970000000000001,3.2306906505033184,3.4253828815430296,-0.19469223103971167,-0.12660604155483307
APM,2020-08-25,2.79,2.87,2.78,2.85,5294,2.850000000000002,3.2780889505948307,3.4618135120664717,-0.1837245614716414,-0.10958449418361355
APM,2020-08-24,2.89,2.97,2.89,2.9,2914,2.9000000000000017,3.3559233052484365,3.5107585930317904,-0.15483528778335387,-0.09104947736160669
APM,2020-08-21,3.2,3.2421,3.18,3.18,2950,3.180000000000002,3.438818451657242,3.559619280474333,-0.12080082881709052,-0.0751030247561699
APM,2020-08-20,3.29,3.29,3.22,3.25,9550,3.2500000000000013,3.4858763519585594,3.58998882291228,-0.10411247095372067,-0.06367857374093962
APM,2020-08-19,3.31,3.37,3.31,3.32,3734,3.320000000000001,3.5287629614055698,3.6171879287452624,-0.08842496733969217,-0.05357009943774435
APM,2020-08-18,3.3,3.5,3.28,3.48,4702,3.4800000000000013,3.5667198634793107,3.640962963044883,-0.07424309956557272,-0.04485638246225728
APM,2020-08-17,3.33,3.425,3.33,3.35,5609,3.350000000000001,3.58248711138464,3.6538400000884734,-0.07135288870383416,-0.037509703186428524
APM,2020-08-14,3.5,3.56,3.475,3.5,13820,3.5000000000000013,3.624757495272757,3.6781472000955526,-0.05338970482279581,-0.029048906807077335
APM,2020-08-13,3.43,3.5498,3.43,3.52,4417,3.5200000000000014,3.6474406762314397,3.692398976103197,-0.044958299871757035,-0.022963707303147715
APM,2020-08-12,3.58,3.62,3.57,3.62,3436,3.6200000000000014,3.67061170827352,3.7061908941914528,-0.03557918591793285,-0.017465059160995382
APM,2020-08-11,3.68,3.68,3.6,3.6,2300,3.6000000000000014,3.6798138370505233,3.713086165726769,-0.033272328676245966,-0.012936527471761012
APM,2020-08-10,3.7,3.7,3.54,3.54,4747,3.5400000000000014,3.6943254437869824,3.7221330589849106,-0.027807615197928737,-0.007852577170639884
APM,2020-08-07,3.6,3.63,3.55,3.5705,11700,3.570500000000002,3.722384615384615,3.736703703703704,-0.01431908831908846,-0.0028638176638177805
APM,2020-08-06,3.64,3.75,3.6,3.75,3600,3.7500000000000018,3.75,3.75,0.0,0.0
