Symbol,Date,Open,High,Low,Close,Volume,LIVX SMA,LIVX spanTwelveEMA,LIVX spanTwntySixEMA,LIVX_x,LIVX_y
LIVX,2020-09-25,2.66,2.6653,2.56,2.605,44125,2.605,2.658288152349465,2.693015916430529,-0.034727764081063935,-0.05229017748362747
LIVX,2020-09-24,2.59,2.61,2.45,2.5499,59218,2.5499,2.667976907322095,2.7000571897449714,-0.03208028242287675,-0.05668078083426824
LIVX,2020-09-23,2.85,2.85,2.7219,2.7219,63694,2.7219,2.6894454359261126,2.712069764924569,-0.0226243289984569,-0.06283090543711621
LIVX,2020-09-22,2.7738,2.8149,2.6789,2.7389,62271,2.7389,2.6835446060944967,2.7112833461185355,-0.02773874002403831,-0.07288254954678114
LIVX,2020-09-21,2.92,3.015,2.81,2.835,185546,2.835,2.673479989020769,2.709074013808018,-0.035594024787248824,-0.08416850192746672
LIVX,2020-09-18,2.87,2.89,2.75,2.85,137770,2.8500000000000005,2.6441127142972727,2.6989999349126594,-0.05488722061538676,-0.09631212121252118
LIVX,2020-09-17,2.72,2.73,2.62,2.68,52652,2.680000000000001,2.606678662351322,2.6869199297056716,-0.08024126735435022,-0.10666834636180478
LIVX,2020-09-16,2.7,2.7002,2.5253,2.59,144443,2.5900000000000007,2.5933475100515624,2.687473524082126,-0.09412601403056353,-0.11327511611366853
LIVX,2020-09-15,2.68,2.7203,2.6297,2.64,58735,2.640000000000001,2.5939561482427558,2.695271406008696,-0.10131525776594064,-0.11806239163444478
LIVX,2020-09-14,2.6,2.63,2.47,2.63,101144,2.630000000000001,2.5855845388323466,2.6996931184893915,-0.11410857965704445,-0.12224917510157092
LIVX,2020-09-11,2.56,2.61,2.54,2.56,28090,2.5600000000000014,2.5775090004382286,2.705268567968542,-0.12775956753031406,-0.12428432396270242
LIVX,2020-09-10,2.59,2.635,2.5647,2.5989999999999998,44032,2.5990000000000006,2.5806924550633608,2.7168900534060256,-0.13619759834266487,-0.12341551307079962
LIVX,2020-09-09,2.5,2.5698,2.46,2.515,65127,2.515000000000001,2.5773638105294268,2.7263212576785083,-0.1489574471490811,-0.12021999175283331
LIVX,2020-09-08,2.38,2.43,2.24,2.4095,108904,2.409500000000001,2.588702685171141,2.743226958292789,-0.15452427312164785,-0.11303562790377124
LIVX,2020-09-08,2.38,2.43,2.24,2.4095,108904,2.409500000000001,2.6212849915658945,2.7699251149562123,-0.14864012339031785,-0.10266346659930208
LIVX,2020-09-04,2.4,2.4,2.261,2.27,76108,2.270000000000001,2.6597913536687843,2.798759124152709,-0.13896777048392514,-0.09116930240154814
LIVX,2020-09-03,2.55,2.56,2.41,2.4775,111926,2.4775000000000005,2.7306625088812906,2.8410598540849263,-0.11039734520363577,-0.07921968538095399
LIVX,2020-09-02,2.72,2.72,2.56,2.575,78107,2.575,2.776692055950616,2.8701446424117205,-0.09345258646110466,-0.07142527042528354
LIVX,2020-09-01,2.73,2.77,2.6691,2.68,102263,2.6800000000000006,2.813363338850728,2.893756213804658,-0.08039287495393,-0.06591844141632826
LIVX,2020-08-31,2.78,2.83,2.76,2.79,30128,2.7900000000000005,2.83761121864177,2.910856710909031,-0.07324549226726118,-0.06229983303192782
LIVX,2020-08-28,2.72,2.79,2.65,2.73,83381,2.7300000000000004,2.8462678038493645,2.9205252477817543,-0.07425744393238931,-0.05956341822309448
LIVX,2020-08-27,2.83,2.8336,2.7,2.755,62009,2.7550000000000003,2.8674074045492493,2.9357672676042936,-0.06835986305504482,-0.05588991179577066
LIVX,2020-08-26,2.94,2.99,2.84,2.87,152495,2.87,2.8878451144672947,2.9502286490126384,-0.06238353454534318,-0.05277242398095222
LIVX,2020-08-25,2.78,2.8,2.7,2.76,100876,2.76,2.891089680734076,2.956646940933649,-0.06555726019957353,-0.050369646339854364
LIVX,2020-08-24,2.85,2.89,2.82,2.835,114630,2.835,2.9149241681402707,2.9723786962083407,-0.05745452806807005,-0.04657274287492468
LIVX,2020-08-21,2.83,2.95,2.8201,2.915,129406,2.915,2.929455835074865,2.9833689919050084,-0.05391315683014275,-0.04385229657663834
LIVX,2020-08-20,2.85,2.93,2.78,2.9078,175940,2.9078,2.9320841687248413,2.9888385112574083,-0.056754342532567385,-0.041337081513262125
LIVX,2020-08-19,2.93,2.99,2.83,2.89,102082,2.890000000000001,2.9364994721293574,2.9953215921580005,-0.05882212002864318,-0.03748276625843591
LIVX,2020-08-18,2.92,3.0,2.89,2.91,106640,2.9100000000000006,2.9449539216074223,3.003747319530641,-0.05879339792321848,-0.032147927815884096
LIVX,2020-08-17,2.83,2.85,2.78,2.845,93835,2.8450000000000006,2.9513091800814992,3.0112471050930916,-0.059937925011592785,-0.0254865602890505
LIVX,2020-08-14,2.71,2.77,2.71,2.74,150721,2.7400000000000007,2.9706381219144986,3.0245468735005394,-0.05390875158604036,-0.01687371910841504
LIVX,2020-08-13,2.78,2.8,2.6344,2.73,160656,2.7300000000000004,3.012572325898953,3.0473106233805827,-0.03473829748162949,-0.007614960989008595
LIVX,2020-08-12,2.93,2.95,2.86,2.915,90217,2.9150000000000005,3.063949112426036,3.0726954732510285,-0.00874636082499336,-0.0008341268658533709
LIVX,2020-08-11,3.15,3.17,3.115,3.1517,39043,3.1517000000000013,3.091030769230769,3.085311111111112,0.005719658119657911,0.0011439316239314045
LIVX,2020-08-10,3.03,3.1,3.02,3.08,77474,3.0800000000000014,3.08,3.08,0.0,0.0
