Symbol,Date,Open,High,Low,Close,Volume,PSIX SMA,PSIX spanTwelveEMA,PSIX spanTwntySixEMA,PSIX_x,PSIX_y
PSIX,2020-09-25,2.91,2.95,2.91,2.95,750,2.95,2.963471624323787,3.1630017403390407,-0.19953011601525408,-0.21850799175202668
PSIX,2020-09-24,2.9,2.9,2.9,2.9,300,2.8999999999999995,2.9659210105644758,3.1800418795661645,-0.21412086900168914,-0.22325246068621993
PSIX,2020-09-23,2.9,2.9,2.9,2.9,350,2.899999999999999,2.9779066488489248,3.2024452299314574,-0.22453858108253225,-0.22553535860735274
PSIX,2020-09-22,2.8,2.85,2.8,2.85,1100,2.8499999999999988,2.9920714940941835,3.2266408483259736,-0.2345693542317901,-0.22578455298855776
PSIX,2020-09-21,2.8,2.8,2.8,2.8,2100,2.7999999999999985,3.017902674838581,3.256772116192052,-0.2388694413534709,-0.22358835267774965
PSIX,2020-09-18,2.83,2.83,2.83,2.83,500,2.8299999999999987,3.0575213429910497,3.2933138854874158,-0.2357925424963665,-0.21976808050881924
PSIX,2020-09-17,3.0,3.0,3.0,3.0,100,2.9999999999999987,3.0988888598985134,3.330378996326409,-0.2314901364278961,-0.2157619650119325
PSIX,2020-09-16,2.9,2.9,2.9,2.9,607,2.8999999999999986,3.1168686526073337,3.3568093160325216,-0.2399406634251884,-0.21182992215794172
PSIX,2020-09-15,2.95,2.95,2.95,2.95,100,2.949999999999999,3.156299316717758,3.393354061315124,-0.23705474459736564,-0.20480223684113014
PSIX,2020-09-14,3.05,3.05,3.05,3.05,100,3.049999999999998,3.1938082833937136,3.4288223862203338,-0.23501410282662016,-0.19673910990207114
PSIX,2020-09-11,3.0,3.0,3.0,3.0,338,2.9999999999999982,3.2199552440107517,3.4591281771179605,-0.23917293310720836,-0.18717036167093387
PSIX,2020-09-10,3.0,3.05,3.0,3.0,300,2.9999999999999982,3.2599471065581618,3.495858431287397,-0.2359113247292353,-0.17416971881186516
PSIX,2020-09-09,3.0,3.0,3.0,3.0,200,2.9999999999999982,3.307210216841464,3.5355271057903885,-0.22831688894892466,-0.15873431733252263
PSIX,2020-09-08,3.02,3.05,3.0,3.0,1890,2.9999999999999982,3.3630666199035484,3.5783692742536197,-0.21530265435007132,-0.1413386744284221
PSIX,2020-09-08,3.02,3.05,3.0,3.0,1890,2.9999999999999982,3.4290787326132834,3.6246388161939085,-0.19556008358062504,-0.12284767944800978
PSIX,2020-09-04,3.01,3.02,3.01,3.01,4820,3.009999999999998,3.5070930476338815,3.674609921489421,-0.16751687385554034,-0.10466957841485594
PSIX,2020-09-03,3.15,3.26,3.15,3.26,400,3.259999999999998,3.5974736017491318,3.7277787152085753,-0.13030511345944262,-0.08895775455468506
PSIX,2020-09-02,3.51,3.51,3.51,3.51,1800,3.509999999999998,3.658832438430792,3.7652010124252606,-0.1063685739944682,-0.07862091482849544
PSIX,2020-09-01,3.58,3.58,3.58,3.58,1393,3.5799999999999983,3.6858928817818457,3.785617093419282,-0.09972421163743617,-0.07168400003700214
PSIX,2020-08-31,3.58,3.58,3.58,3.58,300,3.5799999999999983,3.705146133014909,3.802066460892824,-0.09692032787791582,-0.06467394713689362
PSIX,2020-08-28,3.6,3.6,3.6,3.6,150,3.5999999999999983,3.727899975381256,3.81983177776425,-0.09193180238299448,-0.05661235195163827
PSIX,2020-08-27,3.58,3.58,3.58,3.58,200,3.5799999999999983,3.751154516359666,3.83741831998539,-0.08626380362572393,-0.047782489343799334
PSIX,2020-08-26,3.56,3.56,3.56,3.56,170,3.5599999999999983,3.7822735193341512,3.8580117855842215,-0.0757382662500703,-0.03816216077331807
PSIX,2020-08-25,3.62,3.62,3.62,3.62,250,3.6199999999999983,3.822686886485815,3.881852728430959,-0.05916584194514396,-0.02876813440413001
PSIX,2020-08-24,3.85,3.85,3.85,3.85,500,3.8499999999999983,3.8595390476650535,3.9028009467054363,-0.04326189904038191,-0.02116870751887652
PSIX,2020-08-21,3.75,3.845,3.0,3.73,109266,3.729999999999998,3.861273419967791,3.907025022441871,-0.04575160247407961,-0.015645409638499946
PSIX,2020-08-21,3.75,3.845,3.0,3.73,109266,3.729999999999998,3.8851413145073885,3.921187024237221,-0.036045709729831454,-0.00811886142960492
PSIX,2020-08-19,3.81,3.81,3.8,3.8,1219,3.7999999999999976,3.913348826236005,3.936481986176198,-0.02313315994019272,-0.001137149354548062
PSIX,2020-08-18,3.845,3.89,3.8,3.8,810,3.799999999999998,3.9339577037334608,3.9474005450702943,-0.013442841336833045,0.004361853291863212
PSIX,2020-08-17,3.75,3.75,3.75,3.75,4083,3.7499999999999982,3.958313649866817,3.9591925886759176,-0.0008789388091003937,0.008813026949037387
PSIX,2020-08-14,3.92,3.92,3.9,3.9,4553,3.899999999999999,3.9961888589335115,3.9759279957699913,0.02026086316351972,0.011236018388571831
PSIX,2020-08-13,4.25,4.25,4.25,4.25,100,4.249999999999998,4.013677742375967,3.982002235431591,0.0316755069443766,0.008979807194834748
PSIX,2020-08-12,4.15,4.15,4.0,4.0,500,3.9999999999999982,3.970710059171598,3.9605624142661178,0.010147644905480036,0.0033058822574493973
PSIX,2020-08-11,4.0,4.05,4.0,4.05,1300,4.049999999999997,3.965384615384616,3.9574074074074073,0.007977207977208245,0.001595441595441738
PSIX,2020-08-10,3.95,3.95,3.95,3.95,389,3.9499999999999975,3.95,3.95,0.0,0.0
