Symbol,Date,Open,High,Low,Close,Volume
AEZS,2020-10-01,0.35,0.36,0.3485,0.3529,118730
AEZS,2020-09-30,0.36,0.36,0.3485,0.358,142182
AEZS,2020-09-29,0.35,0.3579,0.342,0.3484,131823
AEZS,2020-09-28,0.3601,0.3601,0.35,0.355399,191150
AEZS,2020-09-25,0.3251,0.3489,0.3251,0.347434,255526
AEZS,2020-09-24,0.344,0.3536,0.3391,0.3418,598664
AEZS,2020-09-23,0.385,0.3995,0.382,0.391201,185415
AEZS,2020-09-22,0.369,0.3997,0.3651,0.383,1232672
AEZS,2020-09-21,0.359,0.365,0.359,0.3615,177243
AEZS,2020-09-18,0.3651,0.3709,0.3651,0.3699,75862
AEZS,2020-09-17,0.365,0.366,0.36,0.3627,645127
AEZS,2020-09-16,0.3672,0.377,0.3551,0.368792,783381
AEZS,2020-09-15,0.386,0.387,0.3712,0.371301,214132
AEZS,2020-09-14,0.3756,0.3769,0.34,0.3521,784966
AEZS,2020-09-11,0.38,0.385,0.38,0.3847,227264
AEZS,2020-09-10,0.39,0.39,0.376,0.38,533558
AEZS,2020-09-09,0.3744,0.3849,0.37,0.3744,275003
AEZS,2020-09-08,0.3799,0.3841,0.3651,0.37441,769813
AEZS,2020-09-08,0.3799,0.3841,0.3651,0.37441,769813
AEZS,2020-09-04,0.4,0.4095,0.396,0.4,741229
AEZS,2020-09-03,0.423,0.4363,0.423,0.427,517120
AEZS,2020-09-02,0.43,0.4398,0.427,0.4282,342051
AEZS,2020-09-01,0.455,0.46,0.4402,0.447099,847639
AEZS,2020-08-31,0.467,0.467,0.4572,0.4649,299541
AEZS,2020-08-28,0.46,0.46,0.4521,0.455,451964
AEZS,2020-08-27,0.49,0.49,0.4815,0.485,469994
AEZS,2020-08-26,0.493,0.4999,0.4819,0.4889,271272
AEZS,2020-08-25,0.462,0.4698,0.46,0.4688,222564
AEZS,2020-08-24,0.4907,0.4907,0.475,0.482,998026
AEZS,2020-08-21,0.5075,0.51,0.493,0.51,276970
AEZS,2020-08-20,0.5169,0.5169,0.496,0.5044,473627
AEZS,2020-08-19,0.5007,0.5075,0.5,0.50175,408433
AEZS,2020-08-18,0.498,0.5095,0.4932,0.494,278229
AEZS,2020-08-17,0.5148,0.53,0.514,0.5213,495764
AEZS,2020-08-14,0.485,0.5,0.4791,0.4996,705467
