Symbol,Date,Open,High,Low,Close,Volume,ACRX SMA,ACRX spanTwelveEMA,ACRX spanTwntySixEMA,ACRX_x,ACRX_y
ACRX,2021-01-05,1.26,1.28,1.25,1.26,130685,1.26,1.2653531568830751,1.3203601343846207,-0.0550069775015456,-0.0592390796894435
ACRX,2021-01-04,1.27,1.27,1.22,1.2554,144710,1.2554,1.2663264581345437,1.3251889451353904,-0.05886248700084695,-0.06029710523641798
ACRX,2021-01-04,1.27,1.27,1.22,1.2554,144710,1.2554,1.2683130868862786,1.3307720607462217,-0.062458973859943034,-0.060655759795310786
ACRX,2020-12-31,1.23,1.24,1.22,1.22,166940,1.22,1.270660920865602,1.3368018256059195,-0.06614090474031742,-0.060204956279152726
ACRX,2020-12-30,1.17,1.22,1.155,1.195,261305,1.195,1.2798719973866208,1.346145971654393,-0.06627397426777226,-0.05872096916386149
ACRX,2020-12-29,1.23,1.23,1.17,1.1865,467852,1.1865,1.295303269638734,1.3582376493867443,-0.06293437974801064,-0.05683271788788379
ACRX,2020-12-28,1.29,1.3,1.2719,1.2954,239593,1.2954,1.315085682300322,1.371976661337684,-0.05689097903736218,-0.055307302422852186
ACRX,2020-12-28,1.29,1.3,1.2719,1.2954,239593,1.2953999999999997,1.3186648972640167,1.3781027942446988,-0.05943789698068214,-0.054911383269224734
ACRX,2020-12-24,1.35,1.36,1.31,1.355,150869,1.354999999999999,1.322894878584747,1.3847190177842748,-0.061824139199527776,-0.05377975484136038
ACRX,2020-12-23,1.24,1.25,1.23,1.23,114896,1.2299999999999989,1.3170575837819738,1.3870965392070167,-0.0700389554250429,-0.05176865875181853
ACRX,2020-12-22,1.26,1.2699,1.22,1.25,251350,1.2499999999999991,1.332886235378696,1.3996642623435778,-0.06677802696488189,-0.04720108458351244
ACRX,2020-12-21,1.26,1.27,1.24,1.25,158690,1.2499999999999991,1.3479564599930045,1.4116374033310644,-0.06368094333805985,-0.04230684898817013
ACRX,2020-12-18,1.29,1.3,1.25,1.2642,338107,1.2641999999999989,1.3657667254462782,1.4245683955975494,-0.058801670151271475,-0.036963325400697696
ACRX,2020-12-17,1.29,1.31,1.26,1.2622,236556,1.2621999999999989,1.3842334028001466,1.4373978672453531,-0.053164464445206734,-0.031503739213054306
ACRX,2020-12-16,1.31,1.3234,1.28,1.285,164568,1.2849999999999988,1.4064212942183552,1.4514136966249818,-0.044992402406626615,-0.026088557905016255
ACRX,2020-12-15,1.28,1.3299,1.28,1.3042,256072,1.3041999999999991,1.428497893167147,1.4647267923549805,-0.03622889918783323,-0.021362596779613663
ACRX,2020-12-14,1.39,1.43,1.38,1.4237,147907,1.423699999999999,1.4510975101066284,1.4775689357433786,-0.0264714256367502,-0.017646021177558716
ACRX,2020-12-11,1.44,1.44,1.42,1.43,44207,1.429999999999999,1.4560788755805607,1.4818784506028486,-0.025799575022287916,-0.015439670062760842
ACRX,2020-12-10,1.32,1.39,1.27,1.3582,719600,1.3581999999999992,1.4608204893224808,1.4860287266510763,-0.02520823732859556,-0.012849693822879073
ACRX,2020-12-09,1.42,1.46,1.42,1.4343,121365,1.4342999999999986,1.4794787601083863,1.4962550247831623,-0.016776264674775998,-0.00976005794644995
ACRX,2020-12-08,1.4656,1.47,1.43,1.45,99725,1.4499999999999988,1.4876930801280932,1.5012114267658156,-0.013518346637722443,-0.008006006264368438
ACRX,2020-12-07,1.51,1.55,1.51,1.52,133537,1.5199999999999991,1.4945463674241102,1.5053083409070809,-0.01076197348297092,-0.006627921171029935
ACRX,2020-12-04,1.46,1.48,1.42,1.45,133820,1.4499999999999988,1.4899184342284937,1.5041330081796471,-0.014214573951153662,-0.005594408093044744
ACRX,2020-12-03,1.46,1.47,1.45,1.45,53726,1.4499999999999986,1.497176331360947,1.508463648834019,-0.0112873174730721,-0.003439366628517569
ACRX,2020-12-02,1.476,1.476,1.4,1.4274,150285,1.4273999999999991,1.5057538461538462,1.513140740740741,-0.007386894586894455,-0.0014773789173789355
ACRX,2020-12-01,1.54,1.54,1.51,1.52,171967,1.5199999999999991,1.52,1.52,0.0,0.0
