Symbol,Date,Open,High,Low,Close,Volume,RAZFF SMA,RAZFF spanTwelveEMA,RAZFF spanTwntySixEMA,RAZFF_x,RAZFF_y
RAZFF,2020-08-28,0.20600000000000002,0.21,0.20199999999999999,0.20199999999999999,29140,0.20199999999999999,0.202,0.202,0.0,0.0
RAZFF,2020-08-27,0.25,0.25,0.2175,0.2175,22500,0.2175,0.20438461538461536,0.20314814814814813,0.0012364672364672258,0.00024729344729344517
RAZFF,2020-08-26,0.2309,0.2417,0.22,0.225,219706,0.225,0.20755621301775146,0.2047668038408779,0.002789409176873564,0.000755716593209469
RAZFF,2020-08-25,0.21,0.21,0.21,0.21,10000,0.21,0.2079321802457897,0.20515444800081287,0.0027777322449768216,0.0011601197235629394
RAZFF,2020-08-24,0.21899999999999997,0.21899999999999997,0.2,0.2,39688,0.20000000000000004,0.2067118448233605,0.2047726370377897,0.0019392077855708008,0.001315937335964512
RAZFF,2020-08-21,0.2045,0.209,0.2045,0.209,1800,0.209,0.20706386869668966,0.20508577503499045,0.0019780936616991818,0.0014483686011114514
RAZFF,2020-08-20,0.2199,0.2199,0.2199,0.2199,2500,0.21990000000000007,0.20903865812796815,0.20618312503239852,0.002855533095569629,0.001729801500003087
RAZFF,2020-08-19,0.19899999999999998,0.205,0.19899999999999998,0.205,3790,0.20500000000000004,0.2084173261082808,0.20609548614110976,0.0023218399671709744,0.0018482091934366757
RAZFF,2020-08-18,0.21,0.21,0.2025,0.2025,489,0.2025000000000001,0.20750696824546835,0.2058291538343609,0.0016778144111074256,0.0018141302369708314
RAZFF,2020-08-17,0.214,0.214,0.21,0.212,31606,0.21200000000000008,0.20819820390001165,0.20628625355033414,0.001911950349677477,0.0018336942595121662
RAZFF,2020-08-14,0.1975,0.21,0.1975,0.21,8500,0.21000000000000005,0.20847540330000985,0.20656134587993905,0.0019140574200708087,0.0018497668916238948
RAZFF,2020-08-13,0.1975,0.20505,0.1975,0.20505,5100,0.20505000000000004,0.20794841817693144,0.2064493943332769,0.0014990238436545509,0.001779618282030026
RAZFF,2020-08-12,0.22,0.22,0.2,0.21,10373,0.21,0.2082640461497112,0.20671240216044154,0.0015516439892696856,0.0017340234234779525
RAZFF,2020-08-11,0.1975,0.22,0.1975,0.22,1060,0.22000000000000008,0.21006957751129413,0.20769666866707548,0.0023729088442186463,0.0018618005076260914
RAZFF,2020-08-10,0.21,0.21,0.205,0.21,146734,0.21000000000000005,0.21005887327878733,0.20786728580284766,0.0021915874759396714,0.0019277579012888075
RAZFF,2020-08-07,0.2392,0.2392,0.21,0.21,74342,0.21000000000000005,0.2100498158512816,0.20802526463226634,0.002024551219015264,0.0019471165648340988
RAZFF,2020-08-06,0.24,0.2422,0.21,0.24,37034,0.2400000000000001,0.214657536489546,0.2103937635483948,0.0042637729411512115,0.002410447840097516
RAZFF,2020-08-05,0.205,0.22,0.205,0.22,1537,0.22000000000000008,0.21547945395269275,0.21110533661888406,0.0043741173338087145,0.00280318173883975
RAZFF,2020-08-04,0.2345,0.2345,0.209,0.2345,6110,0.2345000000000001,0.21840569180612465,0.21283827464711488,0.005567417159009769,0.0033560288228737536
RAZFF,2020-08-03,0.20885,0.21885,0.20885,0.21885,6880,0.21885000000000004,0.2184740469128747,0.21328358763621744,0.005190459276657232,0.003722914913630455
RAZFF,2020-07-31,0.21899999999999997,0.21899999999999997,0.2,0.2,5154,0.20000000000000007,0.21563188584935555,0.21229961818168286,0.0033322676676726948,0.0036447854644389033
RAZFF,2020-07-30,0.19399999999999998,0.215,0.19399999999999998,0.215,8785,0.215,0.2155346726417624,0.21249964646452116,0.0030350261772412452,0.003522833606999372
RAZFF,2020-07-29,0.21,0.21,0.21,0.21,2015,0.21000000000000005,0.2146831845430297,0.2123144874671492,0.002368697075880527,0.003292006300775598
