Symbol,Date,Open,High,Low,Close,Volume,TCDA SMA,TCDA spanTwelveEMA,TCDA spanTwntySixEMA,TCDA_x,TCDA_y
TCDA,2021-03-04,4.6,4.63,4.35,4.365,299189,4.365,5.790438802323839,6.36367163728456,-0.5732328349607219,-0.3112169579269406
TCDA,2021-03-03,5.14,5.21,4.93,4.955,121357,4.955,6.049609493655446,6.523565368267326,-0.4739558746118799,-0.2457129886684955
TCDA,2021-03-02,4.8,5.04,4.79,4.94,212247,4.94,6.248629401592799,6.649050597728711,-0.4004211961359116,-0.18865226718264938
TCDA,2021-03-01,5.23,5.23,4.9199,5.0001,337852,5.0001,6.486562020064218,6.785774645547008,-0.2992126254827898,-0.1357100349443338
TCDA,2021-02-26,5.19,5.59,5.0,5.125,849626,5.125,6.756827841894077,6.9286286171907685,-0.1718007752966919,-0.09483438730971981
TCDA,2021-02-25,7.78,7.78,7.4501,7.49,63179,7.49,7.053523813147545,7.07291890656603,-0.0193950934184847,-0.07559279031297678
TCDA,2021-02-24,7.08,7.3397,7.01,7.3397,121262,7.3397,6.9741645064470985,7.039552419091312,-0.0653879126442138,-0.08964221453659978
TCDA,2021-02-23,7.0,7.04,6.81,6.955,105735,6.955,6.907703507619298,7.015540612618617,-0.1078371049993185,-0.09570579000969626
TCDA,2021-02-22,6.9,6.935,6.829,6.89,30498,6.89,6.899104145368261,7.0203838616281065,-0.1212797162598455,-0.09267296126229067
TCDA,2021-02-19,6.63,6.85,6.5614,6.63,43851,6.63,6.900759444526127,7.030814570558356,-0.1300551260322286,-0.08552127251290194
TCDA,2021-02-18,6.9,6.9,6.73,6.73,25684,6.73,6.949988434439969,7.062879736203024,-0.1128913017630557,-0.07438780913307025
TCDA,2021-02-17,6.8,6.86,6.57,6.63,77898,6.63,6.989986331610872,7.089510115099266,-0.0995237834883937,-0.06476193597557409
TCDA,2021-02-16,6.93,6.935,6.74,6.865,63000,6.865,7.055438391903758,7.126270924307208,-0.0708325324034495,-0.056071474097369164
TCDA,2021-02-16,6.93,6.935,6.74,6.865,63000,6.865,7.090063554068077,7.147172598251784,-0.0571090441837069,-0.05238120952084884
TCDA,2021-02-12,7.06,7.06,6.86,6.86,69074,6.86,7.130984200262274,7.169746406111927,-0.038762205849653,-0.0511992508551343
TCDA,2021-02-11,7.3,7.39,7.21,7.26,81005,7.26,7.180254054855415,7.194526118600881,-0.0142720637454658,-0.05430851210650461
TCDA,2021-02-10,7.31,7.4067,7.28,7.34,37729,7.34,7.165754792101854,7.189288208088952,-0.0235334159870976,-0.06431762419676429
TCDA,2021-02-09,7.38,7.39,7.18,7.3611,130398,7.3611,7.134073845211282,7.177231264736068,-0.0431574195247854,-0.07451367624918093
TCDA,2021-02-08,7.4,7.41,7.19,7.25,64137,7.25,7.092796362522424,7.162521765914953,-0.0697254033925283,-0.08235274043027979
TCDA,2021-02-05,7.29,7.29,7.04,7.11,155938,7.11,7.064213882981046,7.155523507188149,-0.0913096242071027,-0.08550957468971765
TCDA,2021-02-04,6.99,7.38,6.89,7.13,357646,7.13,7.055889134432146,7.159165387763201,-0.1032762533310549,-0.08405956231037136
TCDA,2021-02-03,6.92,7.1,6.9,7.01,79457,7.01,7.042414431601626,7.1614986187842575,-0.1190841871826311,-0.07925538955520045
TCDA,2021-02-02,7.0,7.0,6.75,6.89,58090,6.89,7.048307964620104,7.173618508286998,-0.1253105436668935,-0.06929819014834278
TCDA,2021-02-01,6.8,6.8,6.6,6.7899,55430,6.7899,7.077091230914668,7.196307988949958,-0.1192167580352903,-0.05529510176870508
TCDA,2021-01-29,6.89,6.955,6.79,6.8499,108211,6.8499,7.129307818353698,7.2288206280659555,-0.099512809712257,-0.039314687702058766
TCDA,2021-01-28,6.88,7.03,6.83,6.88,24724,6.88,7.180109239872553,7.259134278311232,-0.0790250384386794,-0.02426515719950919
TCDA,2021-01-27,6.86,6.86,6.45,6.63,131234,6.63,7.234674556213017,7.289465020576131,-0.0547904643631138,-0.01057518688971662
TCDA,2021-01-26,7.21,7.4,7.21,7.37,50169,7.37,7.344615384615384,7.342222222222221,0.0023931623931625,0.0004786324786326901
TCDA,2021-01-25,7.39,7.45,7.19,7.34,25331,7.34,7.34,7.34,0.0,0.0
