Symbol,Date,Open,High,Low,Close,Volume,GAB SMA,GAB spanTwelveEMA,GAB spanTwntySixEMA,GAB_x,GAB_y
GAB,2021-02-09,6.38,6.4,6.37,6.38,127544,6.38,6.32308347923628,6.27612969292561,0.04695378631066927,0.0336316745830035
GAB,2021-02-08,6.43,6.43,6.41,6.41,83225,6.4099999999999975,6.312735020915604,6.26782006835966,0.0449149525559438,0.030301146651087057
GAB,2021-02-05,6.43,6.43,6.39,6.403,120534,6.402999999999999,6.295050479263894,6.256445673828432,0.03860480543546263,0.026647695174872647
GAB,2021-02-04,6.4,6.41,6.38,6.405,80425,6.405,6.275423293675513,6.244721327734708,0.030701965940805213,0.023658417609725372
GAB,2021-02-03,6.38,6.395,6.35,6.365,139109,6.3649999999999975,6.251863892525605,6.231899033953483,0.019964858572120825,0.021897530526955408
GAB,2021-02-02,6.29,6.31,6.28,6.2899,89002,6.289899999999999,6.231293691166624,6.2212509566697625,0.010042734496860106,0.02238069851566383
GAB,2021-02-01,6.21,6.22,6.18,6.2002,110808,6.200199999999998,6.220637998651464,6.215759033203344,0.0048789654481185,0.025465189520364317
GAB,2021-01-29,6.18,6.18,6.125,6.15,64623,6.149999999999998,6.224353998406277,6.217003755859612,0.0073502425466625,0.030611745538425546
GAB,2021-01-28,6.15,6.175,6.1301,6.17,67007,6.169999999999996,6.237872907207416,6.222364056328383,0.01550885087903442,0.03642712128636586
GAB,2021-01-27,6.18,6.18,6.05,6.1,186660,6.099999999999996,6.250213435790582,6.226553180834652,0.02366025495592972,0.04165668888819894
GAB,2021-01-26,6.23,6.26,6.23,6.235,87314,6.234999999999998,6.277524969570688,6.2366774353014245,0.040847534269262915,0.04615579737126624
GAB,2021-01-25,6.32,6.325,6.3,6.3081,69579,6.308099999999998,6.285256782219904,6.23681163012554,0.04844515209436473,0.04748286314676685
GAB,2021-01-22,6.32,6.35,6.315,6.33,98507,6.329999999999997,6.28110346989625,6.231108560535582,0.049994909360667535,0.047242290909867375
GAB,2021-01-21,6.33,6.34,6.27,6.28,68297,6.279999999999999,6.272213191695569,6.2231972453784286,0.049015946317139125,0.046554136297167335
GAB,2021-01-20,6.29,6.3,6.28,6.28,69874,6.2799999999999985,6.270797408367491,6.218653025008702,0.05214438335878757,0.04593868379217416
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.2691242098888535,6.213745267009399,0.05537894287945466,0.04438725890052058
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.262310429868644,6.206316888370152,0.055993541498494,0.041639337905787055
GAB,2021-01-15,6.33,6.33,6.31,6.325,74970,6.3249999999999975,6.254257780753852,6.198294239439763,0.05596354131408976,0.03805078700761076
GAB,2021-01-14,6.34,6.34,6.29,6.29,109001,6.289999999999997,6.2413955590727355,6.1881577785949435,0.05323778047779015,0.03357259843099123
GAB,2021-01-13,6.3,6.32,6.29,6.315,91777,6.314999999999999,6.23255838799505,6.180010400882541,0.05254798711250963,0.028656302919291055
GAB,2021-01-12,6.37,6.37,6.33,6.35,82207,6.349999999999999,6.217569003994151,6.169211232953143,0.04835777104100725,0.02268338187098641
GAB,2021-01-11,6.33,6.34,6.28,6.3123,172841,6.312299999999999,6.193490641083996,6.154748131589395,0.03874250949460123,0.01626478457848098
GAB,2021-01-08,6.35,6.36,6.27,6.29,143763,6.29,6.171888939462904,6.142143982116548,0.02974495734635685,0.010645353349450916
GAB,2021-01-07,6.25,6.27,6.23,6.25,175891,6.249999999999999,6.150414201183432,6.130315500685871,0.02009870049756124,0.005870452350224653
GAB,2021-01-06,6.19,6.27,6.19,6.255,87676,6.254999999999999,6.132307692307693,6.12074074074074,0.011566951566951644,0.0023133903133905065
GAB,2021-01-05,6.05,6.12,6.05,6.11,120016,6.1099999999999985,6.11,6.11,0.0,0.0
