Symbol,Date,Open,High,Low,Close,Volume,SPPI SMA,SPPI spanTwelveEMA,SPPI spanTwntySixEMA,SPPI_x,SPPI_y
SPPI,2021-02-09,4.02,4.02,3.86,3.9076,392651,3.9076,3.7830131002863214,3.723816533555788,0.05919656673053453,0.05722430967180831
SPPI,2021-02-08,3.98,3.98,3.83,3.9306,599287,3.930600000000001,3.760360936702017,3.7091138562402506,0.05124708046176663,0.05673124540712697
SPPI,2021-02-05,3.74,3.74,3.655,3.71,170616,3.710000000000001,3.7294083797387474,3.6913949647394704,0.03801341499927702,0.05810228664346705
SPPI,2021-02-04,3.79,3.8,3.7122,3.755,143738,3.755000000000001,3.7329371760548833,3.689906561918628,0.04303061413625553,0.06312450455451456
SPPI,2021-02-03,3.7618,3.81,3.71,3.8,152568,3.8000000000000007,3.728925753519408,3.6846990868721177,0.04422666664728992,0.06814797715907943
SPPI,2021-02-02,3.76,3.79,3.64,3.65,221963,3.6500000000000012,3.7160031632502086,3.6754750138218872,0.040528149428321385,0.0741283047870267
SPPI,2021-02-01,3.63,3.66,3.51,3.5524,193355,3.5524000000000013,3.7280037383866103,3.677513014927638,0.05049072345897265,0.08252834362670301
SPPI,2021-01-29,3.6,3.69,3.55,3.68,206308,3.680000000000001,3.75993169082054,3.68752205612185,0.07240963469869087,0.0905377486686357
SPPI,2021-01-28,3.72,3.8,3.705,3.72,173953,3.720000000000001,3.774464725515184,3.688123820611597,0.08634090490358659,0.09506977716112212
SPPI,2021-01-27,3.78,3.79,3.56,3.6368,529433,3.636800000000002,3.784367402881581,3.685573726260525,0.09879367662105576,0.0972519952255059
SPPI,2021-01-26,4.02,4.03,3.94,3.9662,235835,3.9662000000000015,3.811197839769141,3.6894756243613673,0.12172221540777395,0.09686657487661832
SPPI,2021-01-25,4.05,4.06,3.91,3.9583,249976,3.9583000000000017,3.783015628818076,3.6673376743102772,0.11567795450779927,0.09065266474382952
SPPI,2021-01-22,3.93,3.93,3.79,3.819,333148,3.8190000000000017,3.7511457431486352,3.6440606882550983,0.10708505489353604,0.08439634230283719
SPPI,2021-01-21,4.07,4.09,3.8,3.82,575355,3.8200000000000016,3.738808605539296,3.6300655433155065,0.10874306222378928,0.07872416415516226
SPPI,2021-01-20,4.31,4.35,4.02,4.02,905067,4.020000000000001,3.7240465338191684,3.614870786780748,0.10917574703842048,0.0712194396380054
SPPI,2021-01-19,3.7664,3.86,3.72,3.78,514553,3.780000000000001,3.670236812695381,3.5824604497232078,0.08777636297217306,0.061730362787901616
SPPI,2021-01-19,3.7664,3.86,3.72,3.78,514553,3.7800000000000007,3.6502798695490855,3.5666572857010643,0.08362258384802113,0.055218862741833755
SPPI,2021-01-15,3.79,3.83,3.7,3.7508,217344,3.7508000000000012,3.626694391285283,3.54958986855715,0.07710452272813306,0.048117932465286915
SPPI,2021-01-14,3.75,3.79,3.71,3.78,120035,3.780000000000001,3.6041297351553343,3.5334930580417216,0.07063667711361221,0.04087128489957538
SPPI,2021-01-13,3.69,3.73,3.6473,3.65,208019,3.6500000000000017,3.572153323365395,3.5137725026850597,0.0583808206803349,0.03342993684606606
SPPI,2021-01-12,3.65,3.67,3.61,3.64,47741,3.640000000000002,3.557999382159104,3.5028743028998655,0.0551250792592386,0.02719221588749873
SPPI,2021-01-11,3.7,3.73,3.61,3.685,160219,3.685000000000002,3.5430901789153038,3.4919042471318544,0.05118593178344977,0.02020900004456376
SPPI,2021-01-08,3.78,3.79,3.71,3.715,167231,3.7150000000000016,3.517288393263541,3.4764565869024033,0.04083180636113859,0.012464767109842364
SPPI,2021-01-07,3.73,3.75,3.64,3.7,300842,3.700000000000003,3.4813408284023666,3.457373113854596,0.023967714547771468,0.005373007297018529
SPPI,2021-01-06,3.52,3.57,3.43,3.48,200841,3.480000000000003,3.4415846153846155,3.437962962962963,0.0036216524216525774,0.0007243304843305154
SPPI,2021-01-05,3.46,3.5,3.43,3.4346,105044,3.434600000000004,3.4346,3.4346,0.0,0.0
