Symbol,Date,Open,High,Low,Close,Volume,QTT SMA,QTT spanTwelveEMA,QTT spanTwntySixEMA,QTT_x,QTT_y
QTT,2021-02-09,3.76,3.85,3.65,3.798,740411,3.798,3.3818664575960966,3.018436944799139,0.3634295127969578,0.33026472039206184
QTT,2021-02-08,3.81,3.8289999999999997,3.5001,3.6394,1357038,3.6394,3.30620581352266,2.95607190038307,0.3501339131395897,0.32197352229083787
QTT,2021-02-05,3.8145,3.88,3.62,3.66,1750911,3.66,3.245625052344961,2.9014056524137155,0.3442193999312457,0.31493342457864976
QTT,2021-02-04,3.75,3.88,3.56,3.58,2263314,3.58,3.1702841527713184,2.8407181046068133,0.3295660481645051,0.30761193074050086
QTT,2021-02-03,2.98,3.35,2.95,3.28,1696645,3.28,3.095790362366103,2.7815755529753576,0.3142148093907449,0.3021234013844998
QTT,2021-02-02,3.09,3.12,2.97,3.02,693793,3.0199999999999987,3.0622977009781214,2.7417015972133867,0.3205961037647347,0.2991005493829384
QTT,2021-02-01,3.15,3.15,3.02,3.0427,697196,3.0426999999999995,3.0699881920650527,2.719437724990457,0.35055046707459514,0.2937266607874893
QTT,2021-01-29,3.22,3.32,3.12,3.2,971694,3.2,3.0749496815314257,2.693576742989694,0.3813729385417317,0.2795207092157127
QTT,2021-01-28,3.48,3.58,3.45,3.54,1183441,3.5399999999999987,3.052213259991685,2.6530628824288702,0.39915037756281535,0.2540576518842079
QTT,2021-01-27,3.12,3.7578,3.11,3.6702,2241643,3.670199999999999,2.9635247618083547,2.5821079130231794,0.3814168487851757,0.21778447046455612
QTT,2021-01-26,3.43,3.48,3.33,3.385,1190628,3.3849999999999985,2.83503835486442,2.495060546065034,0.33997780879938544,0.17687637588440136
QTT,2021-01-25,3.65,3.65,3.4,3.5118,2621684,3.5117999999999987,2.7350453284761316,2.4238653897502367,0.3111799387258953,0.13610101765565522
QTT,2021-01-22,4.21,4.22,3.45,3.455,8501252,3.4549999999999987,2.593817206380883,2.336830620930256,0.2569865854506275,0.09233128738809529
QTT,2021-01-21,3.53,3.75,3.305,3.56,8965381,3.5599999999999987,2.437238516631953,2.2473770706046765,0.1898614460272765,0.051167462872462356
QTT,2021-01-20,2.52,2.85,2.5,2.7977,2267125,2.7976999999999985,2.23310006511049,2.1423672362530506,0.0907328288574396,0.01649396708375881
QTT,2021-01-19,2.22,2.4,2.2038,2.3817,1526708,2.3816999999999986,2.130445531494216,2.0899406151532944,0.04050491634092124,-0.0020657483596613884
QTT,2021-01-19,2.22,2.4,2.2038,2.3817,1526708,2.381699999999999,2.0847629008568003,2.066599864365558,0.0181630364912424,-0.012708414534807155
QTT,2021-01-15,2.1,2.1,2.05,2.065,213865,2.064999999999999,2.0307743373762186,2.0413918535148023,-0.010617516138583749,-0.020426277291319545
QTT,2021-01-14,2.16,2.26,2.15,2.2168,770263,2.2167999999999988,2.0245514896264396,2.0395032017959864,-0.014951712169546385,-0.022878467579503493
QTT,2021-01-13,1.94,2.09,1.94,2.0383,856825,2.0382999999999987,1.9895972150130656,2.0253194579396654,-0.03572224292659976,-0.024860156431992658
QTT,2021-01-12,1.916,1.916,1.86,1.86,261617,1.8599999999999992,1.9807421631972597,2.0242810145748384,-0.043538851377578965,-0.02214463480834088
QTT,2021-01-11,1.88,1.93,1.85,1.93,337206,1.929999999999999,2.0026952837785794,2.0374234957408257,-0.034728211962246285,-0.016796080666031415
QTT,2021-01-08,1.96,1.98,1.93,1.97,394006,1.969999999999999,2.0159126081019574,2.046017375400092,-0.030104767298134494,-0.012313047841977696
QTT,2021-01-07,1.9,1.92,1.82,1.87,710617,1.869999999999999,2.024260355029586,2.052098765432099,-0.02783841040251289,-0.007865117977938495
QTT,2021-01-06,1.92,1.9518,1.86,1.9,506793,1.8999999999999984,2.0523076923076924,2.066666666666667,-0.014358974358974487,-0.002871794871794897
QTT,2021-01-05,2.18,2.1896,2.05,2.08,1839611,2.0799999999999987,2.08,2.08,0.0,0.0
