Symbol,Date,Open,High,Low,Close,Volume,XAN SMA,XAN spanTwelveEMA,XAN spanTwntySixEMA,XAN_x,XAN_y
XAN,2021-02-09,3.92,3.9699,3.9,3.94,76167,3.94,4.044935377946052,4.037763685284333,0.007171692661718687,0.043700569596280874
XAN,2021-02-08,3.99,4.01,3.91,3.95,157907,3.9500000000000006,4.064014537572607,4.04558478010708,0.018429757465527,0.052832788829921415
XAN,2021-02-05,3.94,3.99,3.91,3.92,128643,3.920000000000001,4.084744453494899,4.053231562515647,0.03151289097925236,0.06143354667102002
XAN,2021-02-04,4.05,4.17,4.05,4.11,89642,4.110000000000001,4.114697990493972,4.0638900875168975,0.05080790297707338,0.06891371059396194
XAN,2021-02-03,4.06,4.19,4.06,4.16,93062,4.160000000000001,4.1155521705837845,4.060201294518252,0.05535087606553368,0.07344016249818384
XAN,2021-02-02,4.0,4.08,4.0,4.075,49518,4.075000000000001,4.107470747053563,4.052217398079711,0.055253348973852034,0.0779624841063466
XAN,2021-02-01,3.98,4.04,3.95,3.95,66901,3.950000000000002,4.11337451924512,4.050394789926088,0.06297972931903217,0.08363976788947022
XAN,2021-01-29,4.05,4.16,4.0401,4.11,110214,4.110000000000002,4.1430789772896865,4.058426373120175,0.08465260416951281,0.08880477753207973
XAN,2021-01-28,4.07,4.26,4.07,4.08,47428,4.080000000000001,4.149093336796904,4.054300482969788,0.09479285382711478,0.08984282087272168
XAN,2021-01-27,4.34,4.42,4.16,4.22,141601,4.2200000000000015,4.161655761669068,4.052244521607372,0.10941124006169556,0.08860531263412318
XAN,2021-01-26,4.26,4.46,4.26,4.45,163757,4.450000000000002,4.151047718336171,4.038824083335962,0.11222363500020904,0.08340383077723008
XAN,2021-01-25,4.15,4.28,4.15,4.24,79071,4.240000000000001,4.096692758033656,4.005930010002839,0.0907627480308184,0.07619887972148534
XAN,2021-01-22,4.22,4.27,4.185,4.21,54349,4.210000000000001,4.070636895857959,3.9872044108030655,0.08343248505489242,0.07255791264415229
XAN,2021-01-21,4.02,4.1,3.99,4.09,66761,4.090000000000002,4.045298149650315,3.969380763667312,0.0759173859830029,0.06983926954146703
XAN,2021-01-20,4.02,4.0801,4.02,4.0801,67829,4.080100000000002,4.0371705404958265,3.959731224760697,0.07743931573513052,0.06831974043108306
XAN,2021-01-19,4.12,4.14,4.02,4.045,85122,4.045000000000002,4.029365184222342,3.950101722741553,0.07926346148078922,0.06603984660507141
XAN,2021-01-19,4.12,4.14,4.02,4.045,85122,4.045000000000002,4.026522490444585,3.9425098605608766,0.08401262988370872,0.06273394288614206
XAN,2021-01-15,4.08,4.17,4.05,4.1037,33451,4.103700000000002,4.023162943252691,3.9343106494057465,0.08885229384694471,0.05741427113675039
XAN,2021-01-14,4.09,4.2001,4.09,4.2,116783,4.200000000000003,4.008519842025908,3.9207595013582064,0.08776034066770233,0.04955476545920181
XAN,2021-01-13,4.08,4.19,4.08,4.1,60162,4.100000000000001,3.9737052678488,3.898420261466863,0.07528500638193769,0.040003371657076785
XAN,2021-01-12,4.06,4.07,3.95,4.07,89658,4.070000000000002,3.950742589275855,3.882293882384212,0.06844870689164306,0.03118296297586178
XAN,2021-01-11,4.2,4.31,4.2,4.29,115589,4.290000000000003,3.9290594236896466,3.867277392974949,0.06178203071469701,0.021866526996916456
XAN,2021-01-08,4.03,4.03,3.86,3.92,125341,3.9200000000000026,3.863433864360491,3.833459584412945,0.029974279947545764,0.011887651067471201
XAN,2021-01-07,3.93,4.015,3.93,4.01,38610,4.0100000000000025,3.8531491124260353,3.8265363511659807,0.026612761260054185,0.007365993847452562
XAN,2021-01-06,3.85,3.97,3.85,3.9601,41600,3.9601000000000015,3.824630769230769,3.8118592592592586,0.012771509971509776,0.002554301994302044
XAN,2021-01-05,3.79,3.85,3.78,3.8,60229,3.8000000000000016,3.8,3.8,0.0,0.0
