Symbol,Date,Open,High,Low,Close,Volume,REI SMA,REI spanTwelveEMA,REI spanTwntySixEMA,REI_x,REI_y
REI,2020-12-04,0.66,0.7,0.66,0.6968,349887,0.6968,0.6404475188447781,0.5971926988340028,0.0432548200107753,0.03946963107866204
REI,2020-12-03,0.6432,0.6592,0.64,0.6526,189804,0.6526,0.6302016131801924,0.5892241147407231,0.040977498439469295,0.03852333384563372
REI,2020-12-02,0.63,0.63,0.612,0.615051,79332,0.6150509999999999,0.6261291792129546,0.5841540439199809,0.04197513529297359,0.03790979269717483
REI,2020-12-01,0.6597,0.6633,0.6301,0.6376,354602,0.6375999999999997,0.62814339361531,0.5816822874335795,0.046461106181730494,0.03689345704822511
REI,2020-11-30,0.71,0.71,0.665,0.6686,278360,0.6685999999999996,0.6264240106362755,0.5772088704282659,0.049215140208009656,0.03450154476484876
REI,2020-11-27,0.69,0.71975,0.68,0.7005,117922,0.7004999999999996,0.6187556489337802,0.5698975800625272,0.04885806887125299,0.030823145904058536
REI,2020-11-27,0.69,0.71975,0.68,0.7005,117922,0.7004999999999996,0.6038930396490129,0.5594493864675294,0.04444365318148347,0.026314415162259918
REI,2020-11-25,0.69,0.7,0.6311,0.6359,383136,0.6358999999999996,0.5863281377670152,0.5481653373849318,0.03816280038208342,0.02178210565745403
REI,2020-11-24,0.7033,0.725,0.6821,0.7146,619912,0.7145999999999996,0.5773150719064725,0.5411465643757264,0.03616850753074608,0.017686931976296685
REI,2020-11-23,0.6195,0.6494,0.6195,0.6381,275966,0.6380999999999996,0.5523541758894674,0.5272702895257845,0.02508388636368297,0.013066538087684335
REI,2020-11-20,0.63,0.64,0.61,0.62,346215,0.6199999999999996,0.5367640260511888,0.5184039126878472,0.01836011336334153,0.010062201018684675
REI,2020-11-19,0.57,0.57,0.555,0.5551,69755,0.5550999999999996,0.5216302126059504,0.510276225702875,0.01135398690307543,0.007987722932520461
REI,2020-11-18,0.53,0.54,0.5203,0.5349,171498,0.5348999999999996,0.5155447967161232,0.5066903237591049,0.008854472957018134,0.007146156939881718
REI,2020-11-17,0.515,0.522,0.505,0.510232,208995,0.5102319999999997,0.5120256688463274,0.5044335496598334,0.0075921191864939406,0.006719077935597587
REI,2020-11-16,0.532,0.54,0.505,0.5076,506020,0.5075999999999998,0.5123517904547505,0.5039696736326201,0.008382116822130414,0.006500817622873498
REI,2020-11-13,0.5097,0.5125,0.5005,0.5041,38220,0.5040999999999998,0.5132157523556142,0.5036792475232298,0.00953650483238444,0.006030492823059269
REI,2020-11-12,0.5479999999999999,0.55,0.5322,0.5399,80257,0.5398999999999998,0.5148731618748168,0.5036455873250881,0.011227574549728671,0.005153989820727976
REI,2020-11-11,0.55,0.5501,0.5312,0.5403,101903,0.5402999999999998,0.5103228276702381,0.5007452343110952,0.009577593359142876,0.003635593638477803
REI,2020-11-10,0.5854,0.5854,0.5207,0.5496989999999999,301019,0.5496989999999997,0.5048724327011904,0.4975808530559829,0.007291579645207546,0.0021500937083115345
REI,2020-11-09,0.54,0.56,0.5218,0.53,222595,0.5299999999999998,0.4967221477377705,0.4934114013004615,0.003310746437308943,0.0008647222240875313
REI,2020-11-06,0.4875,0.5,0.48200000000000004,0.4965,106601,0.4964999999999997,0.4906716291446378,0.4904843134044984,0.00018731574013935992,0.00025321617078216457
REI,2020-11-05,0.4701,0.4964,0.4701,0.4794,113702,0.4793999999999998,0.4896119253527538,0.4900030584768583,-0.00039113312410449236,0.00026969127844285185
REI,2020-11-04,0.5175,0.5175,0.4301100000000001,0.4789,193771,0.4788999999999997,0.4914686390532544,0.4908513031550069,0.0006173358982475285,0.0004348973790797017
REI,2020-11-03,0.5,0.515,0.485,0.5144,140518,0.5143999999999996,0.4937538461538462,0.4918074074074074,0.0019464387464387391,0.0003892877492877589
REI,2020-11-02,0.52,0.52,0.48,0.49,200970,0.4899999999999996,0.49,0.49,0.0,0.0
