Symbol,AskPrice
IBM,109.58
IBM,110
IBM,109.58
IBM,109.51
IBM,109.5
IBM,109.73
IBM,109.4
IBM,109.25
IBM,109.2
IBM,109.25
IBM,109.2
IBM,109.5
IBM,109.37
IBM,109.3
IBM,109.2
IBM,109.3
IBM,109.87
IBM,109.5
IBM,109.25
IBM,109.43
IBM,109.2
IBM,109.85
IBM,109.2
IBM,109.85
IBM,109.25
IBM,109.2
IBM,109.83
IBM,109.2
IBM,109.48
IBM,109.2
IBM,109.79
IBM,109.64
IBM,109.48
IBM,109.2
IBM,112.89
IBM,109.77
IBM,109.2
IBM,109.69
IBM,109.2
IBM,109.65
IBM,109.2
IBM,109.18
IBM,109
IBM,109.2
IBM,108.88
IBM,109.19
IBM,108.88
IBM,109.19
IBM,108.75
IBM,108.73
IBM,109.18
IBM,109
IBM,108.75
IBM,108.26
IBM,108.65
IBM,108.7
IBM,108.69
IBM,108.5
IBM,108.59
IBM,108.45
IBM,108.59
IBM,108.65
IBM,108.7
IBM,108.56
IBM,108.55
IBM,108.5
IBM,108.6
IBM,108.5
IBM,108.25
IBM,108.45
IBM,109
IBM,108.31
IBM,108.45
IBM,108.58
IBM,108.73
IBM,108.49
IBM,108.78
IBM,108.83
IBM,108.49
IBM,108.66
IBM,108.87
IBM,108.745
IBM,108.66
IBM,108.745
IBM,108.62
IBM,108.82
IBM,108.665
IBM,108.775
IBM,108.595
IBM,108.57
IBM,108.73
IBM,108.41
IBM,108.55
IBM,108.766
IBM,108.67
IBM,108.71
IBM,108.7
IBM,108.67
IBM,108.71
IBM,108.42
IBM,108.66
IBM,108.43
IBM,108.65
IBM,108.965
IBM,108.67
IBM,108.68
IBM,108.96
IBM,109
IBM,109.14
IBM,109.12
IBM,109.005
IBM,109.1182
IBM,109.11
IBM,109.0039
IBM,109.12
IBM,109.11
IBM,109.19
IBM,108.97
IBM,109.0206
IBM,109.0284
IBM,109
IBM,109.07
IBM,108.85
IBM,108.88
IBM,108.99
IBM,108.95
IBM,108.85
IBM,109.0379
IBM,109.02
IBM,109.11
IBM,109
IBM,108.75
IBM,109.03
IBM,108.87
IBM,109.01
IBM,108.995
IBM,109.0355
IBM,109.07
IBM,109.01
IBM,109
IBM,109.15
IBM,109.1462
IBM,109.095
IBM,109.1
IBM,109.085
IBM,109.1082
IBM,109.085
IBM,109.02
IBM,109.0814
IBM,109.075
IBM,109.1
IBM,109.22
IBM,109.26
IBM,109.31
IBM,109.61
IBM,109.505
IBM,109.4325
IBM,109.485
IBM,109.41
IBM,109.39
IBM,109.37
