Symbol,Date,Open,High,Low,Close,Volume,SNCA SMA,SNCA spanTwelveEMA,SNCA spanTwntySixEMA,SNCA_x,SNCA_y
SNCA,2021-02-02,1.41,1.43,1.38,1.4,121569,1.4,1.4027017783804163,1.2835502611351195,0.11915151724529682,0.13135222006768318
SNCA,2021-02-01,1.47,1.48,1.38,1.41,309941,1.4099999999999997,1.4031930108132196,1.2742342820259294,0.1289587287872902,0.13440239577327975
SNCA,2021-01-29,1.53,1.5479,1.47,1.5,324986,1.4999999999999998,1.4019553764156232,1.2633730245880035,0.13858235182761947,0.13576331251977714
SNCA,2021-01-28,1.46,1.48,1.45,1.4539,453580,1.4539,1.3841290812184637,1.244442866555044,0.13968621466341968,0.1350585526928165
SNCA,2021-01-27,1.35,1.41,1.3,1.37,421254,1.37,1.3714434596218206,1.2276862958794474,0.14375716374237313,0.13390163720016568
SNCA,2021-01-26,1.65,1.65,1.52,1.61,526437,1.6100000000000003,1.371705906825788,1.2163011995498032,0.15540470727598474,0.1314377555646138
SNCA,2021-01-25,1.47,1.49,1.42,1.4679,154051,1.4679000000000004,1.3283797080668405,1.1848052955137875,0.14357441255305292,0.12544601763677105
SNCA,2021-01-22,1.36,1.52,1.31,1.473,1889233,1.4730000000000003,1.3030123822608115,1.1621577191548904,0.1408546631059211,0.12091391890770058
SNCA,2021-01-21,1.45,1.45,1.35,1.37,178421,1.3700000000000008,1.2721055426718682,1.1372903366872815,0.13481520598458666,0.11592873285814544
SNCA,2021-01-20,1.33,1.34,1.28,1.29,419365,1.2900000000000011,1.2543065504303896,1.1186735636222642,0.13563298680812566,0.11120711457653513
SNCA,2021-01-19,1.38,1.4,1.35,1.379,220038,1.379000000000001,1.2478168323268242,1.1049674487120449,0.14284938361477906,0.10510064651863757
SNCA,2021-01-19,1.38,1.4,1.35,1.379,220038,1.379000000000001,1.2239653472953376,1.0830448446090088,0.14092050268632872,0.09566346224460213
SNCA,2021-01-15,1.34,1.42,1.29,1.3801,771563,1.380100000000001,1.1957772286217625,1.0593684321777297,0.13640879644403306,0.08434920213417048
SNCA,2021-01-14,1.44,1.44,1.3624,1.3999,425806,1.3999000000000008,1.1622639974620828,1.0337099067519475,0.12855409071013502,0.07133430355670489
SNCA,2021-01-13,1.61,1.61,1.41,1.4533,2039508,1.4533000000000011,1.1190574515460978,1.0044146992921037,0.11464275225399435,0.05702935676834729
SNCA,2021-01-12,1.3269,1.36,1.27,1.2772,560156,1.277200000000001,1.0582860790999338,0.968503875235472,0.0897822038644619,0.042626007896935575
SNCA,2021-01-11,1.37,1.47,1.33,1.3999,1601618,1.3999000000000013,1.0184835480271943,0.9438081852543097,0.07467536277288489,0.030836958905054022
SNCA,2021-01-08,1.1,1.13,1.08,1.0802,343347,1.0802000000000012,0.9491351022139572,0.9073208400746544,0.041814262139302734,0.01987735793809636
SNCA,2021-01-07,1.05,1.07,1.01,1.011,146916,1.011000000000001,0.9253051207983132,0.8934905072806268,0.03181461351768622,0.014393131887794737
SNCA,2021-01-06,1.08,1.08,1.02,1.0205,416703,1.0205000000000013,0.9097242336707336,0.8840897478630769,0.025634485807656704,0.010037761480321837
SNCA,2021-01-05,0.9863,0.9899,0.9277,0.975,678825,0.9750000000000012,0.8895831852472307,0.8731769276921231,0.016406257555107606,0.00613858039848812
SNCA,2021-01-04,0.9129,0.9288,0.87,0.8952,344803,0.8952000000000012,0.8740528552921817,0.8650310819074929,0.009021773384688792,0.0035716611093332493
SNCA,2021-01-04,0.9129,0.9288,0.87,0.8952,344803,0.8952000000000013,0.8702079198907602,0.8626175684600923,0.0075903514306678846,0.0022091330404943633
SNCA,2020-12-31,0.86,0.9599,0.8502,0.9420000000000001,1406892,0.9420000000000016,0.8656639053254438,0.8600109739368997,0.005652931388544058,0.0008638284429509824
SNCA,2020-12-30,0.8335,0.8478,0.82,0.8341,64192,0.8341000000000013,0.8517846153846154,0.8534518518518518,-0.0016672364672364324,-0.00033344729344728655
SNCA,2020-12-29,0.88,0.88,0.85,0.855,228782,0.8550000000000012,0.855,0.855,0.0,0.0
