Symbol,Date,Open,High,Low,Close,Volume,IBM SMA
IBM,2020-06-15,119.33,119.9,118.29,119.27,611490,119.27
IBM,2020-06-12,121.31,122.39,121.17,122.0636,891929,122.0636
IBM,2020-06-11,126.03,126.1,124.01,124.0307,970344,124.03069999999998
IBM,2020-06-10,132.15,132.22,130.6,131.2378,513754,131.23779999999996
IBM,2020-06-09,133.52,133.6,131.1179,131.33,770748,131.32999999999998
IBM,2020-06-08,132.12,134.34,132.12,134.005,523447,134.00499999999997
IBM,2020-06-05,133.66,134.23,132.33,133.173,747195,133.173
IBM,2020-06-04,127.78,128.16,127.14,127.84,357908,127.84000000000003
IBM,2020-06-03,127.15,128.39,127.0,128.005,326932,128.00500000000002
IBM,2020-06-02,125.67,125.7503,124.66,125.21,266348,125.21000000000004
IBM,2020-06-01,124.64,125.195,124.03,124.43,317197,124.43000000000005
IBM,2020-05-29,123.67,123.67,122.33,122.72,328129,122.72000000000003
IBM,2020-05-28,126.87,126.97,125.31,125.62,557209,125.62000000000003
IBM,2020-05-27,123.94,125.18,123.47,124.5,759199,124.50000000000003
IBM,2020-05-26,121.3,122.35,121.02,122.14,672144,122.14000000000004
IBM,2020-05-26,121.3,122.35,121.02,122.14,672144,122.14000000000003
IBM,2020-05-22,119.38,119.465,117.72,118.02,431505,118.02000000000002
IBM,2020-05-21,120.99,121.44,120.02,121.2708,389277,121.27080000000002
IBM,2020-05-20,120.93,121.76,120.6,121.44,446490,121.44000000000001
IBM,2020-05-19,121.19,121.29,120.7,121.01,311571,121.01000000000002
IBM,2020-05-18,119.88,120.86,119.75,120.28,482675,120.28000000000002
IBM,2020-05-15,115.93,117.04,115.25,116.97,478251,116.97
IBM,2020-05-14,114.57,114.57,112.31,112.44,627560,112.44
IBM,2020-05-13,119.95,119.99,117.7,118.29,590195,118.29000000000002
IBM,2020-05-12,123.01,123.68,122.81,123.59,422392,123.59000000000002
IBM,2020-05-11,121.81,122.01,120.95,121.07,379541,121.07000000000002
IBM,2020-05-08,122.67,122.8,121.06,121.64,463694,121.64000000000004
IBM,2020-05-07,122.98,123.26,121.91,122.1,435959,122.10000000000004
IBM,2020-05-06,123.24,124.05,122.6301,122.77,280770,122.77000000000004
IBM,2020-05-05,123.39,124.1858,122.89,124.1858,364823,124.18580000000004
IBM,2020-05-04,120.82,120.93,119.391,119.96,450676,119.96000000000004
IBM,2020-05-01,123.19,123.19,122.11,122.41,509199,122.41000000000004
IBM,2020-04-30,126.56,126.83,125.22,126.695,718778,126.69500000000002
IBM,2020-04-29,128.88,129.31,128.2371,128.39,438501,128.39000000000001
IBM,2020-04-28,128.03,128.2,126.71,126.78,723883,126.78000000000003
